Lambda	Spectrum	Dark	SpecMinusDark
268.175	246.75	0	246.75
268.319	216.5	0	216.5
268.463	234.25	0	234.25
268.607	205.5	0	205.5
268.751	209.75	0	209.75
268.895	226.75	0	226.75
269.039	199.75	0	199.75
269.183	172.5	0	172.5
269.327	189.75	0	189.75
269.47	194.25	0	194.25
269.614	172.75	0	172.75
269.758	180.25	0	180.25
269.902	201.75	0	201.75
270.046	194.75	0	194.75
270.19	188.5	0	188.5
270.334	170.75	0	170.75
270.477	181	0	181
270.621	146.25	0	146.25
270.765	178.75	0	178.75
270.909	160.75	0	160.75
271.053	167.25	0	167.25
271.196	163	0	163
271.34	174.5	0	174.5
271.484	159.25	0	159.25
271.628	158.25	0	158.25
271.771	181.5	0	181.5
271.915	157.5	0	157.5
272.059	169.25	0	169.25
272.202	171.5	0	171.5
272.346	170.5	0	170.5
272.49	148.75	0	148.75
272.634	149.25	0	149.25
272.777	163.5	0	163.5
272.921	173.25	0	173.25
273.064	166.25	0	166.25
273.208	167.75	0	167.75
273.352	167	0	167
273.495	175.75	0	175.75
273.639	178	0	178
273.783	176	0	176
273.926	165.75	0	165.75
274.07	201	0	201
274.213	206.75	0	206.75
274.357	249	0	249
274.5	300.5	0	300.5
274.644	357.75	0	357.75
274.787	388.5	0	388.5
274.931	346.75	0	346.75
275.074	297	0	297
275.218	241.75	0	241.75
275.361	225.75	0	225.75
275.505	226.75	0	226.75
275.648	205.25	0	205.25
275.792	203	0	203
275.935	209.75	0	209.75
276.079	202.25	0	202.25
276.222	197.75	0	197.75
276.366	197.5	0	197.5
276.509	190.5	0	190.5
276.652	185.25	0	185.25
276.796	199	0	199
276.939	184.75	0	184.75
277.082	189.75	0	189.75
277.226	184.75	0	184.75
277.369	176	0	176
277.513	194	0	194
277.656	185.25	0	185.25
277.799	194.75	0	194.75
277.942	192.25	0	192.25
278.086	186.5	0	186.5
278.229	182	0	182
278.372	204.5	0	204.5
278.516	204.75	0	204.75
278.659	204	0	204
278.802	188.25	0	188.25
278.945	183	0	183
279.089	194.75	0	194.75
279.232	194.75	0	194.75
279.375	205	0	205
279.518	207.5	0	207.5
279.661	221	0	221
279.805	191.25	0	191.25
279.948	207.25	0	207.25
280.091	199.5	0	199.5
280.234	213.25	0	213.25
280.377	200	0	200
280.52	209	0	209
280.663	202	0	202
280.806	212.25	0	212.25
280.95	203	0	203
281.093	205.5	0	205.5
281.236	207	0	207
281.379	208	0	208
281.522	210	0	210
281.665	213.5	0	213.5
281.808	218.75	0	218.75
281.951	210	0	210
282.094	233	0	233
282.237	228	0	228
282.38	221.25	0	221.25
282.523	221.75	0	221.75
282.666	241.5	0	241.5
282.809	225	0	225
282.952	228.5	0	228.5
283.095	242	0	242
283.238	236.25	0	236.25
283.381	238.75	0	238.75
283.523	233.5	0	233.5
283.666	244.25	0	244.25
283.809	228.5	0	228.5
283.952	229.5	0	229.5
284.095	245.75	0	245.75
284.238	251.25	0	251.25
284.381	225.5	0	225.5
284.524	252.75	0	252.75
284.666	254.25	0	254.25
284.809	266.25	0	266.25
284.952	244	0	244
285.095	261.75	0	261.75
285.238	261.25	0	261.25
285.38	254	0	254
285.523	250.5	0	250.5
285.666	281	0	281
285.809	262.25	0	262.25
285.951	272.5	0	272.5
286.094	272.5	0	272.5
286.237	277.25	0	277.25
286.38	252.5	0	252.5
286.522	272.5	0	272.5
286.665	261.25	0	261.25
286.808	273.75	0	273.75
286.95	266.5	0	266.5
287.093	280.75	0	280.75
287.236	289.25	0	289.25
287.378	298	0	298
287.521	288.75	0	288.75
287.663	304.75	0	304.75
287.806	317.75	0	317.75
287.949	317	0	317
288.091	367	0	367
288.234	434.25	0	434.25
288.376	396.75	0	396.75
288.519	361.75	0	361.75
288.661	368.5	0	368.5
288.804	371.5	0	371.5
288.946	374.5	0	374.5
289.089	386.75	0	386.75
289.231	362.25	0	362.25
289.374	376.75	0	376.75
289.516	366.75	0	366.75
289.659	395.75	0	395.75
289.801	377.75	0	377.75
289.944	388.5	0	388.5
290.086	388.75	0	388.75
290.229	412.25	0	412.25
290.371	414.25	0	414.25
290.513	444.25	0	444.25
290.656	415.75	0	415.75
290.798	420.25	0	420.25
290.941	408	0	408
291.083	390	0	390
291.225	418	0	418
291.368	415.25	0	415.25
291.51	403	0	403
291.652	376	0	376
291.795	390	0	390
291.937	394.5	0	394.5
292.079	380.5	0	380.5
292.221	408.5	0	408.5
292.364	407	0	407
292.506	409.5	0	409.5
292.648	403.75	0	403.75
292.79	453.25	0	453.25
292.933	463.75	0	463.75
293.075	448.5	0	448.5
293.217	471.75	0	471.75
293.359	450.25	0	450.25
293.502	426	0	426
293.644	411.25	0	411.25
293.786	413.25	0	413.25
293.928	384.75	0	384.75
294.07	390.5	0	390.5
294.212	385	0	385
294.354	380.5	0	380.5
294.497	389.5	0	389.5
294.639	378.75	0	378.75
294.781	374.75	0	374.75
294.923	380.5	0	380.5
295.065	390.25	0	390.25
295.207	385.25	0	385.25
295.349	378.25	0	378.25
295.491	406.25	0	406.25
295.633	422.75	0	422.75
295.775	403.5	0	403.5
295.917	407.5	0	407.5
296.059	391.5	0	391.5
296.201	394.5	0	394.5
296.343	408.25	0	408.25
296.485	422.25	0	422.25
296.627	376.25	0	376.25
296.769	407.25	0	407.25
296.911	400.75	0	400.75
297.053	449	0	449
297.195	421	0	421
297.337	413.5	0	413.5
297.478	419.5	0	419.5
297.62	416.75	0	416.75
297.762	422	0	422
297.904	433.5	0	433.5
298.046	400.75	0	400.75
298.188	411.25	0	411.25
298.33	412.25	0	412.25
298.471	407	0	407
298.613	423.75	0	423.75
298.755	430.25	0	430.25
298.897	448	0	448
299.038	428	0	428
299.18	428.5	0	428.5
299.322	420.75	0	420.75
299.464	441	0	441
299.605	462	0	462
299.747	436	0	436
299.889	440.75	0	440.75
300.031	426.25	0	426.25
300.172	451.5	0	451.5
300.314	451.5	0	451.5
300.456	443.5	0	443.5
300.597	466.25	0	466.25
300.739	465	0	465
300.881	476.25	0	476.25
