Lambda	Spectrum	Dark	SpecMinusDark
268.175	19	0	19
268.319	20.75	0	20.75
268.463	28.25	0	28.25
268.607	14.25	0	14.25
268.751	31.5	0	31.5
268.895	19.25	0	19.25
269.039	22.5	0	22.5
269.183	11.25	0	11.25
269.327	28.75	0	28.75
269.47	22.5	0	22.5
269.614	11.25	0	11.25
269.758	29.5	0	29.5
269.902	19.25	0	19.25
270.046	16.5	0	16.5
270.19	28.5	0	28.5
270.334	17.75	0	17.75
270.477	22.5	0	22.5
270.621	31.75	0	31.75
270.765	30.5	0	30.5
270.909	28	0	28
271.053	20.5	0	20.5
271.196	29.5	0	29.5
271.34	31	0	31
271.484	36.5	0	36.5
271.628	24.75	0	24.75
271.771	24	0	24
271.915	27	0	27
272.059	35.25	0	35.25
272.202	22.5	0	22.5
272.346	29.5	0	29.5
272.49	25.75	0	25.75
272.634	34.25	0	34.25
272.777	28.25	0	28.25
272.921	27	0	27
273.064	36.5	0	36.5
273.208	43.5	0	43.5
273.352	17.25	0	17.25
273.495	28.75	0	28.75
273.639	30.25	0	30.25
273.783	23	0	23
273.926	31	0	31
274.07	36.75	0	36.75
274.213	33	0	33
274.357	30.25	0	30.25
274.5	34.25	0	34.25
274.644	34.25	0	34.25
274.787	29	0	29
274.931	35.25	0	35.25
275.074	40.75	0	40.75
275.218	31.75	0	31.75
275.361	37.75	0	37.75
275.505	32.75	0	32.75
275.648	39.75	0	39.75
275.792	46.5	0	46.5
275.935	39.5	0	39.5
276.079	26.5	0	26.5
276.222	35.5	0	35.5
276.366	45.5	0	45.5
276.509	34	0	34
276.652	31	0	31
276.796	22.5	0	22.5
276.939	40	0	40
277.082	36.5	0	36.5
277.226	43.75	0	43.75
277.369	33.25	0	33.25
277.513	41	0	41
277.656	39.75	0	39.75
277.799	39	0	39
277.942	31	0	31
278.086	35.25	0	35.25
278.229	44.75	0	44.75
278.372	42.5	0	42.5
278.516	39.75	0	39.75
278.659	52.25	0	52.25
278.802	34.25	0	34.25
278.945	49	0	49
279.089	56	0	56
279.232	69	0	69
279.375	101.25	0	101.25
279.518	107.25	0	107.25
279.661	56.75	0	56.75
279.805	52.75	0	52.75
279.948	66.25	0	66.25
280.091	69.25	0	69.25
280.234	73.75	0	73.75
280.377	46	0	46
280.52	41	0	41
280.663	40.75	0	40.75
280.806	45.25	0	45.25
280.95	48	0	48
281.093	41.25	0	41.25
281.236	45.75	0	45.75
281.379	41.5	0	41.5
281.522	46.75	0	46.75
281.665	45.75	0	45.75
281.808	42.75	0	42.75
281.951	39.5	0	39.5
282.094	54.5	0	54.5
282.237	50	0	50
282.38	36	0	36
282.523	46	0	46
282.666	41	0	41
282.809	43.5	0	43.5
282.952	46.75	0	46.75
283.095	40.25	0	40.25
283.238	50.75	0	50.75
283.381	46.25	0	46.25
283.523	46	0	46
283.666	46	0	46
283.809	52.25	0	52.25
283.952	46	0	46
284.095	50.25	0	50.25
284.238	33.75	0	33.75
284.381	48.75	0	48.75
284.524	50.75	0	50.75
284.666	55.75	0	55.75
284.809	59.25	0	59.25
284.952	63	0	63
285.095	81	0	81
285.238	59	0	59
285.38	42.5	0	42.5
285.523	65.75	0	65.75
285.666	62.75	0	62.75
285.809	55.25	0	55.25
285.951	49.75	0	49.75
286.094	53.5	0	53.5
286.237	61	0	61
286.38	57	0	57
286.522	56.75	0	56.75
286.665	70	0	70
286.808	46.5	0	46.5
286.95	52.25	0	52.25
287.093	64.25	0	64.25
287.236	45	0	45
287.378	51.75	0	51.75
287.521	53.5	0	53.5
287.663	51.75	0	51.75
287.806	59.25	0	59.25
287.949	67.75	0	67.75
288.091	60.5	0	60.5
288.234	59.5	0	59.5
288.376	54	0	54
288.519	58.75	0	58.75
288.661	61.5	0	61.5
288.804	60.5	0	60.5
288.946	52.5	0	52.5
289.089	68.25	0	68.25
289.231	56	0	56
289.374	54	0	54
289.516	59.5	0	59.5
289.659	70	0	70
289.801	72.25	0	72.25
289.944	73.75	0	73.75
290.086	63.75	0	63.75
290.229	64	0	64
290.371	54.75	0	54.75
290.513	65.75	0	65.75
290.656	63.5	0	63.5
290.798	62.5	0	62.5
290.941	62.75	0	62.75
291.083	44	0	44
291.225	64	0	64
291.368	65.5	0	65.5
291.51	58.5	0	58.5
291.652	64	0	64
291.795	73.25	0	73.25
291.937	58.75	0	58.75
292.079	60	0	60
292.221	71.5	0	71.5
292.364	60.75	0	60.75
292.506	60.75	0	60.75
292.648	61.5	0	61.5
292.79	50.25	0	50.25
292.933	69	0	69
293.075	60	0	60
293.217	62.5	0	62.5
293.359	57	0	57
293.502	75.25	0	75.25
293.644	60.25	0	60.25
293.786	53.75	0	53.75
293.928	66	0	66
294.07	60.25	0	60.25
294.212	52.75	0	52.75
294.354	65.75	0	65.75
294.497	65	0	65
294.639	69.75	0	69.75
294.781	70.25	0	70.25
294.923	66.5	0	66.5
295.065	64	0	64
295.207	68.25	0	68.25
295.349	67.5	0	67.5
295.491	68.25	0	68.25
295.633	60.5	0	60.5
295.775	81.25	0	81.25
295.917	66.75	0	66.75
296.059	65.5	0	65.5
296.201	67.75	0	67.75
296.343	71.5	0	71.5
296.485	72.25	0	72.25
296.627	76	0	76
296.769	59.5	0	59.5
296.911	71.5	0	71.5
297.053	71	0	71
297.195	65.25	0	65.25
297.337	73.25	0	73.25
297.478	70.5	0	70.5
297.62	74	0	74
297.762	73.25	0	73.25
297.904	69.75	0	69.75
298.046	87.75	0	87.75
298.188	78.5	0	78.5
298.33	88.25	0	88.25
298.471	94.25	0	94.25
298.613	91	0	91
298.755	93.5	0	93.5
298.897	96.5	0	96.5
299.038	83.75	0	83.75
299.18	97.25	0	97.25
299.322	109.75	0	109.75
299.464	138	0	138
299.605	141.5	0	141.5
299.747	138.5	0	138.5
299.889	141.25	0	141.25
300.031	129.5	0	129.5
300.172	95.25	0	95.25
300.314	121.5	0	121.5
300.456	153.5	0	153.5
300.597	199.75	0	199.75
300.739	151	0	151
300.881	127.25	0	127.25
301.022	103	0	103
301.164	85.5	0	85.5
301.305	87.5	0	87.5
301.447	82.75	0	82.75
301.589	85.75	0	85.75
301.73	69.75	0	69.75
301.872	74.5	0	74.5
302.013	96.5	0	96.5
302.155	87.5	0	87.5
302.296	73.5	0	73.5
302.438	84	0	84
302.579	80.5	0	80.5
302.721	83.5	0	83.5
302.862	80	0	80
303.004	84	0	84
303.145	92.25	0	92.25
303.287	91.5	0	91.5
303.428	71.5	0	71.5
303.569	87.25	0	87.25
303.711	86.75	0	86.75
303.852	79.75	0	79.75
303.994	69.5	0	69.5
304.135	79.5	0	79.5
304.276	72.75	0	72.75
304.418	85.5	0	85.5
304.559	86.5	0	86.5
304.7	75	0	75
304.842	78	0	78
304.983	90	0	90
305.124	81	0	81
305.266	80	0	80
305.407	83.25	0	83.25
305.548	91.75	0	91.75
305.69	87.25	0	87.25
305.831	83.25	0	83.25
305.972	85.25	0	85.25
306.113	66.75	0	66.75
306.254	88.5	0	88.5
306.396	75.75	0	75.75
306.537	83.75	0	83.75
306.678	88.25	0	88.25
306.819	84	0	84
306.96	77	0	77
307.102	80.5	0	80.5
307.243	74	0	74
307.384	77.25	0	77.25
307.525	78.25	0	78.25
307.666	86.25	0	86.25
307.807	91.5	0	91.5
307.948	80.75	0	80.75
308.089	83.75	0	83.75
308.23	84.25	0	84.25
308.371	98.25	0	98.25
308.513	95	0	95
308.654	80.5	0	80.5
308.795	89	0	89
308.936	98.25	0	98.25
309.077	83.75	0	83.75
309.218	100.75	0	100.75
309.359	93.5	0	93.5
309.499	92.75	0	92.75
309.64	85.25	0	85.25
309.781	92.5	0	92.5
309.922	109.5	0	109.5
310.063	108.5	0	108.5
310.204	86.5	0	86.5
310.345	93.25	0	93.25
310.486	97	0	97
310.627	97.5	0	97.5
310.768	107	0	107
310.909	102.5	0	102.5
311.049	109.75	0	109.75
311.19	102.75	0	102.75
311.331	111.5	0	111.5
311.472	119.75	0	119.75
311.613	125.5	0	125.5
311.753	111.5	0	111.5
311.894	123	0	123
312.035	122	0	122
312.176	134	0	134
312.316	142.5	0	142.5
312.457	125.5	0	125.5
312.598	138.25	0	138.25
312.739	137.75	0	137.75
312.879	158.25	0	158.25
313.02	147	0	147
313.161	151.5	0	151.5
313.301	154.25	0	154.25
313.442	172.5	0	172.5
313.583	183.75	0	183.75
313.723	175.25	0	175.25
313.864	176	0	176
314.005	218.75	0	218.75
314.145	211	0	211
314.286	234.5	0	234.5
314.426	267.25	0	267.25
314.567	277.25	0	277.25
314.707	296	0	296
314.848	335.25	0	335.25
314.989	401.5	0	401.5
315.129	506.75	0	506.75
315.27	668.75	0	668.75
315.41	917.75	0	917.75
315.551	1468.75	0	1468.75
315.691	2416	0	2416
315.831	3002	0	3002
315.972	2428.5	0	2428.5
316.112	1686	0	1686
316.253	1293	0	1293
316.393	1078.25	0	1078.25
316.534	922.75	0	922.75
316.674	842	0	842
316.814	795.25	0	795.25
316.955	791.75	0	791.75
317.095	841.25	0	841.25
317.236	962	0	962
317.376	1249.75	0	1249.75
317.516	1724.75	0	1724.75
317.656	2770	0	2770
317.797	4107.75	0	4107.75
317.937	4283.25	0	4283.25
318.077	3431.5	0	3431.5
318.218	2514.5	0	2514.5
318.358	1878.75	0	1878.75
318.498	1447	0	1447
318.638	1220.25	0	1220.25
318.779	975.5	0	975.5
