Lambda	Spectrum	Dark	SpecMinusDark
268.175	51.5	0	51.5
268.319	51.25	0	51.25
268.463	51.75	0	51.75
268.607	42.5	0	42.5
268.751	50.75	0	50.75
268.895	52.25	0	52.25
269.039	48	0	48
269.183	41.75	0	41.75
269.327	54.25	0	54.25
269.47	56.75	0	56.75
269.614	61.5	0	61.5
269.758	53.5	0	53.5
269.902	64.75	0	64.75
270.046	50.5	0	50.5
270.19	50.75	0	50.75
270.334	60.25	0	60.25
270.477	64.75	0	64.75
270.621	52.75	0	52.75
270.765	65.25	0	65.25
270.909	48.25	0	48.25
271.053	62.5	0	62.5
271.196	53.75	0	53.75
271.34	69.75	0	69.75
271.484	56.5	0	56.5
271.628	49.5	0	49.5
271.771	60.75	0	60.75
271.915	60.25	0	60.25
272.059	54.25	0	54.25
272.202	65.25	0	65.25
272.346	43.75	0	43.75
272.49	63.75	0	63.75
272.634	58	0	58
272.777	66.5	0	66.5
272.921	63	0	63
273.064	68.75	0	68.75
273.208	70.75	0	70.75
273.352	64.5	0	64.5
273.495	63.25	0	63.25
273.639	71.5	0	71.5
273.783	65.75	0	65.75
273.926	68.75	0	68.75
274.07	77.25	0	77.25
274.213	67.5	0	67.5
274.357	63.25	0	63.25
274.5	68.25	0	68.25
274.644	68.75	0	68.75
274.787	75.5	0	75.5
274.931	71.75	0	71.75
275.074	71	0	71
275.218	75	0	75
275.361	80.25	0	80.25
275.505	81.25	0	81.25
275.648	88.25	0	88.25
275.792	74.5	0	74.5
275.935	88.5	0	88.5
276.079	90	0	90
276.222	86	0	86
276.366	78.5	0	78.5
276.509	78.25	0	78.25
276.652	77.25	0	77.25
276.796	83.5	0	83.5
276.939	85.5	0	85.5
277.082	83.25	0	83.25
277.226	78	0	78
277.369	74.5	0	74.5
277.513	79.25	0	79.25
277.656	81.75	0	81.75
277.799	70.5	0	70.5
277.942	90	0	90
278.086	73.25	0	73.25
278.229	88	0	88
278.372	83.25	0	83.25
278.516	86.25	0	86.25
278.659	87.5	0	87.5
278.802	80.5	0	80.5
278.945	75	0	75
279.089	72	0	72
279.232	80.5	0	80.5
279.375	83.25	0	83.25
279.518	80.75	0	80.75
279.661	80.5	0	80.5
279.805	89.5	0	89.5
279.948	96.75	0	96.75
280.091	90	0	90
280.234	90.75	0	90.75
280.377	80.25	0	80.25
280.52	82.75	0	82.75
280.663	90.75	0	90.75
280.806	94	0	94
280.95	88.75	0	88.75
281.093	91.5	0	91.5
281.236	99.25	0	99.25
281.379	105.25	0	105.25
281.522	88.5	0	88.5
281.665	84.75	0	84.75
281.808	104.25	0	104.25
281.951	90	0	90
282.094	101.5	0	101.5
282.237	108.25	0	108.25
282.38	86.75	0	86.75
282.523	100.5	0	100.5
282.666	100	0	100
282.809	101.75	0	101.75
282.952	94	0	94
283.095	109.75	0	109.75
283.238	108.25	0	108.25
283.381	113.5	0	113.5
283.523	117.25	0	117.25
283.666	126	0	126
283.809	114.75	0	114.75
283.952	117.5	0	117.5
284.095	97.75	0	97.75
284.238	118.5	0	118.5
284.381	105.5	0	105.5
284.524	121.25	0	121.25
284.666	107.75	0	107.75
284.809	108.25	0	108.25
284.952	115.75	0	115.75
285.095	109.25	0	109.25
285.238	112.5	0	112.5
285.38	119.75	0	119.75
285.523	108	0	108
285.666	126.75	0	126.75
285.809	114.5	0	114.5
285.951	100.75	0	100.75
286.094	118.25	0	118.25
286.237	135	0	135
286.38	115.25	0	115.25
286.522	128.25	0	128.25
286.665	129.25	0	129.25
286.808	132.5	0	132.5
286.95	118.5	0	118.5
287.093	123	0	123
287.236	118	0	118
287.378	128.5	0	128.5
287.521	136.75	0	136.75
287.663	147.25	0	147.25
287.806	151.5	0	151.5
287.949	172	0	172
288.091	169.25	0	169.25
288.234	162.25	0	162.25
288.376	155	0	155
288.519	144.75	0	144.75
288.661	154.5	0	154.5
288.804	150.5	0	150.5
288.946	141.5	0	141.5
289.089	147	0	147
289.231	141.25	0	141.25
289.374	151.25	0	151.25
289.516	135.25	0	135.25
289.659	133.75	0	133.75
289.801	133.5	0	133.5
289.944	125	0	125
290.086	127	0	127
290.229	134.5	0	134.5
290.371	140.25	0	140.25
290.513	146.75	0	146.75
290.656	131	0	131
290.798	136.5	0	136.5
290.941	151.75	0	151.75
291.083	150	0	150
291.225	150.75	0	150.75
291.368	141	0	141
291.51	138.75	0	138.75
291.652	136.25	0	136.25
291.795	146	0	146
291.937	141.25	0	141.25
292.079	158.5	0	158.5
292.221	153.25	0	153.25
292.364	142	0	142
292.506	143	0	143
292.648	144.5	0	144.5
292.79	136.25	0	136.25
292.933	134	0	134
293.075	146.5	0	146.5
293.217	143	0	143
293.359	155.75	0	155.75
293.502	139.5	0	139.5
293.644	146	0	146
293.786	157.25	0	157.25
293.928	156	0	156
294.07	154.75	0	154.75
294.212	158.75	0	158.75
294.354	150.5	0	150.5
294.497	163	0	163
294.639	157	0	157
294.781	169.25	0	169.25
294.923	167.75	0	167.75
295.065	161.25	0	161.25
295.207	160	0	160
295.349	173.5	0	173.5
295.491	166.5	0	166.5
295.633	183.25	0	183.25
295.775	165	0	165
295.917	180.5	0	180.5
296.059	164.75	0	164.75
296.201	172.75	0	172.75
296.343	165.5	0	165.5
296.485	170	0	170
296.627	175.75	0	175.75
296.769	189.75	0	189.75
296.911	169.25	0	169.25
297.053	186.25	0	186.25
297.195	198	0	198
297.337	193.25	0	193.25
297.478	193.25	0	193.25
297.62	217	0	217
297.762	240	0	240
297.904	272	0	272
298.046	278	0	278
298.188	242.5	0	242.5
298.33	218.5	0	218.5
298.471	214.5	0	214.5
298.613	210	0	210
298.755	214.5	0	214.5
298.897	189.25	0	189.25
299.038	201.75	0	201.75
299.18	205.25	0	205.25
299.322	197	0	197
299.464	188.75	0	188.75
299.605	201	0	201
299.747	205.75	0	205.75
299.889	195.5	0	195.5
300.031	193.5	0	193.5
300.172	181.25	0	181.25
300.314	187	0	187
300.456	176.75	0	176.75
300.597	167.75	0	167.75
300.739	196.75	0	196.75
300.881	178.5	0	178.5
