Lambda	Spectrum	Dark	SpecMinusDark
268.175	61.25	0	61.25
268.319	68.75	0	68.75
268.463	59.25	0	59.25
268.607	55	0	55
268.751	60.75	0	60.75
268.895	55.5	0	55.5
269.039	66.5	0	66.5
269.183	60	0	60
269.327	71.25	0	71.25
269.47	75.25	0	75.25
269.614	65.5	0	65.5
269.758	54.75	0	54.75
269.902	71.75	0	71.75
270.046	67.5	0	67.5
270.19	52.75	0	52.75
270.334	57.75	0	57.75
270.477	59	0	59
270.621	68.25	0	68.25
270.765	62	0	62
270.909	64.25	0	64.25
271.053	67	0	67
271.196	89	0	89
271.34	88.25	0	88.25
271.484	105	0	105
271.628	100.25	0	100.25
271.771	85.5	0	85.5
271.915	79.25	0	79.25
272.059	66	0	66
272.202	64.75	0	64.75
272.346	68	0	68
272.49	67.5	0	67.5
272.634	59	0	59
272.777	75.75	0	75.75
272.921	89.25	0	89.25
273.064	90.75	0	90.75
273.208	75.75	0	75.75
273.352	66.25	0	66.25
273.495	65.75	0	65.75
273.639	65.75	0	65.75
273.783	80.25	0	80.25
273.926	77.5	0	77.5
274.07	71.5	0	71.5
274.213	92	0	92
274.357	94.75	0	94.75
274.5	103.25	0	103.25
274.644	69.75	0	69.75
274.787	85	0	85
274.931	83	0	83
275.074	81	0	81
275.218	76.5	0	76.5
275.361	88	0	88
275.505	78.5	0	78.5
275.648	62.75	0	62.75
275.792	78	0	78
275.935	89.5	0	89.5
276.079	94	0	94
276.222	102.5	0	102.5
276.366	110.75	0	110.75
276.509	124.25	0	124.25
276.652	112.75	0	112.75
276.796	81.25	0	81.25
276.939	83.75	0	83.75
277.082	102	0	102
277.226	87.5	0	87.5
277.369	84	0	84
277.513	95.5	0	95.5
277.656	102.5	0	102.5
277.799	89	0	89
277.942	89.5	0	89.5
278.086	96.5	0	96.5
278.229	79.5	0	79.5
278.372	92.25	0	92.25
278.516	92.25	0	92.25
278.659	87.25	0	87.25
278.802	95	0	95
278.945	86.75	0	86.75
279.089	86.25	0	86.25
279.232	86	0	86
279.375	90.75	0	90.75
279.518	93.5	0	93.5
279.661	112	0	112
279.805	97.5	0	97.5
279.948	81.75	0	81.75
280.091	94.25	0	94.25
280.234	95.5	0	95.5
280.377	88	0	88
280.52	84.5	0	84.5
280.663	77.25	0	77.25
280.806	92.25	0	92.25
280.95	92.75	0	92.75
281.093	100.25	0	100.25
281.236	96.75	0	96.75
281.379	101.75	0	101.75
281.522	103	0	103
281.665	92.5	0	92.5
281.808	88	0	88
281.951	85	0	85
282.094	88.25	0	88.25
282.237	86.25	0	86.25
282.38	104.75	0	104.75
282.523	102.25	0	102.25
282.666	98	0	98
282.809	94.25	0	94.25
282.952	81.5	0	81.5
283.095	82	0	82
283.238	99.5	0	99.5
283.381	106.25	0	106.25
283.523	105	0	105
283.666	117.5	0	117.5
283.809	95	0	95
283.952	102	0	102
284.095	96.5	0	96.5
284.238	82.25	0	82.25
284.381	91.25	0	91.25
284.524	97.25	0	97.25
284.666	92.5	0	92.5
284.809	94	0	94
284.952	97	0	97
285.095	99.25	0	99.25
285.238	94	0	94
285.38	84	0	84
285.523	104	0	104
285.666	105.25	0	105.25
285.809	98.5	0	98.5
285.951	94.75	0	94.75
286.094	93	0	93
286.237	105.25	0	105.25
286.38	93	0	93
286.522	99.5	0	99.5
286.665	97.75	0	97.75
286.808	103.25	0	103.25
286.95	98.5	0	98.5
287.093	108.25	0	108.25
287.236	110.75	0	110.75
287.378	94	0	94
287.521	106.5	0	106.5
287.663	106.5	0	106.5
287.806	92	0	92
287.949	121	0	121
288.091	104.5	0	104.5
288.234	127.5	0	127.5
288.376	114.75	0	114.75
288.519	121.25	0	121.25
288.661	109.5	0	109.5
288.804	107	0	107
288.946	109.25	0	109.25
289.089	91.5	0	91.5
289.231	99.5	0	99.5
289.374	102.5	0	102.5
289.516	104	0	104
289.659	104.75	0	104.75
289.801	109.25	0	109.25
289.944	121	0	121
290.086	111.75	0	111.75
290.229	121.75	0	121.75
290.371	108.25	0	108.25
290.513	106.75	0	106.75
290.656	112	0	112
290.798	108	0	108
290.941	107.75	0	107.75
291.083	107.75	0	107.75
291.225	92.75	0	92.75
291.368	112.75	0	112.75
291.51	119	0	119
291.652	102.5	0	102.5
291.795	99.75	0	99.75
291.937	127.5	0	127.5
292.079	103.75	0	103.75
292.221	129.25	0	129.25
292.364	122.25	0	122.25
292.506	139.5	0	139.5
292.648	138.25	0	138.25
292.79	157	0	157
292.933	137	0	137
293.075	115.25	0	115.25
293.217	108.75	0	108.75
293.359	112.75	0	112.75
293.502	125.5	0	125.5
293.644	109.25	0	109.25
293.786	114	0	114
293.928	110	0	110
294.07	103.75	0	103.75
294.212	109.5	0	109.5
294.354	120	0	120
294.497	111.25	0	111.25
294.639	108	0	108
294.781	94	0	94
294.923	113.75	0	113.75
295.065	114.75	0	114.75
295.207	121.5	0	121.5
295.349	117.75	0	117.75
295.491	128	0	128
295.633	133	0	133
295.775	121.75	0	121.75
295.917	114	0	114
296.059	109.25	0	109.25
296.201	103.25	0	103.25
296.343	108	0	108
296.485	111.5	0	111.5
296.627	103	0	103
296.769	126.75	0	126.75
296.911	112	0	112
297.053	131.75	0	131.75
297.195	113.25	0	113.25
297.337	116.75	0	116.75
297.478	117.75	0	117.75
297.62	120.75	0	120.75
297.762	134.25	0	134.25
297.904	126.25	0	126.25
298.046	131.25	0	131.25
298.188	133.5	0	133.5
298.33	159.25	0	159.25
298.471	220.25	0	220.25
298.613	276	0	276
298.755	282.75	0	282.75
298.897	264.75	0	264.75
299.038	206.25	0	206.25
299.18	186.5	0	186.5
299.322	155.75	0	155.75
299.464	180.75	0	180.75
299.605	143.5	0	143.5
299.747	158.5	0	158.5
299.889	185.5	0	185.5
300.031	174.25	0	174.25
300.172	181.5	0	181.5
300.314	171.25	0	171.25
300.456	155.5	0	155.5
300.597	144.75	0	144.75
300.739	146.75	0	146.75
300.881	143.25	0	143.25
301.022	170.75	0	170.75
301.164	192.25	0	192.25
301.305	213.5	0	213.5
301.447	239.75	0	239.75
301.589	280.25	0	280.25
301.73	277.25	0	277.25
301.872	215.75	0	215.75
302.013	182.25	0	182.25
302.155	177	0	177
302.296	177.5	0	177.5
302.438	197.25	0	197.25
302.579	189.25	0	189.25
302.721	188.25	0	188.25
302.862	167.5	0	167.5
303.004	167	0	167
303.145	160	0	160
303.287	186.25	0	186.25
303.428	186	0	186
303.569	168.5	0	168.5
303.711	198.5	0	198.5
303.852	256.75	0	256.75
303.994	336	0	336
304.135	538.25	0	538.25
304.276	655.25	0	655.25
304.418	592.5	0	592.5
304.559	436.75	0	436.75
304.7	376.25	0	376.25
304.842	383	0	383
304.983	320.25	0	320.25
305.124	251.75	0	251.75
305.266	225	0	225
305.407	220.5	0	220.5
305.548	230.25	0	230.25
305.69	270.5	0	270.5
305.831	349.5	0	349.5
305.972	515	0	515
306.113	587	0	587
306.254	451.5	0	451.5
306.396	308.5	0	308.5
306.537	254.75	0	254.75
306.678	245.75	0	245.75
306.819	270	0	270
306.96	344.5	0	344.5
307.102	501.25	0	501.25
307.243	455.5	0	455.5
307.384	307.25	0	307.25
307.525	255.75	0	255.75
307.666	248.25	0	248.25
307.807	263.25	0	263.25
307.948	314.25	0	314.25
308.089	383.75	0	383.75
308.23	412.25	0	412.25
308.371	423.25	0	423.25
308.513	500	0	500
308.654	540.75	0	540.75
308.795	407.25	0	407.25
308.936	363.25	0	363.25
309.077	271.5	0	271.5
309.218	256.75	0	256.75
309.359	250.75	0	250.75
309.499	297.75	0	297.75
309.64	286	0	286
309.781	320	0	320
309.922	281.25	0	281.25
310.063	323	0	323
310.204	290.25	0	290.25
310.345	275.75	0	275.75
310.486	245	0	245
310.627	246.75	0	246.75
310.768	291	0	291
310.909	293.25	0	293.25
311.049	294.25	0	294.25
311.19	277.75	0	277.75
311.331	269.75	0	269.75
311.472	253.25	0	253.25
311.613	252	0	252
311.753	286.75	0	286.75
311.894	325.75	0	325.75
312.035	387	0	387
312.176	353.5	0	353.5
312.316	273.75	0	273.75
312.457	263.25	0	263.25
312.598	284	0	284
312.739	268	0	268
312.879	259.5	0	259.5
313.02	251.25	0	251.25
313.161	256.25	0	256.25
313.301	261.5	0	261.5
313.442	338.75	0	338.75
313.583	463.75	0	463.75
313.723	478.75	0	478.75
313.864	437	0	437
314.005	385	0	385
314.145	327.25	0	327.25
314.286	317.5	0	317.5
314.426	394.25	0	394.25
314.567	498.25	0	498.25
314.707	509	0	509
