Lambda	Spectrum	Dark	SpecMinusDark
268.175	8.5	0	8.5
268.319	17.25	0	17.25
268.463	12.25	0	12.25
268.607	9.75	0	9.75
268.751	10	0	10
268.895	11.5	0	11.5
269.039	13	0	13
269.183	8	0	8
269.327	7.25	0	7.25
269.47	6.25	0	6.25
269.614	13.75	0	13.75
269.758	8.75	0	8.75
269.902	14.5	0	14.5
270.046	6.5	0	6.5
270.19	13	0	13
270.334	12.25	0	12.25
270.477	24.75	0	24.75
270.621	8	0	8
270.765	15.25	0	15.25
270.909	20.25	0	20.25
271.053	14	0	14
271.196	14.25	0	14.25
271.34	16	0	16
271.484	22	0	22
271.628	19.5	0	19.5
271.771	22.25	0	22.25
271.915	23	0	23
272.059	12.25	0	12.25
272.202	13.5	0	13.5
272.346	14	0	14
272.49	21	0	21
272.634	13.25	0	13.25
272.777	23	0	23
272.921	23	0	23
273.064	16.5	0	16.5
273.208	16.75	0	16.75
273.352	15.5	0	15.5
273.495	15.75	0	15.75
273.639	6.5	0	6.5
273.783	14	0	14
273.926	17.25	0	17.25
274.07	20	0	20
274.213	19.75	0	19.75
274.357	12.5	0	12.5
274.5	11	0	11
274.644	11	0	11
274.787	16.5	0	16.5
274.931	11.25	0	11.25
275.074	23.75	0	23.75
275.218	17.75	0	17.75
275.361	20.5	0	20.5
275.505	19	0	19
275.648	16	0	16
275.792	16.75	0	16.75
275.935	18.75	0	18.75
276.079	19	0	19
276.222	25.5	0	25.5
276.366	27.75	0	27.75
276.509	24.25	0	24.25
276.652	16.25	0	16.25
276.796	18	0	18
276.939	26.5	0	26.5
277.082	17.75	0	17.75
277.226	20.5	0	20.5
277.369	16	0	16
277.513	17.25	0	17.25
277.656	15.75	0	15.75
277.799	21.25	0	21.25
277.942	21.75	0	21.75
278.086	8.25	0	8.25
278.229	15	0	15
278.372	20.25	0	20.25
278.516	23.5	0	23.5
278.659	14.25	0	14.25
278.802	12.5	0	12.5
278.945	18.25	0	18.25
279.089	13	0	13
279.232	14	0	14
279.375	7	0	7
279.518	17.5	0	17.5
279.661	24.5	0	24.5
279.805	26.75	0	26.75
279.948	26.5	0	26.5
280.091	21.25	0	21.25
280.234	16.75	0	16.75
280.377	15.5	0	15.5
280.52	10.25	0	10.25
280.663	18	0	18
280.806	25.5	0	25.5
280.95	22.25	0	22.25
281.093	20.75	0	20.75
281.236	27	0	27
281.379	17	0	17
281.522	25	0	25
281.665	23.5	0	23.5
281.808	22.25	0	22.25
281.951	21.5	0	21.5
282.094	36.75	0	36.75
282.237	51	0	51
282.38	58.5	0	58.5
282.523	39	0	39
282.666	33.5	0	33.5
282.809	24.25	0	24.25
282.952	31.75	0	31.75
283.095	26.75	0	26.75
283.238	29.75	0	29.75
283.381	18.25	0	18.25
283.523	27	0	27
283.666	21.25	0	21.25
283.809	26.25	0	26.25
283.952	35.75	0	35.75
284.095	27.5	0	27.5
284.238	29	0	29
284.381	27.5	0	27.5
284.524	22	0	22
284.666	14.25	0	14.25
