Lambda	Spectrum	Dark	SpecMinusDark
268.175	70.75	0	70.75
268.319	74.75	0	74.75
268.463	77	0	77
268.607	64.5	0	64.5
268.751	90.75	0	90.75
268.895	93.25	0	93.25
269.039	80	0	80
269.183	79.75	0	79.75
269.327	88.5	0	88.5
269.47	77.25	0	77.25
269.614	84.75	0	84.75
269.758	80.25	0	80.25
269.902	89.5	0	89.5
270.046	81.5	0	81.5
270.19	103.25	0	103.25
270.334	111.75	0	111.75
270.477	106.75	0	106.75
270.621	120.5	0	120.5
270.765	124.5	0	124.5
270.909	125	0	125
271.053	130	0	130
271.196	131.25	0	131.25
271.34	154	0	154
271.484	168	0	168
271.628	195.25	0	195.25
271.771	264.75	0	264.75
271.915	276.75	0	276.75
272.059	272.25	0	272.25
272.202	231.75	0	231.75
272.346	234.5	0	234.5
272.49	197	0	197
272.634	191.25	0	191.25
272.777	186.75	0	186.75
272.921	178.75	0	178.75
273.064	194	0	194
273.208	235.75	0	235.75
273.352	282.75	0	282.75
273.495	292.25	0	292.25
273.639	292	0	292
273.783	294.25	0	294.25
273.926	306.5	0	306.5
274.07	324.25	0	324.25
274.213	345.75	0	345.75
274.357	330.75	0	330.75
274.5	343.25	0	343.25
274.644	365	0	365
274.787	365.75	0	365.75
274.931	352.75	0	352.75
275.074	305.5	0	305.5
275.218	285.5	0	285.5
275.361	336.75	0	336.75
275.505	322.75	0	322.75
275.648	289.5	0	289.5
275.792	231	0	231
275.935	233	0	233
276.079	209.75	0	209.75
276.222	212.5	0	212.5
276.366	165.5	0	165.5
276.509	193.75	0	193.75
276.652	200.25	0	200.25
276.796	192	0	192
276.939	176	0	176
277.082	192	0	192
277.226	175.25	0	175.25
277.369	175.25	0	175.25
277.513	170.25	0	170.25
277.656	172.75	0	172.75
277.799	165.25	0	165.25
277.942	140.75	0	140.75
278.086	161	0	161
278.229	145.75	0	145.75
278.372	171.75	0	171.75
278.516	203.75	0	203.75
278.659	228.25	0	228.25
278.802	227.25	0	227.25
278.945	164.25	0	164.25
279.089	157	0	157
279.232	183.25	0	183.25
279.375	210.75	0	210.75
279.518	194.5	0	194.5
279.661	209.75	0	209.75
279.805	192.75	0	192.75
279.948	182.75	0	182.75
280.091	170.25	0	170.25
280.234	168.5	0	168.5
280.377	166.25	0	166.25
280.52	159	0	159
280.663	169.25	0	169.25
280.806	126.25	0	126.25
280.95	154.5	0	154.5
281.093	170.25	0	170.25
281.236	216.25	0	216.25
281.379	159.25	0	159.25
281.522	127.5	0	127.5
281.665	133.5	0	133.5
281.808	121	0	121
281.951	122.25	0	122.25
282.094	155	0	155
282.237	168.5	0	168.5
282.38	167.5	0	167.5
282.523	166.25	0	166.25
282.666	153.5	0	153.5
282.809	137.25	0	137.25
282.952	144.5	0	144.5
283.095	187	0	187
283.238	196	0	196
283.381	159.5	0	159.5
283.523	155	0	155
283.666	145.5	0	145.5
283.809	162.75	0	162.75
283.952	157.75	0	157.75
284.095	159.5	0	159.5
284.238	218.75	0	218.75
284.381	222.5	0	222.5
284.524	161.5	0	161.5
284.666	155.25	0	155.25
284.809	139	0	139
284.952	146.75	0	146.75
285.095	171.5	0	171.5
285.238	152.5	0	152.5
285.38	133.75	0	133.75
285.523	129.25	0	129.25
285.666	121	0	121
285.809	138	0	138
285.951	110.5	0	110.5
286.094	132.25	0	132.25
286.237	137.75	0	137.75
286.38	136.75	0	136.75
286.522	140.25	0	140.25
286.665	141	0	141
286.808	146.75	0	146.75
286.95	146.25	0	146.25
287.093	145.5	0	145.5
287.236	141	0	141
287.378	151.75	0	151.75
287.521	145.75	0	145.75
287.663	148.25	0	148.25
287.806	136	0	136
287.949	141.75	0	141.75
288.091	129.25	0	129.25
288.234	144	0	144
288.376	113.5	0	113.5
288.519	110.75	0	110.75
288.661	122.75	0	122.75
288.804	120.75	0	120.75
288.946	116.25	0	116.25
289.089	136	0	136
289.231	151.25	0	151.25
289.374	176.5	0	176.5
289.516	159.25	0	159.25
289.659	138.75	0	138.75
289.801	144.25	0	144.25
289.944	121.75	0	121.75
290.086	142.5	0	142.5
290.229	117.75	0	117.75
290.371	132.25	0	132.25
290.513	131.25	0	131.25
290.656	147.25	0	147.25
290.798	142	0	142
290.941	155.25	0	155.25
291.083	182.75	0	182.75
291.225	150.5	0	150.5
291.368	152.25	0	152.25
291.51	151.75	0	151.75
291.652	184.25	0	184.25
291.795	207.75	0	207.75
291.937	179	0	179
292.079	193	0	193
292.221	200	0	200
292.364	214	0	214
292.506	199	0	199
292.648	218.25	0	218.25
292.79	249.25	0	249.25
292.933	219.75	0	219.75
293.075	185.25	0	185.25
293.217	182.75	0	182.75
293.359	225.25	0	225.25
293.502	292	0	292
293.644	338.5	0	338.5
293.786	267	0	267
