Lambda	Spectrum	Dark	SpecMinusDark
268.175	57.25	0	57.25
268.319	62.5	0	62.5
268.463	71	0	71
268.607	73.5	0	73.5
268.751	101.25	0	101.25
268.895	167.25	0	167.25
269.039	193.75	0	193.75
269.183	173.75	0	173.75
269.327	161.25	0	161.25
269.47	120.75	0	120.75
269.614	110.75	0	110.75
269.758	113.5	0	113.5
269.902	100	0	100
270.046	87.75	0	87.75
270.19	97.5	0	97.5
270.334	108.5	0	108.5
270.477	106.25	0	106.25
270.621	158.25	0	158.25
270.765	218	0	218
270.909	257.5	0	257.5
271.053	215.75	0	215.75
271.196	182.25	0	182.25
271.34	154.75	0	154.75
271.484	128.25	0	128.25
271.628	110.25	0	110.25
271.771	102	0	102
271.915	105.25	0	105.25
272.059	104	0	104
272.202	81.75	0	81.75
272.346	73.25	0	73.25
272.49	67	0	67
272.634	64.75	0	64.75
272.777	71	0	71
272.921	71	0	71
273.064	73.75	0	73.75
273.208	68.75	0	68.75
273.352	69.5	0	69.5
273.495	72.75	0	72.75
273.639	78.5	0	78.5
273.783	117.5	0	117.5
273.926	134	0	134
274.07	113	0	113
274.213	96.5	0	96.5
274.357	101	0	101
274.5	98.75	0	98.75
274.644	107.25	0	107.25
274.787	106	0	106
274.931	133	0	133
275.074	192	0	192
275.218	248.5	0	248.5
275.361	304.25	0	304.25
275.505	326.75	0	326.75
275.648	274.5	0	274.5
275.792	232.75	0	232.75
275.935	197.25	0	197.25
276.079	149.25	0	149.25
276.222	135	0	135
276.366	116.5	0	116.5
276.509	113	0	113
276.652	106.75	0	106.75
276.796	82.25	0	82.25
276.939	91.25	0	91.25
277.082	80.75	0	80.75
277.226	77.75	0	77.75
277.369	72.5	0	72.5
277.513	65.25	0	65.25
277.656	59.25	0	59.25
277.799	76.5	0	76.5
277.942	75.5	0	75.5
278.086	76	0	76
278.229	61.25	0	61.25
278.372	61.75	0	61.75
278.516	64.75	0	64.75
278.659	61.5	0	61.5
278.802	65.5	0	65.5
278.945	68.25	0	68.25
279.089	55.5	0	55.5
279.232	63.5	0	63.5
279.375	68.75	0	68.75
279.518	67	0	67
279.661	53.25	0	53.25
279.805	58.5	0	58.5
279.948	55.25	0	55.25
280.091	61	0	61
280.234	59	0	59
280.377	53.25	0	53.25
280.52	54.75	0	54.75
280.663	57.25	0	57.25
280.806	45.5	0	45.5
280.95	50.25	0	50.25
281.093	59.75	0	59.75
281.236	45.5	0	45.5
281.379	44.25	0	44.25
281.522	60	0	60
281.665	54.25	0	54.25
281.808	62	0	62
281.951	56.25	0	56.25
282.094	55.25	0	55.25
282.237	61.5	0	61.5
282.38	68.25	0	68.25
282.523	54.5	0	54.5
282.666	70.75	0	70.75
282.809	63.25	0	63.25
282.952	62.5	0	62.5
283.095	51.75	0	51.75
283.238	74.5	0	74.5
283.381	61	0	61
283.523	49.75	0	49.75
283.666	52.25	0	52.25
283.809	57	0	57
283.952	57.75	0	57.75
284.095	57.25	0	57.25
284.238	57.5	0	57.5
284.381	48.25	0	48.25
284.524	53	0	53
284.666	44	0	44
284.809	54.25	0	54.25
284.952	51.5	0	51.5
285.095	40.75	0	40.75
285.238	50.75	0	50.75
285.38	47	0	47
285.523	54.75	0	54.75
285.666	51.75	0	51.75
285.809	50	0	50
285.951	45	0	45
286.094	49.25	0	49.25
286.237	58	0	58
286.38	64	0	64
286.522	44	0	44
286.665	56.75	0	56.75
286.808	52.25	0	52.25
286.95	42.25	0	42.25
287.093	55	0	55
287.236	51.75	0	51.75
287.378	54	0	54
287.521	48.25	0	48.25
287.663	42.25	0	42.25
287.806	51.75	0	51.75
287.949	58	0	58
288.091	54.75	0	54.75
288.234	66.25	0	66.25
288.376	62.25	0	62.25
288.519	55	0	55
288.661	59.75	0	59.75
288.804	57	0	57
288.946	57.25	0	57.25
289.089	57.75	0	57.75
289.231	65.25	0	65.25
289.374	58.5	0	58.5
289.516	57.25	0	57.25
289.659	54.25	0	54.25
289.801	59.5	0	59.5
289.944	56.75	0	56.75
290.086	61	0	61
290.229	59.75	0	59.75
290.371	62.25	0	62.25
290.513	58.25	0	58.25
290.656	54	0	54
290.798	63.5	0	63.5
290.941	53.5	0	53.5
291.083	56.25	0	56.25
291.225	54.25	0	54.25
291.368	51.5	0	51.5
291.51	53	0	53
291.652	52.75	0	52.75
291.795	55.25	0	55.25
291.937	46.25	0	46.25
292.079	58	0	58
292.221	65	0	65
292.364	66	0	66
292.506	60.75	0	60.75
292.648	64.25	0	64.25
292.79	61	0	61
292.933	67.25	0	67.25
293.075	62.5	0	62.5
293.217	63.5	0	63.5
293.359	64.75	0	64.75
293.502	59.25	0	59.25
293.644	58.75	0	58.75
293.786	59	0	59
293.928	64.75	0	64.75
294.07	59	0	59
294.212	61.75	0	61.75
294.354	60.5	0	60.5
294.497	65.5	0	65.5
294.639	59.5	0	59.5
294.781	55.5	0	55.5
294.923	68.5	0	68.5
295.065	59.75	0	59.75
295.207	56	0	56
295.349	70.25	0	70.25
295.491	71.5	0	71.5
295.633	59.25	0	59.25
295.775	82	0	82
295.917	58.5	0	58.5
296.059	67.25	0	67.25
296.201	58.75	0	58.75
296.343	68.75	0	68.75
296.485	66.5	0	66.5
296.627	81.5	0	81.5
296.769	63.75	0	63.75
296.911	64	0	64
297.053	68.5	0	68.5
297.195	63	0	63
297.337	69.25	0	69.25
297.478	71.5	0	71.5
297.62	78	0	78
297.762	82.5	0	82.5
297.904	71.5	0	71.5
298.046	83.25	0	83.25
298.188	73.75	0	73.75
298.33	73.75	0	73.75
298.471	78.25	0	78.25
298.613	71.5	0	71.5
298.755	79.75	0	79.75
298.897	85.5	0	85.5
299.038	77.5	0	77.5
299.18	84.75	0	84.75
299.322	82.25	0	82.25
299.464	96	0	96
299.605	94.75	0	94.75
299.747	86.5	0	86.5
299.889	82	0	82
300.031	94.75	0	94.75
300.172	88.5	0	88.5
300.314	83	0	83
300.456	93.75	0	93.75
300.597	102.25	0	102.25
300.739	98.5	0	98.5
300.881	96	0	96
301.022	94.5	0	94.5
301.164	100	0	100
301.305	112.75	0	112.75
301.447	120	0	120
301.589	126	0	126
301.73	116.5	0	116.5
301.872	131	0	131
302.013	120	0	120
302.155	148.5	0	148.5
302.296	150.75	0	150.75
302.438	160.25	0	160.25
302.579	177.75	0	177.75
302.721	204	0	204
302.862	237	0	237
303.004	259.5	0	259.5
303.145	303.75	0	303.75
303.287	378.5	0	378.5
303.428	541.25	0	541.25
303.569	795	0	795
303.711	1204.5	0	1204.5
303.852	1382	0	1382
303.994	1232	0	1232
304.135	1025.75	0	1025.75
304.276	878.75	0	878.75
304.418	748.25	0	748.25
304.559	644.75	0	644.75
304.7	568.5	0	568.5
304.842	536.5	0	536.5
304.983	454.5	0	454.5
305.124	390.25	0	390.25
305.266	370.5	0	370.5
305.407	354.5	0	354.5
305.548	308.75	0	308.75
305.69	299	0	299
305.831	269.75	0	269.75
305.972	259.5	0	259.5
306.113	220.25	0	220.25
306.254	234.5	0	234.5
306.396	221	0	221
306.537	213.5	0	213.5
306.678	202.75	0	202.75
306.819	188.25	0	188.25
306.96	182.25	0	182.25
307.102	165.25	0	165.25
307.243	150.75	0	150.75
307.384	157.5	0	157.5
307.525	148.75	0	148.75
307.666	165.75	0	165.75
307.807	153.25	0	153.25
307.948	152	0	152
308.089	138.25	0	138.25
308.23	148.5	0	148.5
308.371	145.5	0	145.5
308.513	146.25	0	146.25
308.654	136.5	0	136.5
308.795	127.75	0	127.75
308.936	118.75	0	118.75
309.077	116.5	0	116.5
309.218	137.75	0	137.75
309.359	120.5	0	120.5
309.499	113	0	113
309.64	110	0	110
309.781	115.75	0	115.75
309.922	118	0	118
310.063	112.25	0	112.25
310.204	119.25	0	119.25
310.345	117.5	0	117.5
310.486	122	0	122
310.627	121.5	0	121.5
310.768	109.75	0	109.75
310.909	109.25	0	109.25
311.049	123	0	123
311.19	103.5	0	103.5
311.331	107	0	107
311.472	118	0	118
311.613	110.75	0	110.75
311.753	119.5	0	119.5
311.894	116	0	116
312.035	131.5	0	131.5
312.176	191.25	0	191.25
312.316	261	0	261
312.457	275.5	0	275.5
312.598	207	0	207
312.739	148	0	148
312.879	141.75	0	141.75
313.02	137.25	0	137.25
313.161	127.75	0	127.75
313.301	120.25	0	120.25
313.442	105	0	105
313.583	120.5	0	120.5
313.723	109.75	0	109.75
313.864	126	0	126
314.005	111.75	0	111.75
314.145	131.75	0	131.75
314.286	107.25	0	107.25
314.426	121.5	0	121.5
314.567	115.5	0	115.5
314.707	104	0	104
314.848	102	0	102
314.989	122.25	0	122.25
315.129	100.25	0	100.25
315.27	104.5	0	104.5
315.41	109.5	0	109.5
315.551	111.25	0	111.25
315.691	110.25	0	110.25
315.831	98.25	0	98.25
315.972	105.75	0	105.75
316.112	99	0	99
316.253	88.25	0	88.25
316.393	99.25	0	99.25
316.534	96.25	0	96.25
316.674	108.5	0	108.5
316.814	107.5	0	107.5
316.955	102.25	0	102.25
317.095	102.75	0	102.75
317.236	106.75	0	106.75
317.376	111.75	0	111.75
317.516	97.5	0	97.5
317.656	92.25	0	92.25
317.797	114.5	0	114.5
317.937	115	0	115
318.077	106.5	0	106.5
318.218	98.75	0	98.75
318.358	113.75	0	113.75
318.498	107.75	0	107.75
318.638	118.75	0	118.75
318.779	112.25	0	112.25
318.919	116.5	0	116.5
319.059	101.5	0	101.5
319.199	108.5	0	108.5
319.34	111	0	111
319.48	115.25	0	115.25
319.62	111.75	0	111.75
319.76	118	0	118
319.9	111.75	0	111.75
320.04	117.75	0	117.75
320.18	104.75	0	104.75
320.32	108	0	108
320.461	113.5	0	113.5
320.601	110.5	0	110.5
320.741	114.5	0	114.5
320.881	113.5	0	113.5
321.021	119	0	119
321.161	120	0	120
321.301	104.75	0	104.75
321.441	117.5	0	117.5
321.581	106.75	0	106.75
321.721	117.75	0	117.75
321.861	113.5	0	113.5
322.001	117.5	0	117.5
322.141	125.25	0	125.25
322.281	115	0	115
322.421	114	0	114
322.561	118.5	0	118.5
322.7	111.75	0	111.75
322.84	126.25	0	126.25
322.98	122.5	0	122.5
323.12	120.75	0	120.75
323.26	120.25	0	120.25
323.4	129	0	129
323.54	109.25	0	109.25
323.68	126.5	0	126.5
323.819	133	0	133
323.959	121.25	0	121.25
324.099	126	0	126
324.239	136.75	0	136.75
324.379	126.75	0	126.75
324.518	145.75	0	145.75
324.658	146.25	0	146.25
324.798	131.75	0	131.75
324.937	138.5	0	138.5
325.077	132.5	0	132.5
325.217	159.5	0	159.5
325.357	147.75	0	147.75
325.496	139	0	139
325.636	142	0	142
325.776	161.25	0	161.25
325.915	172	0	172
326.055	172.5	0	172.5
326.195	214.75	0	214.75
326.334	255	0	255
326.474	349.75	0	349.75
326.613	667.5	0	667.5
326.753	1245	0	1245
326.892	1557.5	0	1557.5
327.032	1053.75	0	1053.75
327.172	741	0	741
327.311	551.5	0	551.5
327.451	451.5	0	451.5
327.59	364.5	0	364.5
327.73	300.5	0	300.5
327.869	304.75	0	304.75
328.009	282.25	0	282.25
328.148	244	0	244
328.288	224.25	0	224.25
328.427	215	0	215
328.566	234	0	234
328.706	209.75	0	209.75
328.845	189.5	0	189.5
328.985	183.25	0	183.25
329.124	181	0	181
329.263	181.25	0	181.25
329.403	161.5	0	161.5
329.542	170	0	170
329.681	162.25	0	162.25
329.821	174.25	0	174.25
329.96	166.25	0	166.25
330.099	176	0	176
330.239	166.5	0	166.5
330.378	171.25	0	171.25
330.517	155.25	0	155.25
330.656	167.75	0	167.75
330.796	170.5	0	170.5
330.935	161	0	161
331.074	161.25	0	161.25
331.213	151.75	0	151.75
331.352	159.5	0	159.5
331.492	156.5	0	156.5
331.631	154.5	0	154.5
331.77	144.25	0	144.25
331.909	168	0	168
332.048	148	0	148
332.187	167.75	0	167.75
332.327	149.5	0	149.5
332.466	158.75	0	158.75
332.605	149.25	0	149.25
332.744	172	0	172
332.883	154.5	0	154.5
333.022	154.75	0	154.75
333.161	162.5	0	162.5
333.3	169.75	0	169.75
333.439	158.75	0	158.75
333.578	148.75	0	148.75
333.717	150	0	150
333.856	162.75	0	162.75
333.995	159.5	0	159.5
334.134	171.5	0	171.5
334.273	160	0	160
334.412	163	0	163
334.551	156	0	156
334.69	142.25	0	142.25
334.828	160.5	0	160.5
334.967	159	0	159
335.106	154.75	0	154.75
335.245	165.5	0	165.5
335.384	160.75	0	160.75
335.523	175.25	0	175.25
335.662	163.25	0	163.25
335.8	169	0	169
335.939	167.5	0	167.5
336.078	171.5	0	171.5
336.217	171.75	0	171.75
336.356	169.75	0	169.75
336.494	163.75	0	163.75
336.633	164.75	0	164.75
336.772	184	0	184
336.911	173	0	173
337.049	179.5	0	179.5
337.188	170	0	170
337.327	166	0	166
337.465	165	0	165
337.604	187.75	0	187.75
337.743	161.75	0	161.75
337.881	159.75	0	159.75
338.02	170.5	0	170.5
338.158	167.25	0	167.25
338.297	169.5	0	169.5
338.436	159.5	0	159.5
338.574	171.5	0	171.5
338.713	181.5	0	181.5
338.851	187.75	0	187.75
338.99	192	0	192
339.128	176.75	0	176.75
339.267	191.5	0	191.5
339.405	174.75	0	174.75
339.544	217	0	217
339.682	225	0	225
339.821	240	0	240
339.959	245.75	0	245.75
340.098	289.5	0	289.5
340.236	331.5	0	331.5
340.375	412.25	0	412.25
340.513	527	0	527
340.651	681.5	0	681.5
340.79	899.25	0	899.25
340.928	1146.5	0	1146.5
341.067	1460.25	0	1460.25
341.205	1720.25	0	1720.25
341.343	1907.25	0	1907.25
341.482	2097.25	0	2097.25
341.62	2102.75	0	2102.75
341.758	2025.25	0	2025.25
341.897	1790.75	0	1790.75
342.035	1480.75	0	1480.75
342.173	1221.75	0	1221.75
342.311	963.5	0	963.5
342.45	714.25	0	714.25
342.588	572	0	572
342.726	457	0	457
342.864	376	0	376
343.002	316.25	0	316.25
343.141	285.75	0	285.75
343.279	253	0	253
343.417	232.25	0	232.25
343.555	215	0	215
343.693	238.25	0	238.25
343.831	205	0	205
343.969	200.75	0	200.75
344.108	211.25	0	211.25
344.246	207.75	0	207.75
344.384	224.25	0	224.25
344.522	207.75	0	207.75
344.66	206.5	0	206.5
344.798	193.75	0	193.75
344.936	201.5	0	201.5
345.074	205.75	0	205.75
345.212	205.5	0	205.5
345.35	190.5	0	190.5
345.488	204.5	0	204.5
345.626	204	0	204
345.764	220	0	220
345.902	215.5	0	215.5
346.04	200.75	0	200.75
346.178	214.5	0	214.5
346.315	218.5	0	218.5
346.453	216.75	0	216.75
346.591	203.75	0	203.75
346.729	203	0	203
346.867	205.25	0	205.25
347.005	194.5	0	194.5
347.143	221	0	221
347.28	214.5	0	214.5
347.418	215.5	0	215.5
347.556	207.25	0	207.25
347.694	215.25	0	215.25
347.832	214.25	0	214.25
347.969	219.25	0	219.25
348.107	211	0	211
348.245	218.25	0	218.25
348.382	225.25	0	225.25
348.52	208.25	0	208.25
348.658	220.75	0	220.75
348.796	202	0	202
348.933	230.25	0	230.25
349.071	206.25	0	206.25
349.209	213.75	0	213.75
349.346	217.5	0	217.5
349.484	211.75	0	211.75
349.621	225.75	0	225.75
349.759	233.75	0	233.75
349.897	213.5	0	213.5
350.034	210.5	0	210.5
350.172	213.5	0	213.5
350.309	213	0	213
350.447	242.5	0	242.5
350.584	225	0	225
350.722	214.25	0	214.25
350.859	215.5	0	215.5
350.997	240	0	240
351.134	219.5	0	219.5
351.272	215	0	215
351.409	224.75	0	224.75
351.547	254.75	0	254.75
351.684	227.25	0	227.25
351.822	226.25	0	226.25
351.959	233.75	0	233.75
352.096	222.5	0	222.5
352.234	228.5	0	228.5
352.371	213.75	0	213.75
352.508	231.25	0	231.25
352.646	257	0	257
352.783	252	0	252
