Lambda	Spectrum	Dark	SpecMinusDark
268.175	18.75	0	18.75
268.319	20.5	0	20.5
268.463	22.25	0	22.25
268.607	23.75	0	23.75
268.751	22.25	0	22.25
268.895	19.5	0	19.5
269.039	27.75	0	27.75
269.183	15.25	0	15.25
269.327	13.75	0	13.75
269.47	20.75	0	20.75
269.614	14.75	0	14.75
269.758	20.5	0	20.5
269.902	29	0	29
270.046	21	0	21
270.19	26.25	0	26.25
270.334	27	0	27
270.477	25.75	0	25.75
270.621	20.5	0	20.5
270.765	30.5	0	30.5
270.909	29.25	0	29.25
271.053	17	0	17
271.196	26	0	26
271.34	32.25	0	32.25
271.484	32.75	0	32.75
271.628	25	0	25
271.771	31	0	31
271.915	18	0	18
272.059	23.75	0	23.75
272.202	18.25	0	18.25
272.346	18	0	18
272.49	27.5	0	27.5
272.634	26	0	26
272.777	19.75	0	19.75
272.921	13.25	0	13.25
273.064	28.5	0	28.5
273.208	20.75	0	20.75
273.352	31	0	31
273.495	30.5	0	30.5
273.639	22	0	22
273.783	32.75	0	32.75
273.926	29.25	0	29.25
274.07	24.5	0	24.5
274.213	30.25	0	30.25
274.357	23	0	23
274.5	28.25	0	28.25
274.644	28.25	0	28.25
274.787	20.75	0	20.75
274.931	28.25	0	28.25
275.074	30.5	0	30.5
275.218	31.25	0	31.25
275.361	21.5	0	21.5
275.505	31.5	0	31.5
275.648	30	0	30
275.792	34.25	0	34.25
275.935	33	0	33
276.079	36.25	0	36.25
276.222	25.25	0	25.25
276.366	35	0	35
276.509	26	0	26
276.652	32.5	0	32.5
276.796	27.5	0	27.5
276.939	32.25	0	32.25
277.082	29	0	29
277.226	40	0	40
277.369	35.75	0	35.75
277.513	22.25	0	22.25
277.656	25	0	25
277.799	34	0	34
277.942	28	0	28
278.086	29	0	29
278.229	38.5	0	38.5
278.372	31.5	0	31.5
278.516	31.5	0	31.5
278.659	31.5	0	31.5
278.802	32	0	32
278.945	31.25	0	31.25
279.089	31.25	0	31.25
279.232	41.75	0	41.75
279.375	28.25	0	28.25
279.518	34.5	0	34.5
279.661	36	0	36
279.805	34.75	0	34.75
279.948	22.25	0	22.25
280.091	34.75	0	34.75
280.234	31.25	0	31.25
280.377	30	0	30
280.52	39.75	0	39.75
280.663	27.75	0	27.75
280.806	36.75	0	36.75
280.95	36.75	0	36.75
281.093	33	0	33
281.236	41.5	0	41.5
281.379	37.25	0	37.25
281.522	48	0	48
281.665	32.25	0	32.25
281.808	42.5	0	42.5
281.951	27.25	0	27.25
282.094	35.25	0	35.25
282.237	42	0	42
282.38	38.25	0	38.25
282.523	28.25	0	28.25
282.666	42.75	0	42.75
282.809	40.5	0	40.5
282.952	40.5	0	40.5
283.095	34	0	34
283.238	37.25	0	37.25
283.381	36.75	0	36.75
283.523	33.25	0	33.25
283.666	41.25	0	41.25
283.809	42.5	0	42.5
283.952	50	0	50
284.095	43	0	43
284.238	37.5	0	37.5
284.381	46.25	0	46.25
284.524	44.75	0	44.75
284.666	37.5	0	37.5
284.809	41	0	41
284.952	36.75	0	36.75
285.095	40.5	0	40.5
285.238	38	0	38
285.38	43.25	0	43.25
285.523	43	0	43
285.666	42.25	0	42.25
285.809	37.25	0	37.25
285.951	38.5	0	38.5
286.094	39.75	0	39.75
286.237	40.5	0	40.5
286.38	43.25	0	43.25
286.522	37.5	0	37.5
286.665	44.75	0	44.75
286.808	47.25	0	47.25
286.95	45.25	0	45.25
287.093	41	0	41
287.236	36.25	0	36.25
287.378	41.75	0	41.75
287.521	37.75	0	37.75
287.663	45	0	45
287.806	50.5	0	50.5
287.949	39	0	39
288.091	62	0	62
288.234	46.75	0	46.75
288.376	48.5	0	48.5
288.519	40.75	0	40.75
288.661	52	0	52
288.804	43.5	0	43.5
288.946	47	0	47
289.089	46.25	0	46.25
289.231	47.5	0	47.5
289.374	50.5	0	50.5
289.516	45.25	0	45.25
289.659	40	0	40
289.801	37.75	0	37.75
289.944	44.25	0	44.25
290.086	37.25	0	37.25
290.229	51.5	0	51.5
290.371	52	0	52
290.513	45.75	0	45.75
290.656	55.25	0	55.25
290.798	41	0	41
290.941	52.25	0	52.25
291.083	41.5	0	41.5
291.225	57.5	0	57.5
291.368	51.5	0	51.5
291.51	45	0	45
291.652	54	0	54
291.795	50.75	0	50.75
291.937	39.75	0	39.75
292.079	47.75	0	47.75
292.221	50.5	0	50.5
292.364	43.5	0	43.5
292.506	47.25	0	47.25
292.648	43	0	43
292.79	54.25	0	54.25
292.933	51.75	0	51.75
293.075	48.25	0	48.25
293.217	44.75	0	44.75
293.359	57	0	57
293.502	58.25	0	58.25
293.644	47.75	0	47.75
293.786	44.25	0	44.25
293.928	58.75	0	58.75
294.07	53.5	0	53.5
294.212	49.5	0	49.5
294.354	60	0	60
294.497	42.5	0	42.5
294.639	52	0	52
294.781	52.25	0	52.25
294.923	51.75	0	51.75
295.065	56	0	56
295.207	52.25	0	52.25
295.349	53	0	53
295.491	66.25	0	66.25
295.633	50.75	0	50.75
295.775	47	0	47
295.917	48	0	48
296.059	46.5	0	46.5
296.201	44.5	0	44.5
296.343	42.5	0	42.5
296.485	49.5	0	49.5
296.627	54	0	54
296.769	46.25	0	46.25
296.911	53.75	0	53.75
297.053	59.75	0	59.75
297.195	58.25	0	58.25
297.337	56.5	0	56.5
297.478	48.75	0	48.75
297.62	53.75	0	53.75
297.762	68	0	68
297.904	53.5	0	53.5
298.046	63.75	0	63.75
298.188	47.75	0	47.75
298.33	60	0	60
298.471	50.5	0	50.5
298.613	67.75	0	67.75
298.755	56.75	0	56.75
298.897	58.5	0	58.5
299.038	52	0	52
299.18	64.25	0	64.25
299.322	50.25	0	50.25
299.464	66	0	66
299.605	59.75	0	59.75
299.747	66	0	66
299.889	57	0	57
300.031	58.75	0	58.75
300.172	58	0	58
300.314	66	0	66
300.456	53	0	53
300.597	68	0	68
300.739	59.75	0	59.75
300.881	64	0	64
301.022	59	0	59
301.164	60	0	60
301.305	62	0	62
301.447	64	0	64
301.589	63	0	63
301.73	66	0	66
301.872	61	0	61
302.013	62.5	0	62.5
302.155	62.5	0	62.5
302.296	76.5	0	76.5
302.438	72	0	72
302.579	63.5	0	63.5
302.721	62.75	0	62.75
302.862	71.25	0	71.25
303.004	62.75	0	62.75
303.145	65	0	65
303.287	60.75	0	60.75
303.428	59.5	0	59.5
303.569	73.5	0	73.5
303.711	68.5	0	68.5
303.852	55	0	55
303.994	59.5	0	59.5
304.135	69.75	0	69.75
304.276	68.75	0	68.75
304.418	67.75	0	67.75
304.559	67.5	0	67.5
304.7	62.75	0	62.75
304.842	66.5	0	66.5
304.983	54.75	0	54.75
305.124	72	0	72
305.266	59.25	0	59.25
305.407	66	0	66
305.548	64.25	0	64.25
305.69	83.5	0	83.5
305.831	66.5	0	66.5
305.972	62.75	0	62.75
306.113	68.5	0	68.5
306.254	63.75	0	63.75
306.396	69.75	0	69.75
306.537	70.25	0	70.25
306.678	74.25	0	74.25
306.819	59.25	0	59.25
306.96	71.25	0	71.25
307.102	72.5	0	72.5
307.243	73.5	0	73.5
307.384	77.25	0	77.25
307.525	67.5	0	67.5
307.666	73.25	0	73.25
307.807	70.25	0	70.25
307.948	79.25	0	79.25
308.089	77.5	0	77.5
308.23	92.75	0	92.75
308.371	72	0	72
308.513	68.75	0	68.75
308.654	78.5	0	78.5
308.795	82.75	0	82.75
308.936	81.25	0	81.25
309.077	58.5	0	58.5
309.218	79.75	0	79.75
309.359	81.75	0	81.75
309.499	75.25	0	75.25
309.64	74.25	0	74.25
309.781	82.75	0	82.75
309.922	75.5	0	75.5
310.063	72.25	0	72.25
310.204	80.75	0	80.75
310.345	73.5	0	73.5
310.486	75	0	75
310.627	79.75	0	79.75
310.768	70.25	0	70.25
310.909	81.25	0	81.25
311.049	78.25	0	78.25
311.19	82.5	0	82.5
311.331	84.5	0	84.5
311.472	74	0	74
311.613	73.75	0	73.75
311.753	68	0	68
311.894	84.25	0	84.25
312.035	78.75	0	78.75
312.176	76.5	0	76.5
312.316	84.25	0	84.25
312.457	89.5	0	89.5
312.598	84	0	84
312.739	75.5	0	75.5
312.879	92.25	0	92.25
313.02	91.75	0	91.75
313.161	91.25	0	91.25
313.301	71	0	71
313.442	85.75	0	85.75
313.583	80.25	0	80.25
313.723	86.25	0	86.25
313.864	81.25	0	81.25
314.005	87.5	0	87.5
314.145	91.5	0	91.5
314.286	95.5	0	95.5
314.426	89.75	0	89.75
314.567	105	0	105
314.707	76.75	0	76.75
314.848	101.25	0	101.25
314.989	106.75	0	106.75
315.129	93.25	0	93.25
315.27	93	0	93
315.41	94.25	0	94.25
315.551	99.25	0	99.25
315.691	100.25	0	100.25
315.831	78.75	0	78.75
315.972	98	0	98
316.112	96.25	0	96.25
316.253	90	0	90
316.393	97.25	0	97.25
316.534	89.25	0	89.25
316.674	99	0	99
316.814	97.5	0	97.5
316.955	101.5	0	101.5
317.095	92.5	0	92.5
317.236	88.75	0	88.75
317.376	97.5	0	97.5
317.516	91.75	0	91.75
317.656	100.25	0	100.25
317.797	94.75	0	94.75
317.937	103.75	0	103.75
318.077	96.25	0	96.25
318.218	95.75	0	95.75
318.358	105.25	0	105.25
318.498	97.75	0	97.75
318.638	109	0	109
318.779	92.5	0	92.5
318.919	87.5	0	87.5
319.059	93	0	93
319.199	97	0	97
319.34	99.5	0	99.5
319.48	91.75	0	91.75
319.62	109.25	0	109.25
319.76	108.5	0	108.5
319.9	91.5	0	91.5
320.04	98.75	0	98.75
320.18	105.25	0	105.25
320.32	109.75	0	109.75
320.461	98.75	0	98.75
320.601	105.75	0	105.75
320.741	110.75	0	110.75
320.881	107.75	0	107.75
321.021	105.25	0	105.25
321.161	113	0	113
321.301	105.25	0	105.25
321.441	103.5	0	103.5
321.581	108.75	0	108.75
321.721	114.75	0	114.75
321.861	103.5	0	103.5
322.001	110.25	0	110.25
322.141	106.75	0	106.75
322.281	101	0	101
322.421	104.75	0	104.75
322.561	121.25	0	121.25
322.7	114.5	0	114.5
322.84	113.5	0	113.5
322.98	117	0	117
323.12	108.5	0	108.5
323.26	122	0	122
323.4	114.75	0	114.75
323.54	115.25	0	115.25
323.68	126.5	0	126.5
323.819	125.25	0	125.25
323.959	119	0	119
324.099	127.75	0	127.75
324.239	114.75	0	114.75
324.379	125.75	0	125.75
324.518	118.75	0	118.75
324.658	111	0	111
324.798	131.5	0	131.5
324.937	125.75	0	125.75
325.077	124.5	0	124.5
325.217	133.25	0	133.25
325.357	111	0	111
325.496	129.75	0	129.75
325.636	130.5	0	130.5
325.776	119.25	0	119.25
325.915	141.25	0	141.25
326.055	131	0	131
326.195	130.5	0	130.5
326.334	125.25	0	125.25
326.474	127.25	0	127.25
326.613	133	0	133
326.753	118	0	118
326.892	133.75	0	133.75
327.032	133.25	0	133.25
327.172	126.5	0	126.5
327.311	126.5	0	126.5
327.451	144	0	144
327.59	138	0	138
327.73	128.5	0	128.5
327.869	137.25	0	137.25
328.009	142.25	0	142.25
328.148	128	0	128
328.288	131	0	131
328.427	128.75	0	128.75
328.566	138.5	0	138.5
328.706	127.75	0	127.75
328.845	135.5	0	135.5
328.985	135.5	0	135.5
329.124	124.25	0	124.25
329.263	142.75	0	142.75
329.403	140.25	0	140.25
329.542	143.75	0	143.75
329.681	132.25	0	132.25
329.821	153.25	0	153.25
329.96	142.75	0	142.75
330.099	138.75	0	138.75
330.239	136.25	0	136.25
330.378	133.25	0	133.25
330.517	143	0	143
330.656	156	0	156
330.796	144.75	0	144.75
330.935	148.75	0	148.75
331.074	144.5	0	144.5
331.213	151	0	151
331.352	148	0	148
331.492	150.5	0	150.5
331.631	135.25	0	135.25
331.77	146.25	0	146.25
331.909	149	0	149
332.048	136.5	0	136.5
332.187	155.75	0	155.75
332.327	145.75	0	145.75
332.466	156	0	156
332.605	148.5	0	148.5
332.744	137.75	0	137.75
332.883	141	0	141
333.022	156.25	0	156.25
333.161	161.5	0	161.5
333.3	161.25	0	161.25
333.439	152.5	0	152.5
333.578	147.5	0	147.5
333.717	158.25	0	158.25
333.856	159.75	0	159.75
333.995	142.25	0	142.25
334.134	150.25	0	150.25
334.273	165.75	0	165.75
334.412	162.5	0	162.5
334.551	154.5	0	154.5
334.69	147.5	0	147.5
334.828	162.75	0	162.75
334.967	174.25	0	174.25
335.106	177.75	0	177.75
335.245	160.75	0	160.75
335.384	161.25	0	161.25
335.523	166.25	0	166.25
335.662	181.25	0	181.25
335.8	163.25	0	163.25
335.939	157.5	0	157.5
336.078	170	0	170
336.217	170.25	0	170.25
336.356	171.5	0	171.5
336.494	186.75	0	186.75
336.633	180.75	0	180.75
336.772	184	0	184
336.911	174.5	0	174.5
337.049	189.25	0	189.25
337.188	167.25	0	167.25
337.327	193	0	193
337.465	185.5	0	185.5
337.604	187.75	0	187.75
337.743	186	0	186
337.881	191.75	0	191.75
338.02	170	0	170
338.158	202.75	0	202.75
338.297	187.25	0	187.25
338.436	193	0	193
338.574	186.75	0	186.75
338.713	203.5	0	203.5
338.851	205.25	0	205.25
338.99	206.75	0	206.75
339.128	218	0	218
339.267	219	0	219
339.405	253.75	0	253.75
339.544	273.25	0	273.25
339.682	327.75	0	327.75
339.821	422	0	422
339.959	531	0	531
340.098	622.5	0	622.5
340.236	717.5	0	717.5
340.375	726	0	726
340.513	803.5	0	803.5
340.651	982.5	0	982.5
340.79	1313.75	0	1313.75
340.928	1577.75	0	1577.75
341.067	1889.5	0	1889.5
341.205	2270.25	0	2270.25
341.343	2695.75	0	2695.75
341.482	3029.5	0	3029.5
341.62	3357.25	0	3357.25
341.758	3370.75	0	3370.75
341.897	3396.5	0	3396.5
342.035	3043	0	3043
342.173	2585.25	0	2585.25
342.311	2122.25	0	2122.25
342.45	1671.25	0	1671.25
342.588	1337.75	0	1337.75
342.726	1101	0	1101
342.864	824.75	0	824.75
343.002	710	0	710
343.141	605.25	0	605.25
343.279	526.25	0	526.25
343.417	485.5	0	485.5
343.555	446.75	0	446.75
343.693	404.5	0	404.5
343.831	388	0	388
343.969	344.75	0	344.75
344.108	321.75	0	321.75
344.246	329.5	0	329.5
344.384	285.25	0	285.25
344.522	286.5	0	286.5
344.66	263.25	0	263.25
344.798	244	0	244
344.936	249.75	0	249.75
345.074	232.25	0	232.25
345.212	228.75	0	228.75
345.35	227.25	0	227.25
345.488	213.5	0	213.5
345.626	209.5	0	209.5
345.764	210	0	210
345.902	217.5	0	217.5
346.04	208.5	0	208.5
346.178	213.75	0	213.75
346.315	206.75	0	206.75
346.453	216	0	216
346.591	209.75	0	209.75
346.729	205.75	0	205.75
346.867	198.25	0	198.25
347.005	207	0	207
347.143	201.5	0	201.5
347.28	213	0	213
347.418	208.75	0	208.75
347.556	210.25	0	210.25
347.694	210	0	210
347.832	213.25	0	213.25
347.969	204.5	0	204.5
348.107	231	0	231
348.245	198	0	198
348.382	222.5	0	222.5
348.52	204.5	0	204.5
348.658	205.25	0	205.25
348.796	219	0	219
348.933	216.5	0	216.5
349.071	221.75	0	221.75
349.209	231.25	0	231.25
349.346	211.5	0	211.5
349.484	210	0	210
349.621	219.25	0	219.25
349.759	227	0	227
349.897	221.5	0	221.5
350.034	224.75	0	224.75
350.172	211	0	211
350.309	213.25	0	213.25
350.447	222	0	222
350.584	231.25	0	231.25
350.722	210.75	0	210.75
350.859	214.5	0	214.5
350.997	216.5	0	216.5
351.134	214.5	0	214.5
351.272	221	0	221
351.409	228.5	0	228.5
351.547	236.25	0	236.25
351.684	222.75	0	222.75
351.822	219.25	0	219.25
351.959	212.5	0	212.5
352.096	224.75	0	224.75
352.234	214.75	0	214.75
352.371	224.75	0	224.75
352.508	225.75	0	225.75
352.646	210.25	0	210.25
352.783	217	0	217
352.92	222.25	0	222.25
353.058	227.5	0	227.5
353.195	227.75	0	227.75
353.332	228.25	0	228.25
353.469	223.5	0	223.5
353.607	248.75	0	248.75
353.744	212.75	0	212.75
353.881	241	0	241
354.018	222.5	0	222.5
354.156	241.25	0	241.25
354.293	216.25	0	216.25
354.43	247.5	0	247.5
354.567	240	0	240
354.704	232.25	0	232.25
354.841	235	0	235
354.979	239.75	0	239.75
355.116	241.25	0	241.25
355.253	245.5	0	245.5
355.39	227.5	0	227.5
355.527	212	0	212
355.664	244.75	0	244.75
355.801	218.75	0	218.75
355.938	218.75	0	218.75
356.075	240.75	0	240.75
356.212	227	0	227
356.349	230	0	230
356.486	217.75	0	217.75
356.623	235	0	235
356.76	246.75	0	246.75
356.897	217	0	217
357.034	222	0	222
357.171	220.5	0	220.5
357.308	238.5	0	238.5
357.445	227.5	0	227.5
357.582	244	0	244
357.718	237	0	237
357.855	256.25	0	256.25
357.992	232.25	0	232.25
358.129	234.25	0	234.25
358.266	249	0	249
358.403	251	0	251
358.539	241.25	0	241.25
358.676	247.5	0	247.5
358.813	251.75	0	251.75
358.95	235	0	235
359.086	250	0	250
359.223	233.5	0	233.5
359.36	232.75	0	232.75
359.497	251.25	0	251.25
359.633	252.5	0	252.5
359.77	239	0	239
359.907	255.75	0	255.75
360.043	245.75	0	245.75
360.18	276.25	0	276.25
360.317	247.25	0	247.25
360.453	247	0	247
360.59	258.25	0	258.25
360.727	246	0	246
360.863	252	0	252
361	262.75	0	262.75
361.136	258.5	0	258.5
361.273	247.25	0	247.25
361.409	254	0	254
361.546	258	0	258
361.682	262.25	0	262.25
361.819	246.25	0	246.25
361.955	255	0	255
362.092	254	0	254
362.228	237	0	237
362.365	255.25	0	255.25
362.501	258.5	0	258.5
362.638	269.5	0	269.5
362.774	267.5	0	267.5
362.91	265.5	0	265.5
363.047	271.5	0	271.5
363.183	250.75	0	250.75
363.319	247.75	0	247.75
363.456	261.75	0	261.75
363.592	265.25	0	265.25
363.728	279.25	0	279.25
363.865	262.75	0	262.75
364.001	262.5	0	262.5
364.137	266.25	0	266.25
364.274	262.75	0	262.75
364.41	265.5	0	265.5
364.546	254	0	254
364.682	266.25	0	266.25
364.819	263.75	0	263.75
364.955	280.75	0	280.75
365.091	261.25	0	261.25
365.227	285	0	285
365.363	267.75	0	267.75
365.499	270.25	0	270.25
365.636	285	0	285
365.772	271.5	0	271.5
365.908	254.5	0	254.5
366.044	284.75	0	284.75
366.18	289.75	0	289.75
366.316	271.5	0	271.5
366.452	297.75	0	297.75
366.588	288.75	0	288.75
366.724	274.5	0	274.5
366.86	283.25	0	283.25
366.996	284.75	0	284.75
367.132	272.25	0	272.25
367.268	272	0	272
367.404	285.75	0	285.75
367.54	263.25	0	263.25
367.676	288.75	0	288.75
367.812	281.75	0	281.75
367.948	296	0	296
368.084	291	0	291
368.22	285.5	0	285.5
368.356	272	0	272
368.492	296.25	0	296.25
368.627	288.5	0	288.5
368.763	297	0	297
368.899	281.75	0	281.75
369.035	298	0	298
369.171	294.75	0	294.75
369.306	281.75	0	281.75
369.442	290	0	290
369.578	269.25	0	269.25
369.714	298.5	0	298.5
369.85	300.75	0	300.75
369.985	289	0	289
370.121	294	0	294
370.257	281.25	0	281.25
370.392	295.25	0	295.25
370.528	284	0	284
370.664	264	0	264
370.799	312	0	312
370.935	304	0	304
371.071	310.75	0	310.75
371.206	292	0	292
371.342	291.5	0	291.5
371.477	311.5	0	311.5
371.613	286.5	0	286.5
371.749	294.75	0	294.75
371.884	303.5	0	303.5
372.02	314.25	0	314.25
372.155	313.25	0	313.25
372.291	301.25	0	301.25
372.426	293.5	0	293.5
372.562	286.75	0	286.75
372.697	284.25	0	284.25
372.833	310	0	310
372.968	309.25	0	309.25
373.103	314.25	0	314.25
373.239	301.5	0	301.5
373.374	306.5	0	306.5
373.51	314.5	0	314.5
373.645	312	0	312
373.78	322.25	0	322.25
373.916	311.75	0	311.75
374.051	299.25	0	299.25
374.186	294.75	0	294.75
374.322	298	0	298
374.457	306	0	306
374.592	298	0	298
374.728	314.5	0	314.5
374.863	320.5	0	320.5
374.998	331	0	331
375.133	316.5	0	316.5
375.268	310	0	310
375.404	321.75	0	321.75
375.539	304.75	0	304.75
375.674	339	0	339
375.809	303.25	0	303.25
375.944	311.5	0	311.5
376.08	304.25	0	304.25
376.215	310	0	310
376.35	324.5	0	324.5
376.485	319.75	0	319.75
376.62	310.25	0	310.25
376.755	317.25	0	317.25
376.89	302.5	0	302.5
377.025	326.75	0	326.75
377.16	323.75	0	323.75
377.295	323.75	0	323.75
377.43	307	0	307
377.565	342.75	0	342.75
377.7	319.25	0	319.25
377.835	319	0	319
377.97	323.75	0	323.75
378.105	306.5	0	306.5
378.24	310.25	0	310.25
378.375	318.25	0	318.25
378.51	329.5	0	329.5
378.645	342.5	0	342.5
378.78	342.75	0	342.75
378.914	329.25	0	329.25
379.049	337.5	0	337.5
379.184	333.25	0	333.25
379.319	301.75	0	301.75
379.454	329.5	0	329.5
379.589	318.5	0	318.5
379.723	345.25	0	345.25
379.858	328	0	328
379.993	350.5	0	350.5
380.128	360.75	0	360.75
380.262	352.75	0	352.75
380.397	319.5	0	319.5
380.532	328	0	328
380.666	335.75	0	335.75
380.801	349.5	0	349.5
380.936	334.25	0	334.25
381.07	356.75	0	356.75
381.205	350.5	0	350.5
381.34	344.5	0	344.5
381.474	343.75	0	343.75
381.609	349.75	0	349.75
381.744	353.75	0	353.75
381.878	345.25	0	345.25
382.013	346.75	0	346.75
382.147	333.5	0	333.5
382.282	324.75	0	324.75
382.416	342.5	0	342.5
382.551	331.5	0	331.5
382.685	352.5	0	352.5
382.82	360.25	0	360.25
382.954	358.5	0	358.5
383.089	360.75	0	360.75
383.223	334.25	0	334.25
383.357	344.75	0	344.75
383.492	346.75	0	346.75
383.626	351.25	0	351.25
383.761	353.5	0	353.5
383.895	343.5	0	343.5
384.029	364	0	364
384.164	357.75	0	357.75
384.298	348.75	0	348.75
384.432	354.25	0	354.25
384.567	382.75	0	382.75
384.701	362.5	0	362.5
384.835	358.5	0	358.5
384.97	352.25	0	352.25
385.104	365.25	0	365.25
385.238	340.75	0	340.75
385.372	364.25	0	364.25
385.506	347.75	0	347.75
385.641	331.25	0	331.25
385.775	363	0	363
385.909	359.5	0	359.5
386.043	376.5	0	376.5
386.177	378	0	378
386.311	349.5	0	349.5
386.446	356	0	356
386.58	337.25	0	337.25
386.714	364.25	0	364.25
386.848	347	0	347
386.982	367.25	0	367.25
387.116	367.5	0	367.5
387.25	370.75	0	370.75
387.384	352.5	0	352.5
387.518	377	0	377
387.652	351	0	351
387.786	340.75	0	340.75
387.92	359.75	0	359.75
388.054	366.25	0	366.25
388.188	354.5	0	354.5
388.322	359	0	359
388.456	350.75	0	350.75
388.59	337.5	0	337.5
388.723	356	0	356
388.857	361.25	0	361.25
388.991	338.5	0	338.5
389.125	352.5	0	352.5
389.259	356.75	0	356.75
389.393	346	0	346
389.526	354.5	0	354.5
389.66	335.25	0	335.25
389.794	353.75	0	353.75
389.928	352	0	352
390.062	348.5	0	348.5
390.195	338.25	0	338.25
390.329	348.5	0	348.5
390.463	327	0	327
390.596	349.5	0	349.5
390.73	344.75	0	344.75
