Lambda	Spectrum	Dark	SpecMinusDark
268.175	43.5	0	43.5
268.319	44.5	0	44.5
268.463	35.25	0	35.25
268.607	31	0	31
268.751	32.25	0	32.25
268.895	44.75	0	44.75
269.039	44.5	0	44.5
269.183	45.5	0	45.5
269.327	52.75	0	52.75
269.47	56.5	0	56.5
269.614	56.5	0	56.5
269.758	49.25	0	49.25
269.902	57	0	57
270.046	70.25	0	70.25
270.19	67	0	67
270.334	77.75	0	77.75
270.477	71.25	0	71.25
270.621	88.5	0	88.5
270.765	94.25	0	94.25
270.909	91	0	91
271.053	84.5	0	84.5
271.196	94.5	0	94.5
271.34	77.5	0	77.5
271.484	80	0	80
271.628	72.25	0	72.25
271.771	73.25	0	73.25
271.915	79.5	0	79.5
272.059	81.25	0	81.25
272.202	56.75	0	56.75
272.346	59	0	59
272.49	67.25	0	67.25
272.634	72.75	0	72.75
272.777	64.25	0	64.25
272.921	57.25	0	57.25
273.064	56.75	0	56.75
273.208	59	0	59
273.352	71	0	71
273.495	71	0	71
273.639	69.25	0	69.25
273.783	60.25	0	60.25
273.926	57.75	0	57.75
274.07	61.5	0	61.5
274.213	60.25	0	60.25
274.357	59	0	59
274.5	63.75	0	63.75
274.644	63.25	0	63.25
274.787	58.5	0	58.5
274.931	58	0	58
275.074	80.75	0	80.75
275.218	78.75	0	78.75
275.361	82.75	0	82.75
275.505	102.25	0	102.25
275.648	78.25	0	78.25
275.792	70.75	0	70.75
275.935	76	0	76
276.079	69.75	0	69.75
276.222	66.25	0	66.25
276.366	61.5	0	61.5
276.509	55	0	55
276.652	65	0	65
276.796	61	0	61
276.939	64.5	0	64.5
277.082	66.5	0	66.5
277.226	57	0	57
277.369	63.25	0	63.25
277.513	59	0	59
277.656	65	0	65
277.799	67.75	0	67.75
277.942	59.75	0	59.75
278.086	58	0	58
278.229	63.75	0	63.75
278.372	48.5	0	48.5
278.516	48.5	0	48.5
278.659	59.25	0	59.25
278.802	52.75	0	52.75
278.945	53.75	0	53.75
279.089	57	0	57
279.232	56.25	0	56.25
279.375	58.75	0	58.75
279.518	53.25	0	53.25
279.661	60.5	0	60.5
279.805	62.5	0	62.5
279.948	69.75	0	69.75
280.091	53.25	0	53.25
280.234	58.75	0	58.75
280.377	57.75	0	57.75
280.52	57.5	0	57.5
280.663	61.25	0	61.25
280.806	56.25	0	56.25
280.95	48.25	0	48.25
281.093	74.5	0	74.5
281.236	46.75	0	46.75
281.379	56.25	0	56.25
281.522	59.5	0	59.5
281.665	56.75	0	56.75
281.808	56.25	0	56.25
281.951	60	0	60
282.094	67.5	0	67.5
282.237	62	0	62
282.38	58.25	0	58.25
282.523	65.25	0	65.25
282.666	62.5	0	62.5
282.809	66.5	0	66.5
282.952	62.5	0	62.5
283.095	72.75	0	72.75
283.238	84	0	84
283.381	96	0	96
283.523	96.75	0	96.75
283.666	104.5	0	104.5
283.809	78.25	0	78.25
283.952	57.75	0	57.75
284.095	53	0	53
284.238	55.5	0	55.5
284.381	60.25	0	60.25
284.524	68.25	0	68.25
284.666	72.75	0	72.75
284.809	62.25	0	62.25
284.952	65.75	0	65.75
285.095	62.75	0	62.75
285.238	68.5	0	68.5
285.38	69	0	69
285.523	60.5	0	60.5
285.666	87.5	0	87.5
285.809	76.25	0	76.25
285.951	74.5	0	74.5
286.094	68	0	68
286.237	63	0	63
286.38	58.25	0	58.25
286.522	66.75	0	66.75
286.665	65.75	0	65.75
286.808	63.75	0	63.75
286.95	72.5	0	72.5
287.093	60.25	0	60.25
287.236	66.25	0	66.25
287.378	54.5	0	54.5
287.521	57.25	0	57.25
287.663	59	0	59
287.806	67.5	0	67.5
287.949	69.25	0	69.25
288.091	55.25	0	55.25
288.234	65.25	0	65.25
288.376	64	0	64
288.519	61.5	0	61.5
288.661	69.5	0	69.5
288.804	70.25	0	70.25
288.946	73.5	0	73.5
289.089	69.25	0	69.25
289.231	73.25	0	73.25
289.374	66	0	66
289.516	78	0	78
289.659	66.5	0	66.5
289.801	85	0	85
289.944	68.75	0	68.75
290.086	76.5	0	76.5
290.229	76.75	0	76.75
290.371	76.25	0	76.25
290.513	73.25	0	73.25
290.656	71.75	0	71.75
290.798	77	0	77
290.941	72.75	0	72.75
291.083	67.25	0	67.25
291.225	89.5	0	89.5
291.368	83.5	0	83.5
291.51	80.5	0	80.5
291.652	83.5	0	83.5
291.795	84	0	84
291.937	94	0	94
292.079	94.75	0	94.75
292.221	99.5	0	99.5
292.364	89.75	0	89.75
292.506	98.75	0	98.75
292.648	106.5	0	106.5
292.79	124.5	0	124.5
292.933	150.75	0	150.75
293.075	194.5	0	194.5
293.217	227.75	0	227.75
293.359	216.5	0	216.5
293.502	189.25	0	189.25
293.644	180.5	0	180.5
293.786	143.75	0	143.75
293.928	159	0	159
294.07	143.25	0	143.25
294.212	122.75	0	122.75
294.354	140.25	0	140.25
294.497	142	0	142
294.639	134	0	134
294.781	129.25	0	129.25
294.923	119.25	0	119.25
295.065	120.75	0	120.75
295.207	113.5	0	113.5
295.349	128.75	0	128.75
295.491	126	0	126
295.633	144.25	0	144.25
295.775	126.75	0	126.75
295.917	120	0	120
296.059	109.75	0	109.75
296.201	127.25	0	127.25
