Lambda	Spectrum	Dark	SpecMinusDark
268.175	434.25	0	434.25
268.319	462.75	0	462.75
268.463	491.5	0	491.5
268.607	490.5	0	490.5
268.751	514.25	0	514.25
268.895	517.5	0	517.5
269.039	495	0	495
269.183	477.25	0	477.25
269.327	472.75	0	472.75
269.47	480	0	480
269.614	462.25	0	462.25
269.758	513	0	513
269.902	486.25	0	486.25
270.046	517.75	0	517.75
270.19	511.5	0	511.5
270.334	499.5	0	499.5
270.477	535	0	535
270.621	525	0	525
270.765	545.5	0	545.5
270.909	560.75	0	560.75
271.053	571.25	0	571.25
271.196	574	0	574
271.34	554.5	0	554.5
271.484	562.75	0	562.75
271.628	572.5	0	572.5
271.771	565.5	0	565.5
271.915	559.5	0	559.5
272.059	561.75	0	561.75
272.202	544	0	544
272.346	576.25	0	576.25
272.49	535.75	0	535.75
272.634	562.75	0	562.75
272.777	543	0	543
272.921	551.5	0	551.5
273.064	536.75	0	536.75
273.208	549.75	0	549.75
273.352	560	0	560
273.495	574.5	0	574.5
273.639	564.75	0	564.75
273.783	565.25	0	565.25
273.926	596.5	0	596.5
274.07	559	0	559
274.213	585.75	0	585.75
274.357	559.25	0	559.25
274.5	570.25	0	570.25
274.644	608.75	0	608.75
274.787	584	0	584
274.931	584.75	0	584.75
275.074	611.25	0	611.25
275.218	597.5	0	597.5
275.361	586	0	586
275.505	625	0	625
275.648	613	0	613
275.792	578	0	578
275.935	617.25	0	617.25
276.079	599	0	599
276.222	604	0	604
276.366	597	0	597
276.509	622	0	622
276.652	617	0	617
276.796	596	0	596
276.939	616.5	0	616.5
277.082	630.5	0	630.5
277.226	656.5	0	656.5
277.369	630.5	0	630.5
277.513	676	0	676
277.656	667.75	0	667.75
277.799	650.25	0	650.25
277.942	664.25	0	664.25
278.086	675.75	0	675.75
278.229	698.5	0	698.5
278.372	718.25	0	718.25
278.516	695.75	0	695.75
278.659	665	0	665
278.802	675	0	675
278.945	699.75	0	699.75
279.089	662.75	0	662.75
279.232	691.75	0	691.75
279.375	703.5	0	703.5
279.518	698	0	698
279.661	720.5	0	720.5
279.805	743.75	0	743.75
279.948	740.5	0	740.5
280.091	702.25	0	702.25
280.234	769	0	769
280.377	747.25	0	747.25
280.52	767.5	0	767.5
280.663	772.25	0	772.25
280.806	771.75	0	771.75
280.95	750	0	750
281.093	765.75	0	765.75
281.236	791.25	0	791.25
281.379	770.75	0	770.75
281.522	816.25	0	816.25
281.665	806	0	806
281.808	840.25	0	840.25
281.951	814.25	0	814.25
282.094	818.25	0	818.25
282.237	796.25	0	796.25
282.38	793	0	793
282.523	788.25	0	788.25
282.666	764.5	0	764.5
282.809	789.25	0	789.25
282.952	794.5	0	794.5
283.095	814	0	814
283.238	810	0	810
283.381	769.75	0	769.75
283.523	754	0	754
283.666	771.75	0	771.75
283.809	791.5	0	791.5
283.952	766.5	0	766.5
284.095	803.25	0	803.25
284.238	821.5	0	821.5
284.381	792.75	0	792.75
284.524	807.25	0	807.25
284.666	857.75	0	857.75
284.809	824.25	0	824.25
284.952	842.75	0	842.75
285.095	842	0	842
285.238	882.5	0	882.5
285.38	853	0	853
285.523	848	0	848
285.666	877	0	877
285.809	808.5	0	808.5
285.951	843.75	0	843.75
286.094	849.5	0	849.5
286.237	854	0	854
286.38	842	0	842
286.522	806.75	0	806.75
286.665	845.75	0	845.75
286.808	852.25	0	852.25
286.95	853	0	853
287.093	879	0	879
287.236	880.75	0	880.75
287.378	856.5	0	856.5
287.521	875.5	0	875.5
287.663	879	0	879
287.806	884.5	0	884.5
287.949	883.5	0	883.5
288.091	903.75	0	903.75
288.234	972.75	0	972.75
288.376	905.5	0	905.5
288.519	882.75	0	882.75
288.661	896.75	0	896.75
288.804	952	0	952
288.946	901.25	0	901.25
289.089	901.25	0	901.25
289.231	967.25	0	967.25
289.374	957	0	957
289.516	957.5	0	957.5
289.659	960.75	0	960.75
289.801	933	0	933
289.944	945.75	0	945.75
290.086	990.5	0	990.5
290.229	986.75	0	986.75
290.371	976.75	0	976.75
290.513	967	0	967
290.656	984.25	0	984.25
290.798	974.75	0	974.75
290.941	984.75	0	984.75
291.083	981.5	0	981.5
291.225	967	0	967
291.368	992.75	0	992.75
291.51	1018.75	0	1018.75
291.652	981	0	981
291.795	997.25	0	997.25
291.937	997	0	997
292.079	1009.75	0	1009.75
292.221	1024.5	0	1024.5
292.364	1005.5	0	1005.5
292.506	1009.25	0	1009.25
292.648	1015.5	0	1015.5
292.79	1038.5	0	1038.5
292.933	1066.75	0	1066.75
293.075	1037.75	0	1037.75
