Lambda	Spectrum	Dark	SpecMinusDark
268.175	338.5	0	338.5
268.319	333.75	0	333.75
268.463	305	0	305
268.607	298.25	0	298.25
268.751	304.75	0	304.75
268.895	279.5	0	279.5
269.039	260	0	260
269.183	262.25	0	262.25
269.327	243.25	0	243.25
269.47	253	0	253
269.614	266.25	0	266.25
269.758	302.75	0	302.75
269.902	316.25	0	316.25
270.046	319.25	0	319.25
270.19	286.5	0	286.5
270.334	257.25	0	257.25
270.477	250.5	0	250.5
270.621	264.25	0	264.25
270.765	279.25	0	279.25
270.909	292.5	0	292.5
271.053	291.75	0	291.75
271.196	327	0	327
271.34	311.25	0	311.25
271.484	285.25	0	285.25
271.628	319.25	0	319.25
271.771	310.5	0	310.5
271.915	284	0	284
272.059	287.75	0	287.75
272.202	293.25	0	293.25
272.346	300.25	0	300.25
272.49	328.25	0	328.25
272.634	326.25	0	326.25
272.777	356	0	356
272.921	360.25	0	360.25
273.064	367.75	0	367.75
273.208	399.75	0	399.75
273.352	356.25	0	356.25
273.495	369.75	0	369.75
273.639	361.75	0	361.75
273.783	369.5	0	369.5
273.926	394	0	394
274.07	378.25	0	378.25
274.213	409.5	0	409.5
274.357	372.5	0	372.5
274.5	396.25	0	396.25
274.644	378.25	0	378.25
274.787	397.75	0	397.75
274.931	401	0	401
275.074	407.25	0	407.25
275.218	359.25	0	359.25
275.361	386.25	0	386.25
275.505	402	0	402
275.648	366.5	0	366.5
275.792	394.75	0	394.75
275.935	426.25	0	426.25
276.079	404.75	0	404.75
276.222	433.5	0	433.5
276.366	392.5	0	392.5
276.509	398	0	398
276.652	416.75	0	416.75
276.796	439	0	439
276.939	449	0	449
277.082	535.75	0	535.75
277.226	577.25	0	577.25
277.369	634.5	0	634.5
277.513	650.75	0	650.75
277.656	573	0	573
277.799	582.5	0	582.5
277.942	589.75	0	589.75
278.086	479.5	0	479.5
278.229	483	0	483
278.372	506.25	0	506.25
278.516	487.75	0	487.75
278.659	485.5	0	485.5
278.802	443.75	0	443.75
278.945	441.25	0	441.25
279.089	422.75	0	422.75
279.232	400	0	400
279.375	387.25	0	387.25
279.518	441	0	441
279.661	445.75	0	445.75
279.805	448	0	448
279.948	443	0	443
280.091	438.25	0	438.25
280.234	453	0	453
280.377	434	0	434
280.52	484	0	484
280.663	548.75	0	548.75
280.806	550.25	0	550.25
280.95	534.25	0	534.25
281.093	570	0	570
281.236	626.75	0	626.75
281.379	734	0	734
281.522	869.25	0	869.25
281.665	741.75	0	741.75
281.808	628.75	0	628.75
281.951	571.5	0	571.5
282.094	542.25	0	542.25
282.237	552.75	0	552.75
282.38	581	0	581
282.523	637	0	637
282.666	622	0	622
282.809	591.25	0	591.25
282.952	575.5	0	575.5
283.095	525.5	0	525.5
283.238	516.25	0	516.25
283.381	536.5	0	536.5
283.523	526.25	0	526.25
283.666	527.25	0	527.25
283.809	532.5	0	532.5
283.952	560.75	0	560.75
284.095	625	0	625
284.238	697.75	0	697.75
284.381	793.25	0	793.25
284.524	804.25	0	804.25
284.666	944	0	944
284.809	920	0	920
284.952	834.5	0	834.5
285.095	821.75	0	821.75
285.238	815.25	0	815.25
285.38	734	0	734
285.523	652.75	0	652.75
285.666	625.25	0	625.25
285.809	627	0	627
285.951	639.75	0	639.75
286.094	738.75	0	738.75
286.237	834	0	834
286.38	858.75	0	858.75
286.522	760.5	0	760.5
286.665	760.5	0	760.5
286.808	820	0	820
286.95	881.25	0	881.25
287.093	934.5	0	934.5
287.236	798.5	0	798.5
287.378	717.75	0	717.75
287.521	673.25	0	673.25
287.663	668.75	0	668.75
287.806	730	0	730
287.949	673.25	0	673.25
288.091	667	0	667
288.234	653.25	0	653.25
288.376	658	0	658
288.519	726	0	726
288.661	772.75	0	772.75
288.804	845	0	845
288.946	916.25	0	916.25
289.089	976	0	976
289.231	1001.25	0	1001.25
289.374	945.5	0	945.5
289.516	816.75	0	816.75
289.659	792.25	0	792.25
289.801	774.75	0	774.75
289.944	808.75	0	808.75
290.086	825.5	0	825.5
290.229	885.5	0	885.5
290.371	842.75	0	842.75
290.513	879.5	0	879.5
290.656	874.5	0	874.5
290.798	956.75	0	956.75
290.941	928	0	928
291.083	963	0	963
291.225	931	0	931
291.368	850.75	0	850.75
291.51	851.5	0	851.5
