Lambda	Spectrum	Dark	SpecMinusDark
268.175	157	0	157
268.319	152.75	0	152.75
268.463	177.25	0	177.25
268.607	176.25	0	176.25
268.751	179.5	0	179.5
268.895	181.75	0	181.75
269.039	176.5	0	176.5
269.183	182	0	182
269.327	215.25	0	215.25
269.47	244	0	244
269.614	255.5	0	255.5
269.758	292	0	292
269.902	250.25	0	250.25
270.046	281.5	0	281.5
270.19	236.75	0	236.75
270.334	253.5	0	253.5
270.477	204.75	0	204.75
270.621	219	0	219
270.765	208.5	0	208.5
270.909	209.25	0	209.25
271.053	226	0	226
271.196	240.75	0	240.75
271.34	283.25	0	283.25
271.484	302.5	0	302.5
271.628	283.25	0	283.25
271.771	290.25	0	290.25
271.915	283.5	0	283.5
272.059	296	0	296
272.202	298	0	298
272.346	289.5	0	289.5
272.49	278.25	0	278.25
272.634	262.5	0	262.5
272.777	236.75	0	236.75
272.921	252.75	0	252.75
273.064	265	0	265
273.208	280	0	280
273.352	272.5	0	272.5
273.495	260.25	0	260.25
273.639	248	0	248
273.783	262.25	0	262.25
273.926	260.25	0	260.25
274.07	284	0	284
274.213	263.25	0	263.25
274.357	281.25	0	281.25
274.5	323.75	0	323.75
274.644	338.5	0	338.5
274.787	343.25	0	343.25
274.931	336.5	0	336.5
275.074	367.25	0	367.25
275.218	374.75	0	374.75
275.361	378.5	0	378.5
275.505	379	0	379
275.648	371	0	371
275.792	368.5	0	368.5
275.935	365	0	365
276.079	356	0	356
276.222	336.75	0	336.75
276.366	349.25	0	349.25
276.509	336.5	0	336.5
276.652	356.25	0	356.25
276.796	326.25	0	326.25
276.939	349.75	0	349.75
277.082	342.75	0	342.75
277.226	352	0	352
277.369	323.75	0	323.75
277.513	303.5	0	303.5
277.656	310.5	0	310.5
277.799	347.25	0	347.25
277.942	366.75	0	366.75
278.086	343.75	0	343.75
278.229	342.5	0	342.5
278.372	321	0	321
278.516	298.25	0	298.25
278.659	311.75	0	311.75
278.802	305	0	305
278.945	285	0	285
279.089	301.25	0	301.25
279.232	318	0	318
279.375	295	0	295
279.518	312.25	0	312.25
279.661	320.75	0	320.75
279.805	336	0	336
279.948	301.75	0	301.75
280.091	315.25	0	315.25
280.234	262.25	0	262.25
280.377	257.75	0	257.75
280.52	275.75	0	275.75
280.663	291.75	0	291.75
280.806	310.75	0	310.75
280.95	291	0	291
281.093	316	0	316
281.236	314.25	0	314.25
281.379	287	0	287
281.522	309.25	0	309.25
281.665	324.25	0	324.25
281.808	341.25	0	341.25
281.951	318.25	0	318.25
282.094	339.75	0	339.75
282.237	330.25	0	330.25
282.38	353	0	353
282.523	360.25	0	360.25
282.666	383.5	0	383.5
282.809	342.5	0	342.5
282.952	343	0	343
283.095	343.25	0	343.25
283.238	408	0	408
283.381	397	0	397
283.523	442.5	0	442.5
283.666	425.25	0	425.25
283.809	426	0	426
283.952	465.75	0	465.75
284.095	462.25	0	462.25
284.238	460	0	460
284.381	452	0	452
284.524	464.25	0	464.25
284.666	441.25	0	441.25
284.809	462.75	0	462.75
284.952	491.25	0	491.25
285.095	539.75	0	539.75
285.238	504	0	504
285.38	464.75	0	464.75
285.523	429.75	0	429.75
285.666	482.25	0	482.25
285.809	498.25	0	498.25
285.951	523.75	0	523.75
286.094	502.75	0	502.75
286.237	537.5	0	537.5
286.38	537.5	0	537.5
286.522	534.25	0	534.25
286.665	548.25	0	548.25
286.808	550	0	550
286.95	517	0	517
287.093	549	0	549
287.236	587.5	0	587.5
287.378	724.25	0	724.25
287.521	726.25	0	726.25
287.663	673.75	0	673.75
287.806	678.25	0	678.25
287.949	693.5	0	693.5
288.091	680.5	0	680.5
288.234	723.25	0	723.25
288.376	652.25	0	652.25
288.519	599.25	0	599.25
288.661	609.5	0	609.5
288.804	645	0	645
288.946	562	0	562
289.089	557.75	0	557.75
289.231	544	0	544
289.374	586	0	586
289.516	620.75	0	620.75
289.659	685.25	0	685.25
289.801	644.75	0	644.75
