Lambda	Spectrum	Dark	SpecMinusDark
268.175	68	0	68
268.319	58.5	0	58.5
268.463	59	0	59
268.607	67	0	67
268.751	66.5	0	66.5
268.895	68.5	0	68.5
269.039	67	0	67
269.183	66.5	0	66.5
269.327	62.25	0	62.25
269.47	74.25	0	74.25
269.614	81.5	0	81.5
269.758	80	0	80
269.902	73.5	0	73.5
270.046	83.25	0	83.25
270.19	78.75	0	78.75
270.334	74.75	0	74.75
270.477	78.25	0	78.25
270.621	82.25	0	82.25
270.765	94.25	0	94.25
270.909	85	0	85
271.053	85	0	85
271.196	89.25	0	89.25
271.34	85.75	0	85.75
271.484	81.25	0	81.25
271.628	83.75	0	83.75
271.771	76.5	0	76.5
271.915	88.25	0	88.25
272.059	79	0	79
272.202	75.25	0	75.25
272.346	83.5	0	83.5
272.49	84.5	0	84.5
272.634	72.75	0	72.75
272.777	86.25	0	86.25
272.921	91.25	0	91.25
273.064	84	0	84
273.208	81.25	0	81.25
273.352	95.5	0	95.5
273.495	86.75	0	86.75
273.639	84.75	0	84.75
273.783	88.5	0	88.5
273.926	92.25	0	92.25
274.07	101.25	0	101.25
274.213	89.5	0	89.5
274.357	83	0	83
274.5	100.5	0	100.5
274.644	107.75	0	107.75
274.787	104.25	0	104.25
274.931	106.25	0	106.25
275.074	82.75	0	82.75
275.218	91.75	0	91.75
275.361	83.5	0	83.5
275.505	107.75	0	107.75
275.648	83.75	0	83.75
275.792	89.5	0	89.5
275.935	98.5	0	98.5
276.079	99.25	0	99.25
276.222	82	0	82
276.366	91	0	91
276.509	107	0	107
276.652	89.25	0	89.25
276.796	91.25	0	91.25
276.939	97.5	0	97.5
277.082	107.25	0	107.25
277.226	97.5	0	97.5
277.369	98.25	0	98.25
277.513	104.25	0	104.25
277.656	112	0	112
277.799	96.75	0	96.75
277.942	112	0	112
278.086	107.25	0	107.25
278.229	115.75	0	115.75
278.372	89.5	0	89.5
278.516	104	0	104
278.659	130	0	130
278.802	122.75	0	122.75
278.945	127.5	0	127.5
279.089	141.5	0	141.5
279.232	208.5	0	208.5
279.375	268.75	0	268.75
279.518	255	0	255
279.661	305.5	0	305.5
279.805	313.75	0	313.75
279.948	262	0	262
280.091	216	0	216
280.234	172.75	0	172.75
280.377	160.75	0	160.75
280.52	142.5	0	142.5
280.663	142	0	142
280.806	139.75	0	139.75
280.95	125.5	0	125.5
281.093	125.5	0	125.5
281.236	119.75	0	119.75
281.379	119.75	0	119.75
281.522	150	0	150
281.665	144.5	0	144.5
281.808	164.75	0	164.75
281.951	200	0	200
282.094	226	0	226
282.237	159.75	0	159.75
282.38	129.25	0	129.25
282.523	136	0	136
282.666	129	0	129
282.809	125.25	0	125.25
282.952	137	0	137
283.095	126.25	0	126.25
283.238	127	0	127
283.381	137.75	0	137.75
283.523	141.25	0	141.25
283.666	134.75	0	134.75
283.809	136.75	0	136.75
283.952	118.75	0	118.75
284.095	129.5	0	129.5
284.238	121.75	0	121.75
284.381	137	0	137
284.524	130	0	130
284.666	130	0	130
284.809	138.5	0	138.5
284.952	158	0	158
285.095	174.25	0	174.25
285.238	163	0	163
285.38	140.75	0	140.75
285.523	127.75	0	127.75
285.666	127.25	0	127.25
285.809	128.75	0	128.75
285.951	148.75	0	148.75
286.094	136.5	0	136.5
286.237	167	0	167
286.38	170.25	0	170.25
286.522	157.5	0	157.5
286.665	136	0	136
286.808	150.5	0	150.5
286.95	136	0	136
287.093	141.25	0	141.25
287.236	141.25	0	141.25
