Lambda	Spectrum	Dark	SpecMinusDark
268.175	330.25	0	330.25
268.319	326	0	326
268.463	358	0	358
268.607	347	0	347
268.751	388.75	0	388.75
268.895	396.75	0	396.75
269.039	370.25	0	370.25
269.183	354	0	354
269.327	384.75	0	384.75
269.47	377.5	0	377.5
269.614	387.5	0	387.5
269.758	399.75	0	399.75
269.902	395.25	0	395.25
270.046	428.5	0	428.5
270.19	423	0	423
270.334	431.75	0	431.75
270.477	414.5	0	414.5
270.621	439.75	0	439.75
270.765	446	0	446
270.909	483	0	483
271.053	471.5	0	471.5
271.196	483.75	0	483.75
271.34	507.5	0	507.5
271.484	516.5	0	516.5
271.628	496.25	0	496.25
271.771	525.25	0	525.25
271.915	533.5	0	533.5
272.059	536.25	0	536.25
272.202	525	0	525
272.346	581.75	0	581.75
272.49	584.75	0	584.75
272.634	616.75	0	616.75
272.777	604.75	0	604.75
272.921	663	0	663
273.064	651.5	0	651.5
273.208	679.5	0	679.5
273.352	655	0	655
273.495	681.5	0	681.5
273.639	679.25	0	679.25
273.783	687.25	0	687.25
273.926	716	0	716
274.07	674	0	674
274.213	678.5	0	678.5
274.357	643.25	0	643.25
274.5	644.75	0	644.75
274.644	615.5	0	615.5
274.787	619.25	0	619.25
274.931	616.25	0	616.25
275.074	589.25	0	589.25
275.218	604	0	604
275.361	587.5	0	587.5
275.505	613.75	0	613.75
275.648	550.25	0	550.25
275.792	578.25	0	578.25
275.935	580.75	0	580.75
276.079	574.75	0	574.75
276.222	571.5	0	571.5
276.366	553.25	0	553.25
276.509	561.25	0	561.25
276.652	573.5	0	573.5
276.796	532.5	0	532.5
276.939	530.75	0	530.75
277.082	542.75	0	542.75
277.226	565.25	0	565.25
277.369	553	0	553
277.513	565.75	0	565.75
277.656	583.5	0	583.5
277.799	566.5	0	566.5
277.942	599.75	0	599.75
278.086	585.5	0	585.5
278.229	552.5	0	552.5
278.372	595.25	0	595.25
278.516	596	0	596
278.659	561.5	0	561.5
278.802	550	0	550
278.945	546.25	0	546.25
279.089	560.75	0	560.75
279.232	596.5	0	596.5
279.375	569	0	569
279.518	573.5	0	573.5
279.661	612.25	0	612.25
279.805	591.5	0	591.5
279.948	575	0	575
280.091	573.5	0	573.5
280.234	580	0	580
280.377	551.25	0	551.25
280.52	569	0	569
280.663	591	0	591
280.806	589	0	589
280.95	591	0	591
281.093	617.75	0	617.75
281.236	600.5	0	600.5
281.379	581.25	0	581.25
281.522	594.5	0	594.5
281.665	616.75	0	616.75
281.808	618.5	0	618.5
281.951	602.5	0	602.5
282.094	612.75	0	612.75
282.237	643	0	643
282.38	651	0	651
282.523	627.5	0	627.5
282.666	661.25	0	661.25
282.809	622.5	0	622.5
282.952	657	0	657
283.095	666.75	0	666.75
283.238	664.75	0	664.75
283.381	654.75	0	654.75
283.523	646.75	0	646.75
283.666	640.75	0	640.75
283.809	666.5	0	666.5
283.952	642.5	0	642.5
284.095	670.5	0	670.5
284.238	707.5	0	707.5
284.381	686	0	686
284.524	684	0	684
284.666	673.25	0	673.25
284.809	694	0	694
284.952	718.75	0	718.75
285.095	700.25	0	700.25
285.238	733	0	733
285.38	722.75	0	722.75
285.523	747	0	747
285.666	749.5	0	749.5
285.809	764.75	0	764.75
285.951	747.75	0	747.75
286.094	796	0	796
286.237	827.25	0	827.25
286.38	819.75	0	819.75
286.522	837.5	0	837.5
286.665	873	0	873
286.808	876.75	0	876.75
286.95	852.25	0	852.25
287.093	874.5	0	874.5
287.236	848.25	0	848.25
287.378	857.25	0	857.25
287.521	851	0	851
287.663	889.75	0	889.75
287.806	887.25	0	887.25
287.949	883.25	0	883.25
288.091	880.25	0	880.25
288.234	972.75	0	972.75
288.376	926.5	0	926.5
288.519	940.75	0	940.75
288.661	913.25	0	913.25
288.804	938.75	0	938.75
288.946	903	0	903
289.089	928.5	0	928.5
289.231	960	0	960
289.374	898.25	0	898.25
289.516	906	0	906
289.659	925.75	0	925.75
289.801	918.25	0	918.25
289.944	945.75	0	945.75
290.086	967.25	0	967.25
290.229	911.75	0	911.75
290.371	933.5	0	933.5
290.513	965.75	0	965.75
290.656	930	0	930
290.798	922.25	0	922.25
290.941	928	0	928
291.083	925	0	925
291.225	941.5	0	941.5
291.368	943.25	0	943.25
291.51	956.75	0	956.75
291.652	967.25	0	967.25
291.795	953.5	0	953.5
291.937	946	0	946
292.079	945.75	0	945.75
292.221	961	0	961
292.364	949.75	0	949.75
292.506	910	0	910
292.648	908	0	908
292.79	935.5	0	935.5
292.933	936	0	936
293.075	908.5	0	908.5
293.217	938.5	0	938.5
293.359	892.25	0	892.25
293.502	939.25	0	939.25
293.644	915.25	0	915.25
293.786	943.75	0	943.75
293.928	924.5	0	924.5
294.07	926.75	0	926.75
294.212	902.25	0	902.25
294.354	963.75	0	963.75
294.497	913	0	913
294.639	955.25	0	955.25
294.781	947.5	0	947.5
294.923	948.75	0	948.75
295.065	945	0	945
295.207	970.5	0	970.5
295.349	915.75	0	915.75
295.491	977.25	0	977.25
295.633	962	0	962
295.775	992.5	0	992.5
295.917	997.5	0	997.5
296.059	960.5	0	960.5
296.201	956.75	0	956.75
296.343	977.5	0	977.5
296.485	961	0	961
296.627	970.25	0	970.25
296.769	994.5	0	994.5
296.911	1004.5	0	1004.5
297.053	1019	0	1019
297.195	1001.5	0	1001.5
297.337	1000.25	0	1000.25
