Lambda	Spectrum	Dark	SpecMinusDark
268.175	106	0	106
268.319	101.75	0	101.75
268.463	114.5	0	114.5
268.607	111.5	0	111.5
268.751	116	0	116
268.895	125	0	125
269.039	123.75	0	123.75
269.183	115.75	0	115.75
269.327	128.75	0	128.75
269.47	130.5	0	130.5
269.614	131	0	131
269.758	143.25	0	143.25
269.902	137.75	0	137.75
270.046	117.25	0	117.25
270.19	135.25	0	135.25
270.334	136.5	0	136.5
270.477	127.5	0	127.5
270.621	134.75	0	134.75
270.765	137	0	137
270.909	134.5	0	134.5
271.053	136.75	0	136.75
271.196	151.25	0	151.25
271.34	154.75	0	154.75
271.484	138	0	138
271.628	164.25	0	164.25
271.771	146.25	0	146.25
271.915	141	0	141
272.059	143.25	0	143.25
272.202	139.5	0	139.5
272.346	141	0	141
272.49	155	0	155
272.634	136.5	0	136.5
272.777	163	0	163
272.921	151.25	0	151.25
273.064	150.5	0	150.5
273.208	145.5	0	145.5
273.352	154.75	0	154.75
273.495	158.5	0	158.5
273.639	154	0	154
273.783	157.25	0	157.25
273.926	164.25	0	164.25
274.07	153.75	0	153.75
274.213	158.75	0	158.75
274.357	161.5	0	161.5
274.5	156.5	0	156.5
274.644	171	0	171
274.787	166.75	0	166.75
274.931	188.25	0	188.25
275.074	159.75	0	159.75
275.218	164.75	0	164.75
275.361	183	0	183
275.505	188.75	0	188.75
275.648	186.5	0	186.5
275.792	202.75	0	202.75
275.935	179.75	0	179.75
276.079	195.5	0	195.5
276.222	187.75	0	187.75
276.366	196.25	0	196.25
276.509	216.25	0	216.25
276.652	230.75	0	230.75
276.796	206.25	0	206.25
276.939	224.25	0	224.25
277.082	230	0	230
277.226	230	0	230
277.369	228.25	0	228.25
277.513	241	0	241
277.656	243.5	0	243.5
277.799	239	0	239
277.942	255.5	0	255.5
278.086	265	0	265
278.229	274	0	274
278.372	303.75	0	303.75
278.516	323.5	0	323.5
278.659	312.75	0	312.75
278.802	306.5	0	306.5
278.945	344	0	344
279.089	343.75	0	343.75
279.232	369.75	0	369.75
279.375	361.75	0	361.75
279.518	363.25	0	363.25
279.661	399	0	399
279.805	396.75	0	396.75
279.948	351.75	0	351.75
280.091	331.75	0	331.75
280.234	353	0	353
280.377	369.5	0	369.5
280.52	395.75	0	395.75
280.663	376.75	0	376.75
280.806	386.25	0	386.25
280.95	351.5	0	351.5
281.093	363.25	0	363.25
281.236	342.25	0	342.25
281.379	339.75	0	339.75
281.522	356.5	0	356.5
281.665	368.25	0	368.25
281.808	385	0	385
281.951	390.5	0	390.5
282.094	410.25	0	410.25
282.237	420.75	0	420.75
282.38	385.5	0	385.5
282.523	387	0	387
282.666	410.25	0	410.25
282.809	414	0	414
282.952	398.75	0	398.75
283.095	341.25	0	341.25
283.238	282	0	282
283.381	358	0	358
283.523	424.5	0	424.5
283.666	436.75	0	436.75
283.809	431	0	431
283.952	423	0	423
284.095	396.5	0	396.5
284.238	397.25	0	397.25
284.381	389.75	0	389.75
284.524	382.5	0	382.5
284.666	389	0	389
284.809	370.75	0	370.75
284.952	331	0	331
285.095	353.75	0	353.75
285.238	375.75	0	375.75
285.38	383	0	383
285.523	324.75	0	324.75
285.666	349.5	0	349.5
285.809	355.25	0	355.25
285.951	357.25	0	357.25
286.094	362	0	362
286.237	373.75	0	373.75
286.38	374.75	0	374.75
286.522	364	0	364
286.665	395	0	395
286.808	450	0	450
286.95	463.75	0	463.75
287.093	517.25	0	517.25
287.236	496.5	0	496.5
287.378	453.5	0	453.5
