Lambda	Spectrum	Dark	SpecMinusDark
268.175	76.25	0	76.25
268.319	80.25	0	80.25
268.463	98.25	0	98.25
268.607	90.5	0	90.5
268.751	86.75	0	86.75
268.895	94.25	0	94.25
269.039	85.75	0	85.75
269.183	75.75	0	75.75
269.327	87.25	0	87.25
269.47	92	0	92
269.614	91.75	0	91.75
269.758	99.5	0	99.5
269.902	83	0	83
270.046	98.75	0	98.75
270.19	86.5	0	86.5
270.334	86	0	86
270.477	93.25	0	93.25
270.621	94	0	94
270.765	91	0	91
270.909	106.25	0	106.25
271.053	102.5	0	102.5
271.196	103.75	0	103.75
271.34	114	0	114
271.484	107.5	0	107.5
271.628	90.75	0	90.75
271.771	91.75	0	91.75
271.915	98.5	0	98.5
272.059	93	0	93
272.202	100.25	0	100.25
272.346	98	0	98
272.49	109	0	109
272.634	103.75	0	103.75
272.777	102	0	102
272.921	122.75	0	122.75
273.064	97	0	97
273.208	107	0	107
273.352	89	0	89
273.495	116	0	116
273.639	95.5	0	95.5
273.783	108.5	0	108.5
273.926	104	0	104
274.07	110	0	110
274.213	109.5	0	109.5
274.357	122.75	0	122.75
274.5	107.25	0	107.25
274.644	117	0	117
274.787	115	0	115
274.931	131.75	0	131.75
275.074	111	0	111
275.218	110.75	0	110.75
275.361	113.5	0	113.5
275.505	131.5	0	131.5
275.648	131	0	131
275.792	157.5	0	157.5
275.935	242	0	242
276.079	330.75	0	330.75
276.222	460.75	0	460.75
276.366	365	0	365
276.509	254.75	0	254.75
276.652	207	0	207
276.796	167.5	0	167.5
276.939	161.5	0	161.5
277.082	129	0	129
277.226	141.5	0	141.5
277.369	125	0	125
277.513	128.75	0	128.75
277.656	128.25	0	128.25
277.799	123.5	0	123.5
277.942	112.75	0	112.75
278.086	133.5	0	133.5
278.229	113	0	113
278.372	136.75	0	136.75
278.516	128.25	0	128.25
278.659	131.5	0	131.5
278.802	111.75	0	111.75
278.945	115	0	115
279.089	115.5	0	115.5
279.232	131.75	0	131.75
279.375	134.25	0	134.25
279.518	140	0	140
279.661	134	0	134
279.805	144.75	0	144.75
279.948	122.5	0	122.5
280.091	135.25	0	135.25
280.234	133	0	133
280.377	139	0	139
280.52	134.5	0	134.5
280.663	140.75	0	140.75
280.806	130.75	0	130.75
280.95	143.5	0	143.5
281.093	121	0	121
281.236	133.75	0	133.75
281.379	116.5	0	116.5
281.522	137	0	137
281.665	130.75	0	130.75
281.808	131.5	0	131.5
281.951	116	0	116
282.094	134.25	0	134.25
282.237	136	0	136
282.38	133	0	133
282.523	115.25	0	115.25
282.666	123.5	0	123.5
282.809	108.75	0	108.75
282.952	136.5	0	136.5
283.095	141.5	0	141.5
283.238	147.25	0	147.25
283.381	128.75	0	128.75
283.523	150.5	0	150.5
283.666	148.75	0	148.75
283.809	151.75	0	151.75
283.952	157.75	0	157.75
284.095	167	0	167
284.238	158.75	0	158.75
284.381	159	0	159
284.524	140	0	140
284.666	188	0	188
284.809	214	0	214
284.952	236	0	236
285.095	263	0	263
285.238	300.5	0	300.5
285.38	310.5	0	310.5
285.523	265	0	265
