0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Cr:8250.4,Ag:7353.9,Zr:1029.6,Pt:239.8,V_:213.9,S :162.3,,,,,,,,,,,,,,,
Ni:3044.2,Ag:2066.1,Mo:1080.1,Pt:654.8,Nb:429.5,Ti:280.1,Zn:165.3,Co:162.7,,,,,,,,,,,,,
Ag:2053.7,Mo:1584.7,Pt:1149.7,Ta:602.4,Nb:365.4,Ti:332.2,W_:298.2,Zn:258.4,,,,,,,,,,,,,
Ag:1997.8,Co:539.3,Zn:481.9,Zr:223.0,,,,,,,,,,,,,,,,,
Ag:1950.1,Cu:441.2,V_:281.8,Nb:218.9,,,,,,,,,,,,,,,,,
Mo:638.2,Ag:575.3,Fe:396.6,Zr:298.2,S :227.0,,,,,,,,,,,,,,,,
Cr:1155.7,Zr:1022.8,V_:861.8,Ag:417.4,S :382.8,K_:316.7,Ta:292.1,Pt:282.4,Mo:251.0,P :175.2,,,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Ag:403.4,Ta:372.2,Pb:351.5,Ta:346.1,Au:325.5,Zr:316.5,V_:308.1
Al:4648.1,C_:2093.2,Ti:1240.5,Ni:1081.5,Zr:562.7,Mo:421.0,Ag:356.0,Co:289.0,P :214.6,,,,,,,,,,,,
Ta:1646.2,Ti:1449.0,V_:1025.5,W_:440.1,Ag:291.4,S :282.4,C_:218.4,K_:154.2,K_:152.6,P :152.1,,,,,,,,,,,
I_:1818.1,Pd:1713.5,Mo:1250.1,Cr:685.5,Si:659.4,Ta:372.2,Zr:363.6,Au:300.3,Ag:289.4,W_:267.7,K_:150.7,,,,,,,,,,
Ni:367.9,Co:306.5,Mo:270.8,Ag:259.2,,,,,,,,,,,,,,,,,
Ni:2000.1,Co:1711.6,Ag:235.6,Zr:205.5,V_:158.0,,,,,,,,,,,,,,,,
Mo:3351.6,Pt:2717.2,V_:1411.2,Ti:285.0,Fe:279.6,Ag:229.4,P :158.2,K_:150.8,,,,,,,,,,,,,
Pb:4889.1,Zr:1360.2,Mo:1130.2,V_:627.5,Pt:584.0,Ti:510.5,W_:451.1,Ta:263.9,S :229.7,Ag:216.8,P :201.7,Ni:164.1,,,,,,,,,
Cr:836.3,Fe:752.8,Zr:499.1,Ta:246.9,Pt:222.9,Ag:198.6,,,,,,,,,,,,,,,
Al:5073.9,Mo:1986.8,Nb:1406.1,Pt:1153.0,C_:1148.8,Ni:595.6,V_:481.2,Co:459.8,Fe:261.2,S :230.4,Ag:178.3,Ta:158.3,,,,,,,,,
Mo:839.1,Cd:795.4,Pt:523.9,Sn:490.7,Nb:430.6,P :213.1,Co:177.9,K_:173.3,Ag:172.4,S :163.0,,,,,,,,,,,
Ni:1070.3,Co:300.9,Nb:289.8,K_:182.0,Ti:177.6,S :174.6,Ag:170.4,,,,,,,,,,,,,,
Ni:3011.3,Mo:1224.4,Pt:854.3,Ta:220.5,V_:195.2,Ag:160.1,,,,,,,,,,,,,,,
Nb:2719.8,V_:1129.8,Mo:457.9,Mo:437.4,Pd:396.1,W_:323.1,Pt:294.4,Pt:284.4,Fe:274.4,Ag:159.8,,,,,,,,,,,
V_:3537.8,Zr:870.7,Pd:523.0,Ni:249.9,Ta:217.9,W_:202.2,C_:189.2,Nb:185.8,S :154.4,Ag:153.4,,,,,,,,,,,
Zn:1720.9,Mo:1291.0,Pt:829.0,W_:796.4,Cr:465.0,Ta:283.1,Ni:213.8,S :185.2,Ag:150.5,,,,,,,,,,,,
