Wavelength,Intensity,Pixel
520.73,7353.928198871367,1914.0
337.881,2066.1373216043867,493.0
338.436,2053.6986063797613,497.0
328.288,1997.7797477069616,424.0
327.59,1950.0815980703455,419.0
330.517,575.3009249930187,440.0
420.975,417.43095882656917,1110.0
341.62,403.38119846106474,520.0
396.066,355.9869070343061,921.0
466.824,291.44410541010734,1469.0
341.897,289.35066419085115,522.0
324.658,259.24863964513975,398.0
350.034,235.6094423187883,581.0
447.528,229.39318760148433,1316.0
405.483,216.78671412652784,992.0
522.604,198.61576027977253,1930.0
394.334,178.3293703156146,908.0
326.195,172.359272302504,409.0
331.492,170.35414863091592,447.0
342.311,160.0958108267282,525.0
523.188,159.84219656797313,1935.0
487.452,153.44008183035862,1636.0
334.412,150.47852509498148,468.0
