0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Al:5073.9,Mo:1986.8,Nb:1406.1,Pt:1153.0,C_:1148.8,Ni:595.6,V_:481.2,Co:459.8,Fe:261.2,S :230.4,Ag:178.3,Ta:158.3,,,,,,,,,
Al:4648.1,C_:2093.2,Ti:1240.5,Ni:1081.5,Zr:562.7,Mo:421.0,Ag:356.0,Co:289.0,P :214.6,,,,,,,,,,,,
W_:6907.8,Ti:1777.5,Al:1499.7,Nb:933.9,Co:707.0,S :175.6,C_:162.4,V_:157.0,,,,,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Ag:403.4,Ta:372.2,Pb:351.5,Ta:346.1,Au:325.5,Zr:316.5,V_:308.1
Mo:3710.3,Pt:2614.0,Zr:1691.0,Co:959.1,Al:500.2,Ni:372.4,,,,,,,,,,,,,,,
Nb:5436.4,Zr:3124.8,Mo:1146.8,Ni:1001.3,Pt:777.7,Al:492.0,C_:479.9,K_:430.1,Cr:166.3,,,,,,,,,,,,
C_:641.6,C_:549.4,Al:445.6,K_:319.7,S :187.3,Ni:170.8,Ti:164.8,,,,,,,,,,,,,,
Nb:630.0,Ta:435.4,Al:373.9,Mo:284.4,W_:243.4,C_:232.9,Pt:217.4,Zr:175.3,,,,,,,,,,,,,
Al:366.0,,,,,,,,,,,,,,,,,,,,
Nb:725.7,C_:446.9,Al:364.3,Ta:337.4,Cr:249.0,Mo:231.9,W_:229.7,Cd:196.4,Cd:180.6,Zn:154.8,,,,,,,,,,,
Ta:435.4,Al:307.1,W_:243.4,V_:242.6,C_:232.9,,,,,,,,,,,,,,,,
Ta:1363.2,C_:353.2,Cr:270.0,Al:258.5,Fe:153.9,,,,,,,,,,,,,,,,
V_:1156.2,Ti:1096.9,Nb:989.2,Pt:484.2,W_:409.1,S :293.0,Al:256.9,S :223.0,K_:158.6,Au:154.1,,,,,,,,,,,
Nb:4037.7,Mo:1109.6,V_:1025.5,Pt:856.3,Zr:316.6,S :256.2,Al:241.2,C_:217.2,W_:202.6,P :165.8,K_:152.6,,,,,,,,,,
Nb:3657.0,Ni:529.2,S :490.7,Mo:487.4,K_:337.6,Pt:313.0,P :289.4,Ti:282.3,Zr:241.6,Al:240.3,,,,,,,,,,,
Cr:3669.4,Nb:2016.5,Fe:1265.7,Ta:958.5,Ta:851.3,Zr:749.2,Co:532.6,S :509.5,K_:492.6,P :321.5,Al:222.1,,,,,,,,,,
C_:1623.7,Nb:1570.7,W_:1205.0,Mo:339.3,S :331.3,Pt:286.2,Al:182.9,,,,,,,,,,,,,,
Nb:4407.2,Ta:731.5,Al:181.6,Ti:166.4,,,,,,,,,,,,,,,,,
