Wavelength,Intensity,Pixel
394.334,5073.860882744205,908.0
396.066,4648.115618752059,921.0
484.148,1499.7066113177382,1609.0
341.62,1087.015350928309,520.0
486.596,500.154898447651,1629.0
507.844,491.987827093224,1805.0
510.106,445.58743173998437,1824.0
309.359,373.92415527138814,289.0
308.23,365.9699691601188,281.0
512.242,364.33003496709875,1842.0
309.077,307.0985504956136,287.0
514.255,258.534298368079,1859.0
392.467,256.8829354005561,894.0
467.074,241.16802834653754,1471.0
464.824,240.3220283118813,1453.0
391.933,222.0830713646094,890.0
469.443,182.87306290023622,1490.0
516.026,181.60518283777674,1874.0
