0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Fe:4810.9,Au:3899.8,W_:1461.1,Ta:1324.6,Zr:1287.9,Ta:1220.9,Ti:859.5,Cr:757.0,Co:690.7,V_:566.4,S :346.4,K_:279.0,P :201.7,,,,,,,,
Au:2812.9,Nb:2308.3,K_:1826.5,Mo:1677.8,Cr:1231.3,Pt:1097.6,Ti:514.2,Co:439.4,Zn:217.6,S :212.3,Zn:184.9,W_:156.4,,,,,,,,,
Au:2490.7,Fe:1137.0,Nb:801.7,K_:771.7,W_:584.0,Zr:547.6,V_:454.4,C_:453.9,Ti:427.8,,,,,,,,,,,,
Au:1247.8,Nb:839.4,Mo:457.9,Ta:447.0,Zr:445.1,V_:300.5,Pt:294.4,,,,,,,,,,,,,,
V_:1964.1,Au:1054.6,Ti:788.3,S :389.1,Cr:292.4,In:281.9,W_:260.1,Ta:259.0,Zr:185.5,K_:152.1,,,,,,,,,,,
Co:3701.5,Fe:2449.3,Au:943.4,Zr:736.6,Ta:654.7,Ni:577.0,Pt:236.8,,,,,,,,,,,,,,
Au:921.4,Zr:224.9,Mo:208.9,,,,,,,,,,,,,,,,,,
Nb:1811.2,Ta:1302.1,W_:1285.6,Au:899.4,Mo:524.9,Ni:277.7,Pb:266.2,V_:235.8,,,,,,,,,,,,,
Ti:1400.5,Au:882.7,Mo:794.7,Pt:640.6,Ta:574.9,Fe:471.4,Cr:432.9,W_:415.6,Nb:367.1,S :285.7,,,,,,,,,,,
Zr:3376.9,Nb:3192.6,Ti:2430.3,Au:678.8,C_:543.3,V_:504.6,Cd:212.7,Pt:175.9,,,,,,,,,,,,,
Zn:7365.5,Ta:3418.8,Nb:3284.7,Mo:689.8,Pt:567.4,Au:541.8,S :463.0,S :403.8,Ti:395.9,Cr:198.1,P :187.6,W_:177.2,,,,,,,,,
Co:6680.7,V_:2657.2,Fe:1559.5,W_:945.6,Ta:500.6,Au:464.7,Ti:298.7,Ta:281.5,S :226.7,S :160.2,,,,,,,,,,,
Cr:2000.1,Nb:1345.7,V_:1273.5,Au:463.8,Ca:285.0,Co:273.5,S :204.9,Ta:199.8,,,,,,,,,,,,,
Nb:2200.8,V_:2108.7,W_:1018.4,Zr:429.5,Au:408.8,S :289.7,Ti:215.6,K_:215.4,,,,,,,,,,,,,
Mo:3635.6,Pt:2565.8,Nb:2226.8,Co:903.2,W_:760.7,Au:406.9,S :355.2,In:275.6,Fe:253.6,P :242.6,Pb:233.0,V_:218.2,Ta:213.3,Ni:179.7,K_:167.4,,,,,,
Pd:837.4,Au:392.2,Zr:329.7,Nb:218.7,,,,,,,,,,,,,,,,,
Nb:3877.6,V_:554.6,K_:541.2,Zr:451.0,Au:359.7,P :308.4,S :266.6,Ta:235.3,Ca:205.0,,,,,,,,,,,,
Pd:2991.9,Nb:1097.0,Fe:502.4,Au:353.4,Cr:339.7,Ta:255.1,,,,,,,,,,,,,,,
V_:3050.9,W_:895.7,Zr:342.3,Ta:340.0,Au:328.2,Cr:257.6,Nb:227.9,S :180.5,Pb:174.5,,,,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Ag:403.4,Ta:372.2,Pb:351.5,Ta:346.1,Au:325.5,Zr:316.5,V_:308.1
Nb:1097.0,Mo:1056.4,Pt:577.3,V_:521.8,Au:320.5,Ta:245.8,Zr:228.6,Cr:216.3,,,,,,,,,,,,,
Ni:6615.1,Sb:3772.3,In:3257.2,Co:2508.2,Sn:2187.6,Pt:1208.4,C_:890.6,Cr:667.5,W_:529.6,Fe:513.3,Nb:466.1,Ta:465.9,Ta:346.1,Pb:325.3,Zr:316.5,Au:313.2,Zr:288.0,,,,
I_:1818.1,Pd:1713.5,Mo:1250.1,Cr:685.5,Si:659.4,Ta:372.2,Zr:363.6,Au:300.3,Ag:289.4,W_:267.7,K_:150.7,,,,,,,,,,
Fe:2550.2,W_:2514.6,Co:2055.2,Mo:317.0,Au:284.7,S :199.3,Pt:197.0,K_:169.4,,,,,,,,,,,,,
Cr:3982.8,Ti:1796.6,V_:1772.0,Zr:806.2,Nb:638.1,W_:494.3,Au:258.6,Ca:226.3,,,,,,,,,,,,,
V_:3050.9,Co:1763.2,K_:440.2,Zr:342.3,Ta:340.0,Zr:279.3,Au:245.1,Pb:174.5,Pb:160.1,,,,,,,,,,,,
Zr:1996.1,V_:933.4,Ta:362.9,Ni:264.7,Au:232.7,Ta:188.6,,,,,,,,,,,,,,,
In:3197.7,V_:1531.7,Mo:989.2,S :769.3,Pt:670.8,P :484.8,Ta:408.1,K_:375.8,Zr:340.1,W_:267.0,Ti:261.0,Au:231.9,Cr:174.0,,,,,,,,
Cd:4948.9,Cr:3122.3,Pd:2966.0,Fe:2493.0,Ta:1165.0,Ti:395.2,Nb:327.4,V_:267.4,Au:229.6,,,,,,,,,,,,
W_:3381.7,Nb:1114.5,Ta:772.4,Co:386.0,Fe:266.2,Au:220.0,K_:203.3,Pt:191.3,Ti:163.5,,,,,,,,,,,,
Pb:924.6,Co:556.1,Ta:339.4,S :253.2,Zr:227.1,Au:214.2,K_:212.9,P :210.6,Ni:152.6,,,,,,,,,,,,
Nb:3486.3,Cr:1679.4,W_:869.1,V_:798.9,Au:210.7,K_:176.1,,,,,,,,,,,,,,,
Nb:2030.8,Ti:1289.6,Mo:850.5,Pt:713.3,Ta:438.4,W_:368.2,V_:319.0,Au:206.4,Zr:202.9,S :192.6,Ni:192.5,C_:181.3,,,,,,,,,
Cr:3150.5,Nb:801.6,V_:755.9,Zr:649.5,W_:406.1,S :246.4,Au:203.7,,,,,,,,,,,,,,
Cr:2933.4,Mo:1311.1,Co:847.8,Zr:748.5,Pt:701.1,S :440.7,Ni:400.9,P :303.2,Ta:205.0,Au:203.3,W_:187.1,,,,,,,,,,
Nb:1390.8,Co:760.1,Zr:479.9,Fe:282.8,V_:279.6,Au:201.7,,,,,,,,,,,,,,,
Zr:2180.2,Ti:1019.4,Mo:566.5,S :555.1,Ta:440.3,Pt:386.0,P :369.8,Au:199.6,,,,,,,,,,,,,
S :710.7,P :484.8,K_:440.2,Ta:408.1,Zr:279.3,W_:271.6,Au:196.4,Pb:160.1,,,,,,,,,,,,,
Fe:4135.4,Nb:1560.6,W_:827.2,Ta:440.0,C_:263.3,Ni:247.9,Ta:194.8,Au:193.1,K_:186.2,,,,,,,,,,,,
V_:2350.1,Ta:1466.7,Cr:1377.0,W_:1181.0,Mo:617.9,Pt:400.0,Ti:309.6,S :300.5,In:242.0,Zr:217.0,Au:193.1,Pb:160.4,,,,,,,,,
Ta:1928.8,Zr:1752.3,Ni:1541.9,Fe:1283.3,W_:974.9,S :621.4,Ti:401.7,P :364.5,Cr:357.9,K_:351.1,Pb:249.6,Pt:193.5,Au:191.6,,,,,,,,
Au:184.9,,,,,,,,,,,,,,,,,,,,
Mo:7071.8,Pt:6584.2,Nb:1708.4,V_:1562.4,Ta:896.0,S :712.0,K_:271.9,P :207.1,Au:181.9,,,,,,,,,,,,
Nb:6612.9,Mo:3764.2,Pt:2864.4,Zr:1540.8,Ti:1219.6,Ta:668.5,In:339.4,Pb:275.6,Au:180.6,Ni:174.5,,,,,,,,,,,
Ta:629.7,Mo:514.1,Nb:430.7,Pt:324.6,Ca:209.9,Au:176.8,,,,,,,,,,,,,,,
V_:1481.0,Ti:510.5,W_:451.1,S :370.5,Ta:263.9,Au:174.7,,,,,,,,,,,,,,,
Fe:4135.4,Mo:2448.6,Pt:1609.3,V_:1507.6,Cr:569.0,Ta:440.0,Ti:339.3,C_:267.8,S :196.1,Au:173.9,K_:164.0,,,,,,,,,,
Zr:3315.2,W_:2140.0,Mo:1992.3,Pt:1404.0,Nb:1041.1,V_:506.9,Cr:443.7,S :371.6,P :279.4,K_:275.9,Au:173.3,,,,,,,,,,
Pd:3015.8,Mo:2238.0,Nb:1705.0,Pt:1199.2,Ti:1135.3,Fe:373.6,S :216.9,Cd:174.7,Au:171.9,Zr:162.2,Ni:153.3,,,,,,,,,,
Mo:2448.6,Pd:1838.4,V_:1507.6,Ni:731.0,Cr:583.3,Nb:226.1,S :195.9,Au:170.6,,,,,,,,,,,,,
Cr:1267.0,V_:1071.6,Ta:253.1,S :215.9,Au:170.5,,,,,,,,,,,,,,,,
W_:2469.7,Fe:2206.3,Zr:1669.3,Nb:1615.1,Cr:220.6,Au:170.2,,,,,,,,,,,,,,,
W_:8270.9,Ti:1001.2,Nb:774.3,Mo:375.0,Pt:294.7,S :174.8,Au:169.9,,,,,,,,,,,,,,
Ta:478.9,W_:466.2,Sb:234.0,Au:169.5,,,,,,,,,,,,,,,,,
Nb:6936.0,W_:4146.8,In:3197.7,V_:1531.7,Mo:821.2,S :756.2,Pt:637.6,K_:359.6,Zr:340.1,Ti:261.0,Cr:174.0,Au:167.5,,,,,,,,,
Co:987.1,Fe:715.7,Cr:187.8,Au:166.9,P :156.8,,,,,,,,,,,,,,,,
V_:2732.3,Cr:1580.6,Nb:1461.8,W_:461.9,Zr:337.5,K_:283.1,Ti:279.4,S :181.3,Au:166.2,,,,,,,,,,,,
Ca:1464.5,Mo:866.3,Nb:825.3,Pt:654.0,W_:338.8,Ta:230.6,Zr:219.6,Ti:216.2,S :176.0,Au:165.1,,,,,,,,,,,
Ta:2920.7,Ti:246.1,Pt:185.6,Au:164.9,,,,,,,,,,,,,,,,,
Ta:702.8,Ti:177.9,S :176.2,Au:163.4,,,,,,,,,,,,,,,,,
Fe:4046.1,C_:3028.4,Nb:1825.0,Co:1552.6,Cr:916.5,W_:665.9,S :263.7,Au:162.4,P :155.4,,,,,,,,,,,,
Ni:7018.0,Fe:4046.1,Nb:1184.9,W_:665.9,Ta:477.9,Ti:279.4,K_:201.8,Au:159.8,S :154.8,,,,,,,,,,,,
Mo:2433.9,Pt:1750.3,W_:1148.7,Co:1028.4,Zr:1024.1,S :543.1,Ta:322.7,Cr:314.3,Fe:301.5,P :208.9,K_:174.5,Au:159.1,,,,,,,,,
Co:6024.8,W_:494.3,Mo:362.9,Pt:347.1,Ca:214.7,Au:158.7,,,,,,,,,,,,,,,
Mo:4516.0,Pt:4055.2,Nb:1965.0,Ti:1883.4,Ta:1303.0,Ca:1186.0,W_:1031.0,S :611.0,K_:369.1,P :254.8,Ni:203.6,Au:158.1,,,,,,,,,
Nb:2212.8,W_:925.2,V_:686.6,S :310.2,K_:303.4,Zr:281.2,Mo:275.1,Ta:274.7,Pt:176.3,Zr:167.0,Au:157.3,,,,,,,,,,
Nb:1224.0,Mo:396.3,Cr:345.7,W_:253.4,Pt:170.8,V_:165.5,Au:156.8,,,,,,,,,,,,,,
Cr:1621.9,S :293.0,Al:256.9,Au:154.1,,,,,,,,,,,,,,,,,
C_:12834.3,W_:2514.6,Co:2055.2,Ti:1085.6,Ta:898.3,S :366.5,P :207.3,Au:153.4,,,,,,,,,,,,,
Nb:4209.0,Ta:650.1,W_:520.9,S :383.8,K_:224.7,Cr:203.7,P :184.1,Au:153.3,,,,,,,,,,,,,
W_:2037.7,Cr:1627.5,Mo:1493.6,Nb:1341.1,Pt:763.0,Ti:592.2,V_:235.4,Ta:233.8,S :206.0,Au:153.1,,,,,,,,,,,
V_:1481.0,Cr:1154.1,Nb:668.9,S :340.9,Zr:255.4,Mo:207.1,Au:150.9,,,,,,,,,,,,,,
Mo:3351.6,Pt:2717.2,V_:1411.2,Ta:1162.8,Pd:529.2,W_:428.4,S :358.5,Ti:285.0,P :158.2,Au:150.7,K_:150.5,,,,,,,,,,
