Wavelength,Intensity,Pixel
406.407,3899.7806537119704,999.0
479.108,2812.9048382631313,1568.0
389.794,2490.6550942086424,874.0
522.954,1247.7867377666712,1933.0
448.8,1054.5633101120554,1326.0
358.539,943.4096847923561,643.0
312.176,921.380622572698,309.0
404.029,899.4210983260946,981.0
431.492,882.6734399681577,1191.0
506.413,678.7598325855465,1793.0
481.078,541.8446263766382,1584.0
387.25,464.6863170855504,855.0
390.864,463.7982234056826,882.0
443.701,408.7925295854204,1286.0
408.386,406.92327869088194,1014.0
302.862,392.1976904890656,243.0
460.685,359.6993653272816,1420.0
355.253,353.3595359706196,619.0
408.914,328.22987989334297,1018.0
341.62,325.4676559373381,520.0
355.527,320.46293717914705,621.0
341.343,313.2095871393508,518.0
341.897,300.28184287220097,522.0
387.92,284.6530357216625,860.0
398.991,258.64965747632596,943.0
409.177,245.1332178476482,1020.0
388.857,232.6599356189763,867.0
409.704,231.91310149751916,1024.0
360.727,229.55081445525593,659.0
401.38,219.95287292289822,961.0
401.778,214.1634795315831,964.0
380.262,210.71526298836307,803.0
514.609,206.39587585436038,1862.0
449.69,203.70953640892094,1333.0
397.397,203.25423186785292,931.0
397.796,201.68350177955017,934.0
480.34,199.55316395570208,1578.0
409.44,196.39837703382818,1022.0
382.416,193.10531971090313,819.0
412.597,193.0675552581115,1046.0
402.837,191.63119790936344,972.0
274.787,184.93982138651518,46.0
427.738,181.91463264101026,1162.0
407.859,180.61211319468794,1010.0
398.593,176.84988193856952,940.0
405.219,174.74098893015662,990.0
382.685,173.89267037402078,821.0
423.971,173.31871496530903,1133.0
363.592,171.94062290890315,680.0
382.954,170.590606111552,823.0
379.454,170.51228927766533,797.0
383.492,170.20330144172658,827.0
400.85,169.85490727865226,957.0
322.98,169.5418217166482,386.0
409.967,167.52956572289668,1026.0
355.938,166.91222326539992,624.0
385.506,166.19462519977014,842.0
525.987,165.13603422132564,1959.0
476.887,164.89919802338272,1550.0
330.796,163.3624617709487,442.0
386.043,162.40191429287097,846.0
385.775,159.76562806879156,844.0
410.757,159.0915900267314,1032.0
399.257,158.74607221555652,945.0
428.645,158.1464027544232,1169.0
450.198,157.34822803347492,1337.0
364.955,156.80453310298253,690.0
392.6,154.0775691085314,895.0
388.188,153.43311791283122,862.0
422.93,153.2564575853437,1125.0
376.89,153.07902439860118,778.0
404.954,150.91250218985033,988.0
447.273,150.72413383183493,1314.0
