0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
C_:12834.3,W_:2514.6,Co:2055.2,Ti:1085.6,Ta:898.3,S :366.5,P :207.3,Au:153.4,,,,,,,,,,,,,,,,
C_:7599.1,Nb:3188.1,Pd:1503.7,Zr:1261.9,Ta:1012.5,Cr:489.2,Mo:261.4,Pt:204.1,,,,,,,,,,,,,,,,
C_:7095.4,Fe:1559.5,Cr:581.4,Ta:281.5,S :214.4,S :160.2,,,,,,,,,,,,,,,,,,
Fe:4046.1,C_:3028.4,Nb:1825.0,Co:1552.6,Cr:916.5,W_:665.9,S :263.7,Au:162.4,P :155.4,,,,,,,,,,,,,,,
C_:2466.1,Cr:1282.6,W_:270.3,S :173.6,,,,,,,,,,,,,,,,,,,,
C_:2320.5,Nb:1309.4,V_:548.7,Pt:239.5,Mo:223.4,Cd:179.7,Zn:152.6,,,,,,,,,,,,,,,,,
Ca:9249.6,Ge:3249.6,C_:2173.8,Zr:2065.2,Ti:1179.5,Cr:1011.2,W_:808.7,Mo:437.2,S :424.9,K_:405.0,P :366.4,Fe:267.3,V_:246.6,Pt:163.9,,,,,,,,,,
Al:4648.1,C_:2093.2,Ti:1240.5,Ni:1081.5,Zr:562.7,Mo:421.0,Ag:356.0,Co:289.0,P :214.6,,,,,,,,,,,,,,,
Cr:2072.9,C_:2027.0,Fe:1171.7,,,,,,,,,,,,,,,,,,,,,
C_:2006.2,Nb:1855.2,Ni:1477.2,V_:575.9,Ta:479.9,Ti:309.5,,,,,,,,,,,,,,,,,,
C_:1654.6,Cr:1580.6,Nb:1461.8,Ti:449.9,Zr:337.5,K_:283.1,,,,,,,,,,,,,,,,,,
C_:1623.7,Nb:1570.7,W_:596.7,S :331.3,S :201.9,Al:182.9,Zr:161.9,P :160.6,,,,,,,,,,,,,,,,
Fe:2726.2,Fe:2449.3,Mo:1577.4,C_:1289.1,Pt:1067.9,Ta:654.7,W_:198.7,,,,,,,,,,,,,,,,,
Ca:11682.9,C_:1235.2,V_:911.1,Ti:362.8,S :349.5,Zr:292.4,Mo:258.6,Pt:154.4,,,,,,,,,,,,,,,,
Nb:2977.9,Nb:1845.2,C_:1206.5,Cr:782.4,V_:401.1,,,,,,,,,,,,,,,,,,,
W_:2413.1,C_:1150.4,Zr:1089.4,Ti:496.5,Ti:273.4,Cd:234.6,,,,,,,,,,,,,,,,,,
Al:5073.9,Mo:1986.8,Nb:1406.1,Pt:1153.0,C_:1148.8,Ni:595.6,V_:481.2,Co:459.8,Fe:261.2,S :230.4,Ag:178.3,Ta:158.3,,,,,,,,,,,,
C_:1138.7,Nb:725.7,Zr:271.5,Pt:239.5,Mo:231.9,W_:229.7,Mo:223.4,Cd:196.4,Cd:179.7,Zn:152.6,,,,,,,,,,,,,,
Pd:2778.1,Nb:2331.3,C_:1082.1,W_:779.8,Ta:466.4,S :395.8,P :249.4,Ca:242.1,K_:237.7,Pt:189.4,Mo:162.6,,,,,,,,,,,,,
Cd:3169.5,C_:1003.8,Nb:765.9,Zr:351.0,S :272.9,P :202.4,K_:198.6,Pt:193.2,,,,,,,,,,,,,,,,
Ti:4348.7,Nb:3429.7,Ta:3393.9,C_:962.0,Mo:280.4,Pt:161.1,,,,,,,,,,,,,,,,,,
Nb:2606.7,C_:948.9,Zr:896.6,Ta:822.1,Ge:260.1,V_:183.6,Co:158.7,,,,,,,,,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Fe:513.3,Nb:466.1,Ag:403.4,Pb:351.5,Ta:346.1,Au:325.5,Pb:325.3,Zr:316.5,Au:313.2,V_:308.1
Ta:1280.3,Nb:1257.9,C_:852.6,Ta:688.1,Zr:363.5,W_:194.6,,,,,,,,,,,,,,,,,,
Ti:3120.7,C_:836.2,W_:719.7,Ca:347.3,P :172.1,,,,,,,,,,,,,,,,,,,
Nb:6731.9,C_:822.4,Ta:443.0,Ti:171.1,Zr:170.5,K_:166.1,,,,,,,,,,,,,,,,,,
Mo:1759.4,Pt:1128.0,C_:821.2,S :172.6,K_:166.1,Zr:162.6,,,,,,,,,,,,,,,,,,
Ca:10688.6,Cr:4058.9,Fe:2367.8,W_:1623.8,Ta:1128.5,Zr:945.5,C_:796.3,Co:640.1,Mo:268.1,,,,,,,,,,,,,,,
Ta:1117.2,Cr:1030.3,C_:777.8,V_:758.9,V_:732.0,Nb:718.8,Fe:652.0,P :285.4,P :225.4,S :218.5,S :169.5,,,,,,,,,,,,,
Ti:3747.8,W_:3201.1,Ta:1672.8,Mo:1454.7,Pt:1077.9,Nb:940.4,V_:900.1,C_:766.7,Cr:684.5,,,,,,,,,,,,,,,
Nb:1215.9,C_:703.3,Mo:369.0,Pt:291.9,Zr:222.1,Ta:168.0,,,,,,,,,,,,,,,,,,
W_:2089.8,Zr:832.0,Nb:787.5,C_:682.2,Cr:324.5,Mo:263.1,S :224.6,Cd:180.9,Ta:180.6,,,,,,,,,,,,,,,
