0,1,2,3,4,5,6,7,8,9,10,11,12,13
Ca:11682.9,C_:1235.2,V_:911.1,Ti:362.8,S :349.5,Zr:292.4,Mo:258.6,Pt:154.4,,,,,,
Ca:10688.6,Cr:4058.9,Fe:2367.8,W_:1623.8,Ta:1128.5,Zr:945.5,C_:796.3,Co:640.1,Mo:268.1,,,,,
Ca:9249.6,Ge:3249.6,C_:2173.8,Zr:2065.2,Ti:1179.5,Cr:1011.2,W_:808.7,Mo:437.2,S :424.9,K_:405.0,P :366.4,Fe:267.3,V_:246.6,Pt:163.9
Ca:3966.4,Ti:1982.5,W_:559.2,S :364.2,Ta:351.2,K_:222.7,,,,,,,,
Ca:3073.2,W_:515.0,Ta:449.9,Nb:224.6,Zr:192.0,,,,,,,,,
Mo:3208.0,Pt:2696.1,Ca:2689.2,Nb:2200.8,V_:2108.7,W_:1018.4,Ti:528.6,S :289.7,Ti:215.6,K_:215.4,,,,
Nb:4337.4,Ca:2434.6,Fe:1446.4,W_:224.5,S :195.6,Mo:179.8,Zr:163.9,Pt:157.2,,,,,,
W_:5163.2,Nb:3687.0,Ti:3435.2,Ca:2308.0,Ta:1247.7,Zr:1027.0,Cr:543.7,S :276.0,,,,,,
Ca:2280.7,Mo:1008.9,Pt:810.5,Zr:261.9,W_:170.4,,,,,,,,,
Ca:1983.2,Ni:1028.1,Ta:529.8,V_:389.4,Zr:290.0,,,,,,,,,
Cr:3681.8,Ca:1780.5,Ti:625.2,Co:363.5,Nb:255.2,Ta:158.0,Zr:156.8,Zr:152.1,,,,,,
Ca:1464.5,Nb:825.3,W_:237.7,Ta:230.6,S :176.0,Au:165.1,,,,,,,,
Ca:1453.1,Mo:794.7,Pt:640.6,Ta:615.2,Ti:509.4,Zr:443.9,Cr:432.9,Nb:367.1,S :343.9,P :239.1,,,,
V_:1568.9,Ca:1446.2,Ti:1314.0,Mo:1294.2,Mo:1003.1,Pt:1003.0,Nb:840.8,Cr:709.5,Pt:650.4,W_:491.5,Ta:374.8,K_:162.7,S :158.5,P :150.7
V_:1572.8,Ca:1281.6,Zr:801.0,S :715.0,Fe:554.3,S :512.6,Ti:397.6,K_:327.4,P :262.6,P :238.1,,,,
Cr:9358.0,Mo:4516.0,Pt:4055.2,Nb:1965.0,Ti:1883.4,Ca:1186.0,S :611.0,S :488.0,K_:369.1,Ni:203.6,Au:158.1,,,
V_:2663.3,W_:1752.1,Ca:1087.2,Zr:182.9,Ta:180.9,Ta:162.7,,,,,,,,
Fe:4272.7,Ti:2557.2,W_:1891.5,V_:1416.1,K_:1098.9,Ca:1041.2,S :405.6,Zr:364.0,P :162.0,,,,,
Nb:3687.0,Ti:3435.2,V_:2032.6,Ca:1022.5,Cr:543.7,S :476.9,Ta:271.7,Fe:266.4,P :158.1,,,,,
Nb:880.1,Ca:811.8,Ta:718.2,W_:417.8,Mo:270.2,Pt:213.2,S :157.7,Fe:150.2,,,,,,
Nb:4302.1,Cr:2562.1,Ta:1300.1,Zr:978.0,Ca:733.6,W_:405.3,Ti:191.5,S :169.1,,,,,,
Nb:2800.3,Ca:582.6,Ta:441.1,,,,,,,,,,,
V_:1872.0,Ca:428.1,Pt:425.2,Mo:386.1,Zr:298.7,Ta:258.3,Cr:210.9,S :186.5,C_:162.8,,,,,
Ti:3120.7,C_:836.2,W_:719.7,Ca:347.3,P :172.1,,,,,,,,,
Nb:3245.3,V_:2137.3,Cr:1342.8,Co:378.6,Ca:343.9,Zr:228.3,Mo:212.0,,,,,,,
Ti:986.0,Nb:656.7,V_:362.9,Ca:336.1,Co:226.8,,,,,,,,,
Mo:1510.5,Ti:1219.6,Pt:1036.4,Cr:709.2,In:340.7,Ca:331.5,V_:160.8,,,,,,,
Cr:2000.1,Nb:1345.7,V_:1273.5,Au:463.8,Ca:285.0,Co:273.5,S :204.9,Ta:199.8,,,,,,
Nb:1701.8,Ti:612.6,S :280.3,Ca:270.7,P :212.0,,,,,,,,,
Pd:2778.1,Nb:2331.3,C_:1082.1,W_:779.8,Ta:466.4,S :395.8,P :249.4,Ca:242.1,K_:237.7,Pt:189.4,Mo:162.6,,,
Cr:3982.8,Ti:1796.6,V_:1772.0,Zr:806.2,Nb:638.1,W_:494.3,Au:258.6,Ca:226.3,,,,,,
Co:6024.8,W_:494.3,Mo:362.9,Pt:347.1,Ca:214.7,Au:158.7,,,,,,,,
Ti:1796.6,Zr:806.2,Ta:629.7,Nb:430.7,Ca:209.9,Au:176.8,,,,,,,,
Fe:2890.3,W_:1076.0,Mo:894.7,Ta:325.4,S :217.9,Ca:205.7,Cd:196.9,,,,,,,
Nb:3877.6,V_:554.6,K_:541.2,K_:466.9,Ni:428.1,S :384.7,Au:359.7,P :308.4,S :266.6,Ta:235.3,Ca:205.0,,,
V_:2137.3,V_:1762.0,Cr:1342.8,W_:542.8,Ca:201.5,S :183.8,P :166.2,,,,,,,
W_:2284.0,Co:828.4,Fe:621.4,V_:360.0,Ca:195.5,,,,,,,,,
Co:6024.8,S :3010.6,K_:2726.0,P :2095.3,W_:949.2,Fe:824.5,Ta:721.9,Ca:188.6,,,,,,
