Wavelength,Intensity,Pixel
393.267,11682.887419824247,900.0
396.732,10688.587117892188,926.0
422.539,9249.560248357955,1122.0
445.361,3966.3606762084714,1299.0
317.937,3073.1872518191303,350.0
443.445,2689.237845438025,1284.0
526.918,2434.588842266081,1967.0
430.069,2307.9616373183585,1180.0
315.831,2280.6556499097455,335.0
373.645,1983.1580871278134,754.0
526.453,1780.4920324411921,1963.0
526.104,1464.4778204400384,1960.0
431.75,1453.0837966707118,1193.0
442.422,1446.1708651822692,1276.0
428.127,1281.615431274669,1165.0
428.775,1185.9997648523022,1170.0
370.528,1087.164017527377,731.0
430.587,1041.232223769949,1184.0
429.811,1022.4699255289423,1178.0
487.696,811.8155997852841,1638.0
534.896,733.641733114385,2036.0
518.735,582.5750596923014,1897.0
458.546,428.090445104539,1403.0
504.021,347.30230233946446,1773.0
458.042,343.8789706820106,1399.0
364.274,336.12214734129975,685.0
407.595,331.53253094156673,1008.0
390.864,285.0315350990555,882.0
391.265,270.68855961766894,885.0
421.366,242.06668246786933,1113.0
398.991,226.33878499989723,943.0
399.257,214.66463022277276,945.0
398.726,209.89389852727797,941.0
362.91,205.725562145271,675.0
460.559,205.00801396896335,1419.0
457.79,201.46294498994655,1397.0
395.001,195.48747036692868,913.0
399.523,188.64678111954748,947.0
