0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Cd:7890.6,Zr:1109.8,Ti:755.3,Nb:677.6,C_:470.6,Pt:270.9,Mo:211.8,,,,,,,,,,,,,,
Cd:7631.4,W_:1339.4,Cr:1326.8,Ti:794.4,S :444.3,Ta:387.0,Nb:286.7,Zr:283.6,P :241.3,Zn:205.8,,,,,,,,,,,
Cd:4948.9,Ni:3460.9,Pd:2966.0,Fe:2493.0,Ta:1165.0,Co:461.8,Ti:395.2,Au:229.6,S :157.7,,,,,,,,,,,,
Cd:3289.4,Co:1462.3,Pt:697.6,Fe:563.2,Nb:443.0,Cr:286.4,S :173.3,,,,,,,,,,,,,,
Cd:3169.5,C_:1003.8,Nb:765.9,Zr:351.0,S :272.9,P :202.4,K_:198.6,Pt:193.2,,,,,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Ag:403.4,Ta:372.2,Pb:351.5,Ta:346.1,Au:325.5,Zr:316.5,V_:308.1
Mo:1902.2,Pd:1765.9,Cd:1029.1,Si:337.0,Cr:159.6,,,,,,,,,,,,,,,,
Cd:795.4,In:626.4,Sn:490.7,Nb:430.6,Nb:417.8,Ta:384.3,Zr:303.4,W_:226.1,K_:178.8,Co:177.9,S :176.1,K_:173.3,Ag:172.4,,,,,,,,
Zr:1586.0,Mo:1300.2,Pt:905.1,Nb:763.9,S :300.2,Cd:299.1,Ni:210.9,K_:209.5,,,,,,,,,,,,,
Zr:1713.9,V_:761.6,Ni:695.3,Nb:557.5,W_:463.1,S :409.0,Ta:392.6,Pd:291.3,Cd:261.1,P :205.9,,,,,,,,,,,
Pd:2059.0,Fe:1658.3,K_:498.2,Ta:483.9,Cr:373.8,Zn:307.8,In:266.4,Cd:256.0,Sb:249.6,Sn:201.9,C_:159.5,,,,,,,,,,
Pd:2059.0,Co:1655.2,W_:637.6,Nb:390.8,Cr:373.8,S :339.3,K_:317.7,Zn:307.8,Zn:293.4,In:261.9,Cd:246.2,,,,,,,,,,
W_:2413.1,Ta:2080.1,C_:1150.4,Zr:1089.4,Cr:488.5,Ti:273.4,Cd:234.6,,,,,,,,,,,,,,
S :574.7,Zr:570.0,K_:498.2,Ta:483.9,P :313.9,In:266.4,Cd:233.6,,,,,,,,,,,,,,
Zr:3376.9,Nb:3192.6,Ti:2430.3,Au:678.8,C_:606.3,V_:504.6,Cd:212.7,Pt:175.9,Pd:157.7,,,,,,,,,,,,
Ni:3151.5,Mo:1887.1,Pt:1335.8,Cr:750.9,Zr:641.1,Ta:628.8,Zn:293.4,K_:277.7,Cd:212.2,,,,,,,,,,,,
Mo:2462.5,Pt:1913.0,V_:921.3,Ti:519.4,S :347.7,Nb:312.6,Cd:199.5,,,,,,,,,,,,,,
Fe:2890.3,W_:1076.0,Co:572.2,Ta:325.4,S :217.9,Ca:205.7,Cd:196.9,,,,,,,,,,,,,,
C_:1138.7,Nb:725.7,C_:446.9,Al:364.3,Zr:271.5,Mo:231.9,W_:229.7,Cd:196.4,,,,,,,,,,,,,
W_:2089.8,Zr:832.0,Nb:787.5,C_:682.2,Ti:496.5,Cr:324.5,S :224.6,Cd:180.9,Ta:180.6,,,,,,,,,,,,
C_:571.7,C_:446.9,Al:364.3,Ta:337.4,Cr:249.0,Cd:180.6,Zn:154.8,,,,,,,,,,,,,,
C_:2320.5,Nb:1309.4,C_:1138.7,V_:548.7,Zr:271.5,Pt:239.5,Mo:223.4,Cd:179.7,Zn:152.6,,,,,,,,,,,,
Pd:3015.8,Mo:2238.0,Nb:1705.0,Pt:1199.2,Ti:1135.3,Fe:373.6,S :216.9,Cd:174.7,Au:171.9,Zr:162.2,Ni:153.3,,,,,,,,,,
Zr:1610.3,Ta:1490.5,Mo:702.5,Nb:660.6,C_:574.0,Pd:430.5,Pt:405.8,Ni:370.6,Cd:160.4,,,,,,,,,,,,
Cr:2936.4,Co:2261.6,Nb:1777.5,Zr:1128.7,W_:879.5,S :211.1,Ta:203.9,Cd:150.9,,,,,,,,,,,,,
