Wavelength,Intensity,Pixel
508.44,7890.58052833082,1810.0
479.848,7631.359778032873,1574.0
360.863,4948.919755296786,660.0
346.453,3289.3681471095083,555.0
467.698,3169.48862832168,1476.0
341.62,2506.1048733563684,520.0
340.236,1029.059890060224,510.0
326.055,795.3593474773361,408.0
478.368,299.1449066639643,1562.0
478.615,261.1221633759278,1564.0
343.969,256.02421506699784,537.0
344.246,246.1575797774949,539.0
506.771,234.64200521960936,1796.0
343.693,233.62371876751104,535.0
506.293,212.72306439249212,1792.0
344.522,212.24910805175637,541.0
477.628,199.45484733630565,1556.0
363.047,196.9330459226003,676.0
512.361,196.43609360253595,1843.0
507.129,180.86687390020825,1799.0
512.124,180.63657517265892,1841.0
512.598,179.6633867776079,1845.0
363.592,174.74084915545063,680.0
511.531,160.43286235039886,1836.0
357.582,150.86425741953417,636.0
