0,1,2,3,4,5,6,7,8,9,10,11,12,13
Co:7090.6,W_:2274.2,Nb:1640.8,Ni:184.6,K_:163.8,Ti:162.5,S :154.6,,,,,,,
Co:6878.8,Nb:2803.4,Pd:2669.3,Cr:820.2,Fe:699.2,C_:439.8,Zr:360.0,Ti:306.0,Ta:302.4,Ta:210.2,S :166.4,,,
Co:6680.7,V_:2657.2,Fe:1559.5,W_:945.6,Ta:500.6,Au:464.7,Ti:298.7,Ta:281.5,S :226.7,S :160.2,,,,
Co:6024.8,S :3010.6,K_:2726.0,P :2095.3,Ta:721.9,Mo:362.9,Pt:347.1,Ca:214.7,Ca:188.6,Au:158.7,,,,
Co:5663.2,Mo:2986.6,Pt:2408.0,Zr:1107.6,Fe:1045.0,Bi:949.3,Cr:941.4,W_:598.9,S :545.6,S :344.2,P :305.0,P :299.1,In:187.5,Pb:178.3
Co:3701.5,Nb:1121.9,Au:943.4,Zr:736.6,C_:639.9,Ni:577.0,Pt:236.8,,,,,,,
Co:3406.7,Ni:3238.7,Fe:2427.5,Pd:2319.9,W_:894.4,Nb:610.3,Mo:587.2,Ta:508.1,V_:343.6,Pt:320.2,S :163.8,Cr:160.2,,
Co:2776.9,Ta:406.0,K_:378.6,,,,,,,,,,,
Co:2761.8,Mo:1122.6,Pt:671.1,Cr:538.5,Ta:345.3,Nb:309.8,,,,,,,,
Co:2508.2,W_:529.6,Fe:513.3,Nb:466.1,Ta:465.9,Pb:325.3,Au:313.2,Zr:288.0,,,,,,
V_:2663.3,Co:2281.8,Nb:807.6,Mo:681.5,Ti:313.9,Pt:288.9,Ta:162.7,,,,,,,
Nb:2309.3,Co:2272.2,W_:1596.8,Ta:372.8,S :337.2,Mo:258.6,Pt:154.4,,,,,,,
Cr:2936.4,Co:2261.6,Nb:1777.5,Zr:1128.7,W_:879.5,Mo:536.5,Pt:319.5,S :211.1,Cd:150.9,,,,,
C_:12834.3,W_:2514.6,Co:2055.2,Ti:1085.6,Au:284.7,S :199.3,Pt:197.0,K_:169.4,Au:153.4,,,,,
Ni:3314.4,Co:2004.3,Pd:1683.4,Cr:1182.6,Nb:440.4,Zr:214.2,,,,,,,,
Ni:2756.2,Co:1989.9,Fe:1003.4,Ta:676.6,Nb:314.3,Mo:283.8,Pt:180.1,,,,,,,
Co:1911.5,Pd:1820.8,Fe:919.3,Ta:494.0,Nb:433.1,,,,,,,,,
V_:3050.9,Co:1763.2,K_:440.2,Zr:342.3,Ta:340.0,Zr:279.3,Au:245.1,Pb:174.5,Pb:160.1,,,,,
Co:1711.6,Mo:1707.9,Pt:1046.7,Ta:964.4,Ag:235.6,Zr:205.5,V_:158.0,,,,,,,
Mo:1902.2,Pd:1755.9,Co:1702.7,Pt:1294.7,Ta:747.8,Nb:704.7,Fe:454.3,W_:177.7,Cr:159.6,,,,,
Pd:2059.0,Co:1655.2,W_:637.6,Nb:390.8,Cr:373.8,S :339.3,K_:317.7,Zn:307.8,Zn:293.4,In:261.9,Cd:246.2,,,
Co:1579.2,Ni:953.7,Cr:541.4,Mo:352.8,Pt:236.4,,,,,,,,,
Fe:4046.1,C_:3028.4,Nb:1825.0,Co:1552.6,Cr:916.5,W_:665.9,S :263.7,Au:162.4,P :155.4,,,,,
Ni:3551.6,Co:1496.3,Zr:621.5,Ta:608.0,Bi:366.4,Cr:237.1,,,,,,,,
W_:1731.7,Pb:1572.5,Co:1485.1,Ti:570.4,V_:399.1,K_:176.2,Ta:171.7,,,,,,,
Cd:3289.4,Co:1462.3,Ta:615.6,Fe:563.2,Nb:443.0,W_:197.8,,,,,,,,
