Wavelength,Intensity,Pixel
384.432,7090.5951208445,834.0
389.393,6878.782502163796,871.0
387.25,6680.691983660108,855.0
399.39,6024.841769833991,946.0
411.94,5663.1953138890385,1041.0
358.676,3701.485318636338,644.0
356.897,3406.669456682541,631.0
352.92,2776.889763362582,602.0
373.103,2761.826382189338,750.0
341.205,2508.244313793978,517.0
370.257,2281.8359574634333,729.0
393.534,2272.2016184611894,902.0
357.445,2261.6486255625778,635.0
388.054,2055.2263594962783,861.0
343.141,2004.3076741247546,531.0
347.28,1989.8935809534823,561.0
348.796,1911.5031638011915,572.0
409.177,1763.2473722787186,1020.0
350.172,1711.638070529776,582.0
340.513,1702.7180730936225,512.0
344.246,1655.231680095947,539.0
345.35,1579.192174142956,547.0
386.043,1552.5715286817144,846.0
350.997,1496.3042161943958,588.0
368.22,1485.12901976986,714.0
346.315,1462.3362062293486,554.0
381.474,1408.0469467902035,812.0
344.936,1405.935878741103,544.0
359.36,1400.3368783074393,649.0
352.234,1373.9153629418188,597.0
349.484,1291.4892006024315,577.0
374.457,1279.9285477784433,760.0
367.54,1220.99264960153,709.0
360.043,1084.6153718221854,654.0
404.425,1073.914936734627,984.0
351.822,1065.1495583560409,594.0
370.799,1051.7884703204215,733.0
410.888,1028.4067315291811,1033.0
362.638,1009.2332659587171,673.0
339.405,992.7875251389796,504.0
355.938,987.0818980886302,624.0
486.719,959.0669055378503,1630.0
356.349,937.2218264239664,627.0
408.518,903.1551871997281,1015.0
369.171,859.5573286863851,721.0
397.264,847.7582299579544,930.0
354.979,846.763545136768,617.0
395.134,828.4292527303905,914.0
366.18,801.4579018215265,699.0
338.713,769.5138409130122,499.0
397.796,760.0920624758492,934.0
452.988,721.2074960822647,1359.0
394.068,714.7694985472576,906.0
484.025,707.0121941451198,1608.0
406.539,690.6747019484767,1000.0
354.293,670.820230578737,612.0
396.865,640.0528984818377,927.0
374.863,611.8841982646436,763.0
391.665,579.43045048164,888.0
363.183,572.2049707119459,677.0
481.324,558.7342437456227,1586.0
401.91,556.096759727392,965.0
328.288,539.3217802306485,424.0
391.933,532.57895601379,890.0
348.245,515.599672783725,568.0
315.41,465.6252031764378,332.0
361.0,461.76721682058337,661.0
394.468,459.8028659223064,909.0
375.404,457.56084950022614,767.0
479.231,439.3817084218322,1569.0
304.276,439.2608094786012,253.0
335.384,438.4411957796656,475.0
332.187,422.5383979817634,452.0
333.3,412.93758554205397,460.0
401.247,385.9539076394253,960.0
458.042,378.5879037842251,1399.0
336.633,375.1707302707873,484.0
395.667,374.9591358349294,918.0
456.528,363.85612166231545,1387.0
526.569,363.53179179390986,1964.0
306.113,347.96767906828694,266.0
377.565,322.23746808288104,783.0
364.682,320.8162848033894,688.0
365.227,314.51144138897644,692.0
446.891,311.38700756832634,1311.0
324.658,306.46770999016235,398.0
331.352,300.8584718965726,446.0
405.747,298.7102675106694,994.0
462.819,292.45194618718426,1437.0
477.998,290.79147258494777,1559.0
396.066,289.0159205165128,921.0
361.819,286.00542113378515,667.0
334.134,279.85476423360274,466.0
308.654,274.73481310554644,284.0
390.864,273.5035166547923,882.0
307.102,254.31394767155348,273.0
466.324,247.86721409990002,1465.0
364.137,226.80935946570025,684.0
474.908,224.53084939947166,1534.0
363.865,212.69865056247,682.0
313.723,196.32551409936764,320.0
325.357,193.89780890303734,403.0
475.155,184.42501138625903,1536.0
326.055,177.88769536218467,408.0
475.403,174.2071564928351,1538.0
521.199,173.06899618922932,1918.0
454.886,172.6112449146135,1374.0
375.809,171.7216548595536,770.0
454.254,168.79175044540943,1369.0
535.241,167.0340813750746,2039.0
413.91,165.94842422746638,1056.0
338.02,162.69056464506684,494.0
317.656,161.6657035398792,348.0
419.017,159.13244484385677,1095.0
323.26,159.10326059116096,388.0
468.197,158.71444349813555,1480.0
314.567,157.96580128622372,326.0
304.842,157.2957398687707,257.0
323.54,152.61866869978644,390.0
534.091,152.3796727126694,2029.0
523.422,150.7816361675425,1937.0
