0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Cr:10415.6,W_:3431.9,Ti:950.3,Ta:535.0,S :528.3,P :339.0,Zr:262.7,K_:152.7,,,,,,,,,,,,,,,,
Cr:10068.4,Nb:3143.3,Mo:1022.3,Zr:634.3,Pt:546.2,S :537.2,Zr:517.1,Ta:464.6,P :259.9,Ti:250.3,W_:220.6,,,,,,,,,,,,,
Cr:9358.0,Mo:4516.0,Pt:4055.2,Nb:2336.8,V_:1334.0,Ca:1186.0,Zr:889.5,Ta:534.5,S :488.0,K_:302.7,P :206.0,,,,,,,,,,,,,
Cr:8347.1,W_:746.0,Ti:346.8,Ta:314.0,Pt:239.8,V_:213.9,S :162.3,,,,,,,,,,,,,,,,,
Cr:8250.4,Ag:7353.9,Zr:1029.6,Pt:239.8,V_:213.9,S :162.3,,,,,,,,,,,,,,,,,,
Cr:5230.8,V_:1607.2,Mo:995.3,Nb:433.4,W_:352.7,Ta:244.7,K_:217.3,,,,,,,,,,,,,,,,,
Cr:4845.1,V_:2096.7,Nb:1731.8,Mo:1284.1,Pt:1056.7,Fe:270.6,Ta:180.9,,,,,,,,,,,,,,,,,
Cr:4436.2,Ta:292.0,Ti:282.3,Cu:177.1,C_:161.3,,,,,,,,,,,,,,,,,,,
Cr:4382.7,Nb:3180.9,W_:1556.5,Ti:1240.5,Pt:375.9,V_:328.3,S :183.0,,,,,,,,,,,,,,,,,
Cr:4255.8,Zr:1572.1,Nb:925.7,Ti:496.8,Zr:485.3,,,,,,,,,,,,,,,,,,,
Cr:4179.3,Nb:1329.9,Nb:951.7,Ta:762.9,K_:487.8,Ti:236.3,,,,,,,,,,,,,,,,,,
Cr:4062.8,Co:1279.9,Mo:898.0,Pt:463.7,Ta:365.5,S :233.3,,,,,,,,,,,,,,,,,,
Ca:10688.6,Cr:4058.9,Fe:2367.8,W_:1623.8,Ta:1128.5,C_:796.3,Co:640.1,Mo:268.1,,,,,,,,,,,,,,,,
Cr:3982.8,Ti:1796.6,V_:1772.0,Zr:806.2,Nb:638.1,W_:494.3,Au:258.6,Ca:226.3,,,,,,,,,,,,,,,,
Cr:3727.1,Ta:3524.3,Fe:1070.9,Ti:1047.4,Nb:610.3,Pt:247.7,C_:247.2,Mo:210.1,Zr:156.7,,,,,,,,,,,,,,,
Cr:3681.8,Ca:1780.5,Ti:625.2,Nb:255.2,W_:237.7,Ta:158.0,Zr:152.1,,,,,,,,,,,,,,,,,
Cr:3669.4,Nb:2016.5,Fe:1265.7,Ta:851.3,Mo:698.2,Co:579.4,Co:532.6,S :509.5,K_:492.6,W_:325.3,P :321.5,Al:222.1,,,,,,,,,,,,
Cr:3603.9,V_:574.0,Mo:487.4,Ti:372.8,K_:348.2,Ta:298.1,C_:170.3,,,,,,,,,,,,,,,,,
Nb:5904.5,Cr:3264.1,,,,,,,,,,,,,,,,,,,,,,
Cr:3150.5,Ta:915.5,V_:755.9,Ti:723.2,Zr:649.5,W_:406.1,S :246.4,Au:203.7,Fe:185.1,In:175.0,,,,,,,,,,,,,,
Cr:3122.3,Fe:2493.0,Ta:1165.0,W_:1029.7,Nb:327.4,V_:267.4,Au:229.6,Pb:159.6,,,,,,,,,,,,,,,,
Ta:3488.6,Cr:3072.4,W_:2761.0,Nb:974.5,V_:662.7,Nb:517.7,Ni:382.1,Zr:359.0,S :345.9,Co:174.2,,,,,,,,,,,,,,
Cr:2949.2,W_:2429.3,Mo:514.1,Ta:441.7,Pt:324.6,Zr:305.9,Fe:286.5,Nb:236.8,V_:192.1,,,,,,,,,,,,,,,
Cr:2936.4,Co:2261.6,Nb:1777.5,Zr:1128.7,W_:879.5,S :211.1,Ta:203.9,Cd:150.9,,,,,,,,,,,,,,,,
Cr:2933.4,Zr:479.9,P :303.2,Fe:282.8,Ta:205.0,Au:203.3,W_:187.1,,,,,,,,,,,,,,,,,
Cr:2873.0,W_:1422.5,Nb:1419.3,Ta:960.5,Mo:432.7,K_:388.9,Pt:351.5,S :337.2,Ti:241.1,Zr:197.1,,,,,,,,,,,,,,
W_:4182.6,Cr:2806.2,Ti:2267.7,Mo:616.6,Pt:478.0,Nb:440.8,Zr:330.5,Ta:279.6,V_:249.5,C_:186.9,S :177.5,,,,,,,,,,,,,
Cr:2709.5,Nb:2233.3,Ta:203.9,,,,,,,,,,,,,,,,,,,,,
Cr:2562.1,Ta:1300.1,Ca:733.6,W_:405.3,S :169.1,,,,,,,,,,,,,,,,,,,
