Wavelength,Intensity,Pixel
427.349,10415.569203020443,1159.0
425.401,10068.354061475246,1144.0
428.904,9358.021726004343,1171.0
520.496,8347.133554711094,1912.0
520.73,8250.420561724903,1914.0
433.816,5230.779276032439,1209.0
435.105,4845.129645237164,1219.0
465.074,4436.172409899274,1455.0
396.332,4382.705512557048,923.0
529.703,4255.847329407088,1991.0
434.332,4179.317648458391,1213.0
374.322,4062.8423457353265,759.0
396.865,4058.902635434777,927.0
398.991,3982.8400853140593,943.0
492.08,3727.0561235609707,1674.0
526.336,3681.766354516846,1962.0
391.799,3669.359818451626,889.0
464.573,3603.8694350535034,1451.0
534.436,3264.081595546887,2032.0
449.563,3150.480168816761,1332.0
360.59,3122.3433682835275,658.0
475.526,3072.3922197989687,1539.0
398.327,2949.176879384867,938.0
357.582,2936.407106168067,636.0
397.53,2933.4353319863203,932.0
459.93,2872.999413230342,1414.0
488.55,2806.1986068591546,1645.0
357.855,2709.4981379208602,638.0
534.781,2562.092305558368,2035.0
454.381,2399.1436834813403,1370.0
461.439,2371.303644790045,1426.0
359.36,2353.2197880344147,649.0
437.035,2351.19377007856,1234.0
388.456,2315.541691489581,864.0
454.001,2261.840089147053,1367.0
359.086,2258.6967910070543,647.0
486.963,2242.4255917494747,1632.0
374.728,2236.6892837106843,762.0
452.608,2181.2612918344516,1356.0
384.97,2072.880013470889,838.0
478.862,2047.950700590632,1566.0
462.443,2021.6134968145666,1434.0
390.73,2000.0655257207445,881.0
435.877,1898.2889871051866,1225.0
452.988,1895.9242623189698,1359.0
375.674,1735.454426550909,769.0
524.706,1724.049910383951,1948.0
482.799,1705.897691678933,1598.0
380.397,1679.4240890397741,804.0
364.001,1674.716524849472,683.0
394.068,1636.6049827327827,906.0
376.755,1627.4574664351858,777.0
392.734,1621.8637030807586,896.0
385.372,1580.5892792842815,841.0
495.353,1512.468618241254,1701.0
379.184,1469.3287862562183,795.0
461.187,1461.5424766859846,1424.0
416.27,1391.2506765802964,1074.0
403.764,1386.3670904246978,979.0
438.32,1377.607539823708,1244.0
412.597,1376.9575026656807,1046.0
457.916,1342.8388835066344,1398.0
466.449,1342.3585741835077,1466.0
493.536,1327.3597711900043,1686.0
479.971,1326.7950610750022,1575.0
486.107,1319.6064273921363,1625.0
390.195,1285.2703409704804,877.0
473.668,1282.5709626323373,1524.0
379.589,1267.0343468251713,798.0
453.495,1264.040107753959,1363.0
384.029,1252.9609297196948,831.0
479.108,1231.275940656814,1568.0
459.049,1226.0389390177247,1407.0
343.279,1182.6267960294622,532.0
