0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Fe:6447.1,K_:5908.5,W_:4126.0,Zr:1798.8,Nb:1614.6,Co:1073.9,S :509.1,Pt:320.9,P :307.0,Pb:236.1,Ta:162.2,,,,,,,,,,,
Fe:4893.8,V_:2857.7,Cr:1377.6,W_:1077.6,Ta:1009.7,S :381.3,K_:280.4,Zr:224.2,Ni:184.9,,,,,,,,,,,,,
Fe:4810.9,Au:3899.8,Mo:2545.1,Pt:1908.0,W_:1461.1,Zr:1287.9,Ta:1220.9,Ti:859.5,V_:566.4,S :346.4,K_:279.0,S :215.2,P :201.7,P :163.9,,,,,,,,
Fe:4272.7,W_:1891.5,V_:1416.1,K_:1098.9,V_:1053.2,Ca:1041.2,S :405.6,Zr:364.0,Cr:359.7,Ta:330.0,Pt:215.3,P :162.0,,,,,,,,,,
W_:4184.3,Fe:4175.3,Mo:3795.2,Pt:2921.4,Zr:1239.8,S :1038.8,V_:822.8,K_:806.4,P :630.0,Ta:251.8,Nb:239.4,Pb:222.9,,,,,,,,,,
Mo:4752.7,Fe:4143.0,Pt:4127.1,Nb:2967.7,Zr:934.7,Ti:812.5,Cr:793.6,W_:733.8,Ta:293.0,S :165.9,,,,,,,,,,,,
Fe:4135.4,Pt:1609.3,Nb:1560.6,Cr:569.0,Ta:440.0,Ti:339.3,C_:267.8,C_:263.3,S :196.1,Au:193.1,Au:173.9,K_:164.0,,,,,,,,,,
Fe:4097.4,Nb:1521.8,Ta:843.9,Ta:535.0,S :528.3,P :339.0,K_:152.7,,,,,,,,,,,,,,,
Ni:7018.0,Fe:4046.1,C_:3028.4,Co:1552.6,Nb:1184.9,W_:665.9,Ta:477.9,S :263.7,K_:201.8,Au:162.4,Au:159.8,S :154.8,,,,,,,,,,
Fe:3959.3,Mo:1122.6,Pt:671.1,Nb:309.8,V_:269.5,C_:208.3,,,,,,,,,,,,,,,,
Fe:3924.7,V_:2198.2,Cr:823.5,Zr:815.2,Mo:763.6,Pt:627.1,Nb:495.7,C_:270.6,Ta:192.2,K_:150.3,,,,,,,,,,,,
Fe:3673.9,V_:2974.9,Cr:1253.0,Ta:322.9,Ni:262.5,,,,,,,,,,,,,,,,,
Fe:3626.2,Ti:935.5,W_:714.7,Cr:552.5,Pt:422.8,Nb:315.0,Zr:297.4,P :156.1,,,,,,,,,,,,,,
