Wavelength,Intensity,Pixel
404.425,6447.1019016208265,984.0
438.32,4893.801315114439,1244.0
406.275,4810.86138080855,998.0
430.716,4272.68616479919,1185.0
407.067,4175.309517831187,1004.0
432.525,4143.038163800639,1199.0
382.551,4135.374871205278,820.0
427.089,4097.351228264182,1157.0
385.909,4046.0668243317923,845.0
373.374,3959.3027711877003,752.0
382.013,3924.689408517532,816.0
384.029,3673.9370875967097,831.0
440.373,3626.181379931407,1260.0
374.863,3564.7006573079852,763.0
376.485,3478.784333460018,775.0
388.59,3464.7502810612473,865.0
371.884,3349.2784845839474,741.0
381.474,3299.7101088845375,812.0
364.682,2942.858646281469,688.0
363.047,2890.3158222500842,676.0
375.674,2884.0348190930767,769.0
358.129,2726.229546091933,640.0
387.786,2550.18453027363,859.0
414.304,2510.04133639405,1059.0
361.819,2499.088850595551,667.0
360.727,2492.9905761872997,659.0
358.403,2449.3312367549083,642.0
356.897,2427.5196802580995,631.0
379.723,2394.0097244686167,799.0
370.799,2381.2623639759195,733.0
396.865,2367.7957510405786,927.0
420.062,2322.693497449206,1103.0
383.357,2206.3225696554855,826.0
419.801,1934.6512720688236,1101.0
425.012,1906.057503113118,1141.0
392.867,1886.7883149670504,897.0
400.452,1822.3863728852882,954.0
390.195,1716.6535589906957,877.0
413.123,1667.9083583669142,1050.0
343.969,1658.2730784709229,537.0
356.486,1572.3103341838546,628.0
387.116,1559.4849005571436,854.0
378.645,1522.0516841895408,791.0
441.398,1502.5911889239426,1268.0
526.918,1446.4303785796178,1967.0
495.716,1347.788030913716,1704.0
386.446,1324.4190455668986,849.0
380.532,1318.1523200685615,805.0
368.627,1315.9140503836934,717.0
402.97,1283.3413913979023,973.0
391.933,1265.7360534103868,890.0
392.2,1180.1810410322691,892.0
384.835,1171.7116858384943,837.0
389.794,1137.0085071008962,874.0
532.708,1108.6389694712143,2017.0
491.958,1070.8728222831137,1673.0
425.921,1057.7976732226111,1148.0
411.809,1044.9913937014578,1040.0
516.616,1044.747980226307,1879.0
347.418,1003.3854138143652,562.0
395.533,968.3823864069718,917.0
367.812,929.169288333959,711.0
348.933,919.342800694172,573.0
399.655,824.4699640056542,948.0
489.038,769.6013182079009,1649.0
522.604,752.7996041717279,1930.0
429.293,737.1349329517234,1174.0
355.801,715.7283592811232,623.0
389.393,699.1745562787182,871.0
372.697,679.7614336412717,747.0
423.451,656.5894761317747,1129.0
418.102,651.9784038209089,1088.0
352.508,630.8548754336148,599.0
394.867,621.396440342311,912.0
342.588,588.7795037939297,527.0
421.888,584.4076549735098,1117.0
341.62,580.1377112836242,520.0
346.453,563.2154352815778,555.0
428.127,554.3110537033936,1165.0
341.343,513.3433712401179,518.0
487.085,507.1972603171058,1633.0
355.253,502.42601500919864,619.0
302.155,496.22630819215846,238.0
366.86,493.50451870069924,704.0
415.484,492.82716262079475,1068.0
349.621,489.6578699432728,578.0
352.096,481.1185866900298,596.0
418.625,473.29049670751374,1092.0
431.363,471.36650168607,1190.0
452.735,455.9965964067692,1357.0
340.651,454.3317077825509,513.0
351.272,453.72847441567,590.0
305.69,426.9790428558806,263.0
330.517,396.6127542983269,440.0
446.509,374.9077708822315,1308.0
363.728,373.5906010874228,681.0
309.922,350.88505740724156,293.0
410.757,301.5295297857749,1032.0
354.018,294.2080497852785,610.0
304.7,291.1634669460421,256.0
402.043,286.6467998881933,966.0
398.327,286.4956338015504,938.0
397.663,282.77178384587864,933.0
417.448,281.98185782972246,1083.0
447.528,279.5865427145163,1316.0
517.087,276.93636329755884,1883.0
523.188,274.44280798428076,1935.0
435.105,270.59926307266085,1219.0
444.212,270.08258052513077,1290.0
299.889,268.3063231998884,222.0
422.67,267.2584078267719,1123.0
296.627,266.55406319644624,199.0
429.811,266.3567071689963,1178.0
401.38,266.1916047464356,961.0
394.334,261.1687023599204,908.0
519.205,259.2615057672201,1901.0
500.541,254.60098032951373,1744.0
408.386,253.5944518915262,1014.0
297.195,253.34405739095052,203.0
336.911,252.01774739960535,486.0
513.9,238.89756256290116,1856.0
419.017,238.8175225140974,1095.0
417.055,229.9060328666767,1080.0
298.188,228.53096285031506,210.0
300.739,226.44634572234878,228.0
306.678,225.41540169193775,270.0
436.649,202.06860295361844,1231.0
328.566,199.85115685006463,426.0
369.306,196.23411086517422,722.0
436.907,191.9960276494819,1233.0
433.558,188.91201822097833,1207.0
303.711,188.07851998037813,249.0
449.436,185.07556840677194,1331.0
532.362,180.2775577544977,2014.0
533.976,177.95308631757075,2028.0
339.128,177.46338722316432,502.0
504.979,173.7938400482742,1781.0
476.516,172.8356957073845,1547.0
299.322,163.2839748295683,218.0
476.145,158.79633829685906,1544.0
521.55,156.715308783914,1921.0
294.639,156.24054694582273,185.0
293.644,154.6113746671105,178.0
514.137,153.90854442680734,1858.0
321.301,153.36754127032214,374.0
510.937,150.74398063090257,1831.0
487.696,150.23681600946384,1638.0
307.525,150.048237082767,276.0
