0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
In:4197.1,V_:1484.4,Ta:1199.1,Cr:275.1,K_:228.8,,,,,,,,,,,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Fe:513.3,Nb:466.1,Ag:403.4,Pb:351.5,Ta:346.1,Au:325.5,Pb:325.3,Zr:316.5,Au:313.2,V_:308.1
Ta:3987.6,In:3243.5,Nb:1941.4,Nb:549.6,S :287.7,K_:204.8,P :168.1,,,,,,,,,,,,,,,,,
Nb:6936.0,In:3197.7,V_:1531.7,Mo:989.2,S :769.3,S :756.2,Pt:670.8,K_:375.8,K_:359.6,Zr:340.1,W_:267.0,Ti:261.0,Au:231.9,Cr:174.0,Au:167.5,,,,,,,,,
In:3103.2,W_:1483.2,Ti:1226.1,Cr:662.0,Mo:608.2,Pt:450.8,V_:332.3,S :281.0,P :243.7,,,,,,,,,,,,,,,
Pd:855.0,In:676.1,Nb:477.0,Ni:367.9,Cu:362.8,Cr:230.9,Zr:158.0,,,,,,,,,,,,,,,,,
Pd:1127.3,Cd:795.4,In:626.4,Nb:417.8,Ta:384.3,Zr:303.4,Cr:226.1,W_:226.1,K_:178.8,Co:177.9,S :176.1,,,,,,,,,,,,,
Nb:3547.3,Ti:994.6,Mo:955.3,V_:861.8,Pt:764.1,Zr:585.5,Sn:450.8,In:402.5,S :278.4,K_:158.3,,,,,,,,,,,,,,
V_:2886.5,Nb:1551.8,S :436.1,In:402.0,K_:355.1,Mo:165.7,,,,,,,,,,,,,,,,,,
W_:8166.5,Mo:1510.5,S :1148.5,Pt:1036.4,K_:790.1,Cr:709.2,P :641.4,In:340.7,Ca:331.5,Pb:185.2,V_:160.8,,,,,,,,,,,,,
Nb:6612.9,Mo:3764.2,Pt:2864.4,Zr:1540.8,Ti:1219.6,Ta:668.5,In:339.4,Pb:275.6,Au:180.6,Ni:174.5,,,,,,,,,,,,,,
Ni:3596.5,Co:992.8,Nb:552.8,Mo:358.2,In:333.0,Sb:292.5,Zn:283.7,Pt:231.8,Fe:177.5,Sn:168.0,,,,,,,,,,,,,,
Co:992.8,Ta:458.9,Bi:405.3,In:326.3,Zn:283.7,Nb:270.8,K_:201.7,W_:175.3,,,,,,,,,,,,,,,,
In:319.1,Sn:201.3,,,,,,,,,,,,,,,,,,,,,,
V_:1964.1,Au:1054.6,Ti:788.3,S :389.1,Cr:292.4,In:281.9,W_:260.1,Ta:259.0,Zr:185.5,K_:152.1,,,,,,,,,,,,,,
Mo:3635.6,Pt:2565.8,Nb:2226.8,W_:760.7,Ti:607.1,Au:406.9,S :355.2,In:275.6,Fe:253.6,P :242.6,Pb:233.0,V_:218.2,Ta:213.3,Ni:179.7,K_:167.4,,,,,,,,,
Fe:1658.3,S :574.7,Zr:570.0,K_:498.2,Ta:483.9,P :313.9,In:266.4,Cd:256.0,Sb:249.6,Cd:233.6,Sn:201.9,C_:159.5,,,,,,,,,,,,
Pd:2059.0,Co:1655.2,W_:637.6,Nb:390.8,Cr:373.8,S :339.3,K_:317.7,Zn:307.8,Zn:293.4,In:261.9,Cd:246.2,,,,,,,,,,,,,
W_:2179.9,Mo:1137.7,Pt:1050.4,Ta:429.7,S :368.9,In:256.2,Zr:249.9,K_:200.0,Nb:179.6,,,,,,,,,,,,,,,
Pt:447.7,Co:439.3,W_:365.2,Ta:252.8,In:244.6,Mo:233.3,,,,,,,,,,,,,,,,,,
V_:2350.1,Ta:1466.7,Cr:1377.0,W_:1181.0,Mo:617.9,Pt:400.0,Ti:309.6,S :300.5,In:242.0,Zr:217.0,Au:193.1,Pb:160.4,,,,,,,,,,,,
Nb:3448.1,Fe:1667.9,Mo:997.2,Pt:545.8,In:230.1,,,,,,,,,,,,,,,,,,,
W_:4184.3,Mo:3795.2,Pt:2921.4,Nb:755.1,S :624.9,V_:336.4,In:221.3,,,,,,,,,,,,,,,,,
Nb:4782.8,V_:1336.0,W_:1181.0,Ta:646.2,Ti:470.4,S :436.7,In:220.9,Pb:160.4,,,,,,,,,,,,,,,,
W_:3829.6,Ta:1401.4,Zr:599.2,S :399.2,In:218.3,Ti:206.1,Pt:165.9,,,,,,,,,,,,,,,,,
Cr:2261.8,Zr:1036.4,Nb:717.6,Pt:582.9,Mo:453.8,S :224.5,In:211.5,Ta:165.9,,,,,,,,,,,,,,,,
Co:5663.2,Mo:2986.6,Pt:2408.0,W_:2058.6,Fe:1045.0,S :545.6,P :299.1,Ta:275.7,In:187.5,,,,,,,,,,,,,,,
V_:3136.7,Fe:1667.9,K_:1064.8,Mo:997.2,Zr:599.2,W_:571.1,Pt:545.8,S :538.0,In:184.2,P :160.8,,,,,,,,,,,,,,
Pd:1524.8,Ni:770.9,Ta:619.6,Cu:308.5,P :210.6,W_:207.1,In:180.4,Zr:172.0,,,,,,,,,,,,,,,,
Ti:1270.6,Ta:475.8,V_:295.8,Zr:260.5,Nb:253.1,In:179.9,,,,,,,,,,,,,,,,,,
Cr:3150.5,W_:1166.1,Ta:915.5,V_:755.9,Ti:723.2,Zr:649.5,Nb:412.6,Fe:185.1,In:175.0,,,,,,,,,,,,,,,
Ni:3314.4,Mo:2089.8,Pd:1683.4,Pt:1203.8,Cr:1182.6,Ta:489.7,In:172.4,,,,,,,,,,,,,,,,,
Ta:2446.6,Cr:1895.9,V_:798.3,Co:721.2,W_:536.2,Mo:508.7,Pt:506.9,Nb:356.1,S :318.4,Zr:251.5,K_:172.2,In:165.9,,,,,,,,,,,,
Nb:4382.3,W_:3829.6,Ti:206.1,Zr:199.5,Co:165.9,Pt:165.9,In:151.3,,,,,,,,,,,,,,,,,
