Wavelength,Intensity,Pixel
410.362,4197.112761492034,1029.0
341.482,3257.1506357724293,519.0
450.833,3243.518770840541,1342.0
409.836,3197.675613009307,1025.0
451.214,3103.1966516001885,1345.0
324.937,676.1249891290418,400.0
325.915,626.3814634108239,407.0
452.228,402.52124811381145,1353.0
411.415,402.01993557688,1037.0
407.463,340.7204482510979,1007.0
407.859,339.38277830076026,1010.0
339.267,332.9797024162687,503.0
339.544,326.3393010130825,505.0
303.428,319.1050288620595,247.0
448.8,281.90464480910896,1326.0
408.255,275.6393591793967,1013.0
343.831,266.4219810844039,536.0
344.246,261.8907543951462,539.0
448.419,256.167641759278,1323.0
304.135,244.6090749996789,252.0
412.597,241.95846479983265,1046.0
412.991,230.11022222135352,1049.0
406.803,221.26149646704323,1002.0
412.335,220.8749746202493,1044.0
413.517,218.34350066405364,1053.0
454.001,211.54650108635997,1367.0
411.809,187.46985023971138,1040.0
413.254,184.15384617180644,1051.0
324.099,180.40892666422246,394.0
448.037,179.92202240313634,1320.0
449.436,175.01304463150336,1331.0
343.417,172.43886699026757,533.0
452.988,165.92924653470618,1359.0
413.779,151.2981484392867,1055.0
