0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Fe:6447.1,K_:5908.5,W_:4126.0,Zr:1798.8,Nb:1614.6,Co:1073.9,Mo:524.9,S :509.1,Pt:320.9,P :307.0,Pb:236.1,Ta:162.2,,,
K_:2742.9,Zr:1402.7,Nb:1359.4,Ti:893.6,Fe:473.3,Cr:193.8,,,,,,,,,
Co:6024.8,S :3010.6,K_:2726.0,P :2095.3,W_:949.2,Fe:824.5,Ta:721.9,Ca:188.6,,,,,,,
K_:2379.6,S :2227.9,P :1854.0,C_:597.1,V_:564.2,C_:253.2,Pt:204.8,W_:204.4,,,,,,,
Au:2812.9,K_:1826.5,Mo:1677.8,Cr:1231.3,Pt:1097.6,Zr:599.1,Ti:514.2,Co:439.4,Zn:217.6,S :212.3,W_:156.4,,,,
Fe:4272.7,W_:1891.5,V_:1416.1,K_:1098.9,V_:1053.2,Ca:1041.2,S :405.6,Zr:364.0,Cr:359.7,Ta:330.0,Pt:215.3,P :162.0,,,
Zn:7365.5,Nb:3284.7,Zr:1513.4,V_:1173.1,K_:1098.8,Mo:689.8,Mo:635.0,Pt:567.4,Ti:559.9,S :463.0,Pt:433.2,Cr:198.1,W_:177.2,Ni:173.8,
Nb:2551.9,S :1298.8,K_:1078.3,P :825.4,Ti:743.1,Co:292.5,W_:175.1,C_:152.3,,,,,,,
V_:3136.7,Fe:1667.9,K_:1064.8,Mo:997.2,Zr:599.2,W_:571.1,Pt:545.8,S :538.0,In:184.2,P :160.8,,,,,
Nb:2494.8,W_:1162.9,Ti:1037.0,K_:1009.6,V_:356.2,S :289.8,Ta:160.9,,,,,,,,
Nb:2984.4,S :1140.5,K_:911.3,P :742.6,Mo:318.5,Zr:267.8,,,,,,,,,
W_:4184.3,Fe:4175.3,Mo:3795.2,Pt:2921.4,Zr:1239.8,S :1038.8,V_:822.8,K_:806.4,P :630.0,Ta:251.8,Nb:239.4,Pb:222.9,,,
W_:8166.5,Mo:1510.5,Zr:1239.8,S :1148.5,Pt:1036.4,K_:790.1,P :641.4,In:340.7,Pb:185.2,,,,,,
Au:2490.7,Fe:1137.0,Nb:801.7,K_:771.7,W_:584.0,V_:454.4,C_:453.9,C_:439.8,Zr:360.0,Ta:302.4,,,,,
Nb:2412.7,Ta:1523.4,K_:712.9,Mo:660.2,Cu:462.1,Pt:367.8,V_:280.4,Fe:156.7,,,,,,,
K_:701.4,Nb:581.8,C_:316.3,Mo:236.2,,,,,,,,,,,
Ta:1656.6,Mo:965.6,Pt:696.6,K_:662.8,S :601.3,Zr:410.8,W_:391.6,Cr:245.8,,,,,,,
K_:640.0,S :358.4,Mo:187.3,V_:177.8,Pt:163.2,,,,,,,,,,
Nb:1832.9,Nb:1731.8,Zr:1581.1,Mo:1284.1,Pt:1056.7,S :882.5,K_:594.0,P :508.1,Ta:217.5,,,,,,
Mo:8651.9,Pt:7653.7,Zr:1914.0,V_:1406.8,Fe:1324.4,K_:572.2,Ta:413.7,S :261.8,,,,,,,
Nb:1832.9,Zr:1581.1,Nb:1329.9,W_:1047.4,K_:569.6,P :371.7,Ti:236.3,,,,,,,,
Mo:4769.6,Pt:3687.0,Nb:2579.1,Ta:2472.6,W_:840.6,K_:565.4,Pd:478.6,S :234.0,V_:167.1,,,,,,
Nb:3877.6,V_:554.6,K_:541.2,Zr:451.0,Au:359.7,P :308.4,S :266.6,Ta:235.3,Ca:205.0,,,,,,
Mo:4839.7,Pt:3616.1,Zr:2297.5,Nb:1716.4,Cr:1705.9,V_:1670.3,K_:512.2,S :245.2,,,,,,,
Zr:2141.1,Ta:1681.1,Nb:1238.4,Ti:744.4,C_:611.3,K_:498.8,S :369.7,P :355.0,W_:165.7,,,,,,
Fe:1658.3,S :574.7,Zr:570.0,K_:498.2,Ta:483.9,P :313.9,In:266.4,Cd:256.0,Sb:249.6,Cd:233.6,Sn:201.9,C_:159.5,,,
Cr:3669.4,Nb:2016.5,Fe:1265.7,Ta:851.3,Mo:698.2,Co:579.4,Co:532.6,S :509.5,K_:492.6,W_:325.3,P :321.5,Al:222.1,,,
Cr:4179.3,Zr:1393.6,Nb:951.7,Pt:772.5,Ta:762.9,K_:487.8,P :183.5,,,,,,,,
Ti:2235.4,Fe:968.4,Ta:682.5,K_:484.4,S :467.7,Nb:462.4,Co:375.0,P :304.7,,,,,,,
