Wavelength,Intensity,Pixel
404.293,5908.472100370724,983.0
418.494,2742.9293309971836,1091.0
399.523,2726.0477338527935,947.0
500.3,2379.6164493949636,1742.0
479.231,1826.4865740710875,1569.0
430.716,1098.9092763945646,1185.0
480.832,1098.7771356151916,1582.0
462.944,1078.3479614875032,1438.0
413.254,1064.7669395343219,1051.0
426.181,1009.5701296167899,1150.0
444.595,911.2580667769075,1293.0
407.067,806.3965344563676,1004.0
407.331,790.0914305781771,1006.0
389.66,771.6873652301551,873.0
521.667,712.8706128893014,1922.0
489.525,701.3750628070711,1653.0
414.697,662.7817444000311,1062.0
422.279,640.0043244867456,1120.0
434.847,593.9564473675641,1217.0
386.446,572.1582982527252,849.0
434.589,569.5665026160414,1215.0
481.693,565.4430347528087,1589.0
460.685,541.2474652085975,1420.0
482.799,512.1736880302797,1598.0
504.38,498.7600261783764,1776.0
343.831,498.21963190386305,536.0
391.799,492.59987205686866,889.0
434.203,487.75742289252685,1212.0
395.533,484.43708315007734,917.0
460.433,466.9198763948825,1418.0
420.584,442.32858636007586,1107.0
409.309,440.15011805561426,1021.0
507.725,430.09179751669035,1804.0
441.526,427.0929421325336,1269.0
336.633,422.4686151296237,484.0
464.198,421.5238710703816,1448.0
397.131,419.0937646122329,929.0
422.539,404.98640840305507,1122.0
490.256,404.0293143844174,1659.0
438.577,397.5877024085348,1246.0
460.056,388.8567342785923,1415.0
411.152,383.7368289387705,1035.0
441.27,383.54020505416247,1267.0
352.92,378.5575940316826,602.0
409.704,375.75025570200614,1024.0
428.645,369.06193569264633,1169.0
409.967,359.56429924517215,1026.0
411.415,355.14201990484526,1037.0
402.837,351.06715408828313,972.0
419.278,350.0049856494079,1097.0
420.323,348.82960166775047,1105.0
464.448,348.17117360068914,1450.0
477.875,345.91346253547727,1558.0
517.323,345.0547757321674,1885.0
438.834,340.7262655220893,1248.0
421.757,339.0537371753044,1116.0
464.824,337.5755758130613,1453.0
491.472,337.0897619766092,1669.0
463.947,334.70678210821643,1446.0
391.532,330.9133321331574,887.0
428.256,327.37471634036865,1166.0
337.049,324.1365421881201,487.0
510.225,319.72027610953,1825.0
344.246,317.72605314267685,539.0
421.106,316.6704041289295,1111.0
424.882,315.6776012271657,1140.0
374.863,314.9528704888853,763.0
450.325,303.3767793822303,1338.0
429.034,302.7399048126622,1172.0
509.868,291.75044893760287,1822.0
462.066,286.3876115103858,1431.0
367.948,284.16868253586244,712.0
385.372,283.13554829281384,841.0
338.99,281.42145491852307,501.0
438.32,280.3958502185874,1244.0
406.407,279.01448856917796,999.0
344.522,277.6681521245973,541.0
423.971,275.86343918050807,1133.0
436.521,274.5846444638282,1230.0
517.794,274.0459756527516,1889.0
427.738,271.9439265194669,1162.0
424.231,254.7589102209331,1135.0
415.353,253.46064734483753,1067.0
416.008,252.83371442620773,1072.0
443.957,251.60686760120052,1288.0
402.308,251.33629273980478,968.0
466.074,247.00764112926845,1463.0
415.746,246.27391994060963,1070.0
420.062,243.1805607531096,1103.0
331.909,238.87109405710407,450.0
421.366,237.69812344035472,1113.0
470.439,232.95620680159846,1498.0
518.029,232.84233926487832,1891.0
410.362,228.75491684340523,1029.0
298.897,225.03141027191964,215.0
422.93,224.72384581762526,1125.0
436.778,224.05450889711665,1232.0
476.64,223.33842595653823,1548.0
457.159,222.80452836490895,1392.0
445.361,222.73857589620093,1299.0
497.167,222.61827469820219,1716.0
491.837,220.8892438755397,1672.0
433.687,217.31927537291313,1208.0
443.573,215.4210894848834,1285.0
401.778,212.85521949203212,964.0
478.245,209.48075849383076,1561.0
347.694,208.88259660994618,564.0
401.115,208.47834419514493,959.0
378.105,207.82198979606073,787.0
450.96,204.75045458543673,1343.0
401.38,203.3088586895974,961.0
385.775,201.8473252477488,844.0
339.544,201.73081235916834,505.0
328.566,200.99284632715035,426.0
442.806,200.85815288718595,1279.0
448.419,200.0379273125277,1323.0
381.205,198.8966393635942,810.0
467.573,198.56739340184686,1475.0
482.185,195.56795025222073,1593.0
416.401,195.02686990115035,1075.0
461.439,194.93213831905905,1426.0
424.492,193.04429002297366,1137.0
451.848,191.5949213804579,1350.0
494.143,191.34551429081057,1691.0
442.038,190.66440116493777,1273.0
338.713,189.9750112681927,499.0
319.059,189.96095828928173,358.0
403.102,188.50752894501602,974.0
446.636,188.50159195209653,1309.0
382.282,186.19802907575558,818.0
423.321,183.7080175565652,1128.0
331.492,181.97153681307555,447.0
446.891,180.4117075252907,1311.0
502.463,179.87801523783264,1760.0
325.915,178.83289886400485,407.0
376.62,177.97146633631564,776.0
