0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Mo:8651.9,Pt:7653.7,Zr:1914.0,Nb:1825.0,V_:1406.8,Fe:1324.4,Cr:916.5,K_:572.2,Ta:413.7,S :261.8,P :155.4,,,,
Mo:8466.9,Pt:7366.7,Fe:1716.7,V_:1650.4,Cr:1285.3,Ti:1128.8,W_:716.8,Nb:523.3,S :154.6,,,,,,
Mo:8248.6,Pt:7078.4,Fe:2394.0,Pd:1812.2,Nb:1613.0,Cr:1267.0,V_:394.0,Ta:178.7,,,,,,,
Mo:7071.8,Pt:6584.2,W_:3431.9,V_:1562.4,Ta:896.0,S :712.0,K_:271.9,Zr:262.7,P :207.1,Au:181.9,,,,,
Mo:6041.5,Pt:4685.7,Ti:2451.8,Ta:397.6,S :276.3,W_:268.4,,,,,,,,,
Mo:5653.9,Pt:4596.9,Zr:1402.7,S :500.1,Fe:473.3,P :326.8,W_:184.4,,,,,,,,
Mo:5468.5,Pt:4950.4,S :303.2,C_:194.1,Zr:169.6,,,,,,,,,,
Mo:5194.2,Pt:4102.4,Fe:2510.0,Nb:1417.0,W_:916.2,P :291.9,Ti:223.5,P :211.8,,,,,,,
Mo:5128.2,Pt:3989.0,Ta:1644.0,Cr:1033.2,Zr:840.9,Nb:808.6,W_:615.9,V_:507.0,Ti:217.3,Bi:185.5,S :183.0,,,,
W_:8785.9,Mo:4988.4,Pt:4437.3,Nb:2336.8,V_:1334.0,Zr:921.4,Zr:889.5,Fe:737.1,Ta:704.4,Ta:534.5,K_:302.7,P :206.0,,,
Mo:4839.7,Pt:3616.1,V_:3035.5,Nb:1716.4,Cr:1705.9,Ta:1168.2,K_:512.2,Ni:391.8,Zr:318.4,S :314.2,S :245.2,C_:155.7,,,
Mo:4769.6,Pt:3687.0,Ta:2472.6,Ti:1405.9,K_:565.4,S :234.0,V_:167.1,,,,,,,,
Mo:4752.7,Fe:4143.0,Pt:4127.1,Nb:2967.7,Zr:934.7,Ti:812.5,Cr:793.6,W_:733.8,Ta:293.0,S :165.9,,,,,
Mo:4705.4,Pt:3596.8,V_:2151.1,W_:1001.1,W_:520.9,S :286.1,Cr:203.7,P :184.1,K_:183.7,,,,,,
Mo:4528.2,Pt:3881.6,Nb:1680.6,W_:378.8,,,,,,,,,,,
Cr:9358.0,Mo:4516.0,Pt:4055.2,Nb:1965.0,Ti:1883.4,Ca:1186.0,S :611.0,S :488.0,K_:369.1,Ni:203.6,Au:158.1,,,,
Mo:4278.2,Pt:3265.5,Nb:2696.1,V_:1269.0,Cr:688.4,Ta:321.7,S :229.3,Zn:155.4,,,,,,,
W_:4184.3,Fe:4175.3,Mo:3795.2,Pt:2921.4,S :1038.8,V_:822.8,K_:806.4,P :630.0,S :624.9,Ta:251.8,Nb:239.4,Pb:222.9,In:221.3,,
Nb:6612.9,Mo:3764.2,Pt:2864.4,Zr:1540.8,Ta:668.5,Ti:607.1,In:339.4,Pb:275.6,Au:180.6,Ni:174.5,,,,,
Mo:3710.3,Pt:2614.0,Nb:2047.4,Ti:1638.2,Co:959.1,Al:500.2,Zr:490.2,Ni:372.4,W_:211.8,P :190.8,,,,,
Mo:3635.6,Pt:2565.8,Nb:2226.8,W_:760.7,Ti:607.1,Au:406.9,S :355.2,In:275.6,Fe:253.6,P :242.6,Pb:233.0,V_:218.2,Ta:213.3,Ni:179.7,K_:167.4
Mo:3399.1,W_:2469.7,Fe:2206.3,Pt:2130.4,Pd:1838.4,Ni:731.0,Ta:364.1,Ti:361.4,C_:284.8,Cr:220.6,,,,,
Mo:3351.6,Pt:2717.2,V_:1411.2,Ta:1162.8,Pd:529.2,W_:428.4,S :358.5,Ti:285.0,Fe:279.6,Ag:229.4,P :158.2,Au:150.7,K_:150.5,,
Mo:3208.0,Pt:2696.1,Ca:2689.2,Nb:2200.8,V_:2108.7,W_:1018.4,Ti:528.6,S :289.7,Ti:215.6,K_:215.4,,,,,
Mo:3175.4,Pt:2221.7,Zr:564.8,Pb:151.4,,,,,,,,,,,
Co:5663.2,Mo:2986.6,Pt:2408.0,Zr:1107.6,Fe:1045.0,Bi:949.3,Cr:941.4,W_:598.9,S :545.6,S :344.2,P :305.0,P :299.1,In:187.5,Pb:178.3,
Fe:4810.9,Mo:2545.1,Pt:1908.0,Ta:1732.8,Zr:1287.9,Ta:1220.9,V_:566.4,S :215.2,P :163.9,,,,,,
Mo:2462.5,Pt:1913.0,V_:921.3,S :347.7,Nb:312.6,Cd:199.5,,,,,,,,,
Mo:2448.6,Pt:1609.3,V_:1507.6,Cr:583.3,Cr:569.0,Ti:339.3,C_:267.8,Nb:226.1,S :196.1,S :195.9,Au:173.9,Au:170.6,K_:164.0,,
Mo:2433.9,Pt:1750.3,Zr:1024.1,S :543.1,Ta:322.7,Fe:301.5,P :208.9,K_:174.5,Au:159.1,,,,,,
Mo:2419.2,Pt:1725.8,Ta:1459.1,Zr:871.2,Nb:472.9,,,,,,,,,,
Nb:3080.0,Mo:2393.9,Pt:1904.0,Ti:1786.7,Cr:1006.1,Zr:639.1,W_:591.1,W_:559.2,,,,,,,
Mo:2258.5,Pt:1580.8,Fe:929.2,K_:284.2,Cr:268.1,Ta:171.7,,,,,,,,,
Mo:2243.1,Pt:1572.0,Nb:1081.5,Ta:747.1,W_:240.3,S :198.4,Pd:161.3,,,,,,,,
Pd:3015.8,Mo:2238.0,Pt:1199.2,Ti:1135.3,Zr:480.8,S :360.7,S :216.9,Cd:174.7,Au:171.9,Ni:153.3,,,,,
Mo:2163.7,Cr:2021.6,Pt:1703.3,Zr:724.3,S :512.1,Ta:433.1,V_:374.3,Ta:353.5,,,,,,,
Mo:2093.6,Pt:1737.0,Zr:1323.5,Cr:1264.0,S :193.8,V_:191.9,,,,,,,,,
Ni:3314.4,Mo:2089.8,Pd:1683.4,Pt:1203.8,Cr:1182.6,Ta:489.7,In:172.4,,,,,,,,
Mo:2039.4,Nb:1348.1,Pt:1191.3,Ni:602.6,Cr:457.3,V_:293.3,Ta:229.3,Pd:185.3,S :176.3,,,,,,
Mo:2023.3,Pt:1218.3,V_:1174.3,Co:859.6,Ta:344.0,Ni:245.5,Fe:196.2,Ta:174.8,,,,,,,
Zr:3315.2,W_:2140.0,Mo:1992.3,Pt:1404.0,Nb:1041.1,V_:506.9,Cr:443.7,S :371.6,P :279.4,K_:275.9,Au:173.3,,,,
Nb:3465.9,Fe:3464.8,Cr:2315.5,Mo:1990.1,Pt:1340.5,Zr:756.4,S :228.3,Ta:188.6,,,,,,,
Al:5073.9,Mo:1986.8,Cr:1636.6,Nb:1406.1,Pt:1153.0,C_:1148.8,Co:714.8,Ni:595.6,V_:481.2,Zr:357.3,Fe:261.2,S :230.4,Ag:178.3,Ta:158.3,
Mo:1916.6,Pt:1418.9,W_:592.5,C_:470.2,Ni:397.8,Zr:188.4,Nb:183.7,,,,,,,,
Mo:1902.2,Pd:1755.9,Co:1702.7,Pt:1294.7,Cd:1029.1,Ta:747.8,Si:337.0,W_:177.7,Cr:159.6,,,,,,
Ni:3151.5,Mo:1887.1,Pt:1335.8,Cr:750.9,Zr:641.1,Ta:628.8,W_:451.6,K_:277.7,Cd:212.2,,,,,,
Mo:1831.7,Pt:917.9,W_:663.5,Zr:404.2,Ti:346.5,S :272.7,Cr:182.4,Pb:161.4,V_:156.6,P :156.3,,,,,
Mo:1760.7,Pt:1364.5,W_:887.6,Zr:451.0,Ta:287.3,V_:253.7,P :177.6,,,,,,,,
Mo:1759.4,Pt:1128.0,C_:821.2,S :172.6,K_:166.1,Zr:162.6,,,,,,,,,
Mo:1721.9,Pt:1191.1,Fe:492.8,C_:452.1,S :265.1,K_:246.3,P :184.5,,,,,,,,
W_:2274.2,Mo:1721.6,Zr:1220.5,Fe:1171.7,Pt:1137.8,Ta:683.0,K_:156.3,,,,,,,,
Co:1711.6,Mo:1707.9,Pt:1046.7,Ta:964.4,V_:224.1,Ti:151.4,,,,,,,,,
Mo:1685.5,Co:1373.9,Pt:882.2,Fe:481.1,W_:307.8,,,,,,,,,,
Au:2812.9,K_:1826.5,Mo:1677.8,Cr:1231.3,Pt:1097.6,Zr:599.1,Ti:514.2,Co:439.4,Zn:217.6,S :212.3,W_:156.4,,,,
Nb:2278.2,Mo:1606.3,Pt:979.6,Ti:977.5,Fe:679.8,W_:509.0,S :253.1,V_:227.3,P :167.6,,,,,,
Mo:1590.2,Zr:1367.2,Pt:1325.8,C_:590.5,Ta:283.7,V_:226.6,,,,,,,,,
Ag:2053.7,Mo:1584.7,Pt:1149.7,Ta:602.4,Nb:365.4,Ti:332.2,W_:298.2,Zn:258.4,,,,,,,
