Wavelength,Intensity,Pixel
386.311,8651.875304429092,848.0
390.195,8466.860517768204,877.0
379.723,8248.594269171157,799.0
427.608,7071.801961962902,1161.0
475.898,6041.537264974247,1542.0
418.756,5653.874097755208,1093.0
438.063,5468.538042231175,1242.0
414.304,5194.234600085826,1059.0
473.048,5128.243528217416,1519.0
429.163,4988.408545609991,1173.0
482.921,4839.670959056333,1599.0
481.816,4769.571272297684,1590.0
432.525,4752.70540369855,1199.0
423.19,4705.404793025915,1127.0
441.014,4528.186282462977,1265.0
428.775,4516.007921169132,1170.0
470.688,4278.174573109747,1500.0
406.935,3795.1620373650003,1003.0
407.991,3764.161987829615,1011.0
486.719,3710.283900518969,1630.0
408.255,3635.63292983724,1013.0
383.223,3399.1076832216986,825.0
447.4,3351.595549688976,1315.0
443.445,3208.024641168183,1284.0
361.273,3175.3557411159077,663.0
411.94,2986.6010597134573,1041.0
406.143,2545.0810077352817,997.0
477.504,2462.4593045826896,1555.0
382.82,2448.5546909224176,822.0
410.625,2433.8874928593664,1031.0
362.365,2419.1500900452265,671.0
445.616,2393.8644665460006,1301.0
367.948,2258.5451734781054,712.0
365.772,2243.0769333631733,696.0
363.456,2238.0021819529493,679.0
462.568,2163.667391257133,1435.0
453.621,2093.6306543661967,1364.0
343.417,2089.7501459513305,533.0
366.452,2039.438080623103,701.0
369.306,2023.3133290753667,722.0
423.971,1992.2623048595015,1133.0
388.59,1990.0903770536115,865.0
394.201,1986.8155313907082,907.0
497.77,1916.5946858936177,1721.0
340.375,1902.2087099279624,511.0
344.66,1887.085421266007,542.0
371.477,1831.6755726953406,738.0
460.936,1760.6883105876377,1422.0
509.63,1759.3928017782355,1820.0
415.615,1721.8851014560541,1069.0
384.701,1721.5835905544955,836.0
350.309,1707.932913225136,583.0
352.096,1685.5423920903131,596.0
479.231,1677.7758289952553,1569.0
372.697,1606.2692880094382,747.0
505.935,1590.2038505145865,1789.0
338.297,1584.6816107938853,496.0
358.129,1577.367737074328,640.0
426.83,1571.3277915572908,1155.0
495.595,1525.4075632765134,1703.0
407.463,1510.5447361251481,1007.0
353.607,1499.4731382237737,607.0
377.025,1493.647920037677,779.0
319.34,1482.8948621084921,360.0
444.85,1479.306669100537,1295.0
439.604,1457.1395457553672,1254.0
494.99,1455.6632541028066,1698.0
501.382,1454.7300139901508,1751.0
449.055,1452.2725365819524,1328.0
471.682,1438.373488722667,1508.0
451.594,1417.771323328072,1348.0
316.955,1411.588003750536,343.0
352.371,1383.3143819307493,598.0
424.492,1379.754320557613,1137.0
527.964,1374.0276204598022,1976.0
313.161,1367.8558192766307,316.0
419.278,1366.2976051677542,1097.0
477.257,1362.994566822967,1553.0
397.264,1311.1186231241318,930.0
425.142,1308.9851634077813,1142.0
468.696,1302.8596272716595,1484.0
478.368,1300.1575306183227,1562.0
442.55,1294.2113472362357,1277.0
328.845,1294.036780863124,428.0
466.199,1293.280975241746,1464.0
334.412,1290.9938594715495,468.0
434.976,1284.0642675769204,1218.0
474.908,1269.0686813141056,1534.0
341.897,1250.0836273292243,522.0
479.478,1233.0606807859467,1571.0
342.45,1224.41173984141,526.0
457.538,1213.2902702339406,1395.0
367.132,1154.4569756153487,706.0
335.662,1147.0487654889766,477.0
507.844,1146.8343089822042,1805.0
493.172,1141.8138770125051,1683.0
448.419,1137.6945963608232,1323.0
494.021,1132.6284277334362,1690.0
405.483,1130.242058488555,992.0
373.239,1122.5569630219525,751.0
346.729,1119.454016815766,557.0
354.018,1111.7989483659912,610.0
467.074,1109.5801470969818,1471.0
436.778,1096.5428639217102,1232.0
519.909,1085.2408429349207,1907.0
337.881,1080.1067336569622,493.0
517.205,1078.6100163840874,1884.0
446.764,1061.5015517291413,1310.0
355.664,1056.4207182080354,622.0
