0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Nb:6936.0,W_:4146.8,In:3197.7,V_:1531.7,Mo:821.2,S :756.2,Pt:637.6,K_:359.6,Zr:340.1,Ti:261.0,Cr:174.0,Au:167.5,,,,,
Nb:6731.9,C_:822.4,Ta:443.0,Ti:171.1,Zr:170.5,K_:166.1,,,,,,,,,,,
Nb:6615.0,Pb:4889.1,Cr:1095.4,Ti:683.5,V_:627.5,W_:320.4,Co:298.7,P :201.7,,,,,,,,,
Nb:6612.9,Mo:3764.2,Pt:2864.4,Zr:1540.8,Ti:1219.6,Ta:668.5,In:339.4,Pb:275.6,Au:180.6,Ni:174.5,,,,,,,
Nb:6372.1,Cr:1391.3,Mo:774.2,Pt:604.5,Ta:330.7,S :249.4,K_:195.0,W_:183.6,P :175.4,S :170.0,P :157.8,,,,,,
Nb:5904.5,Cr:3264.1,S :490.0,Zr:348.8,Pt:151.6,,,,,,,,,,,,
Nb:5436.4,Zr:3124.8,Mo:1146.8,Pt:777.7,Al:492.0,C_:479.9,C_:461.5,K_:430.1,Cr:166.3,,,,,,,,
Nb:4808.4,Cr:1022.6,Zr:694.8,Ti:414.8,C_:408.6,V_:394.4,V_:360.4,S :352.0,P :202.8,,,,,,,,
Nb:4782.8,V_:1336.0,W_:1181.0,Ta:646.2,Ti:470.4,S :436.7,In:220.9,Pb:160.4,,,,,,,,,
Nb:4735.4,V_:846.3,Ta:625.0,Zr:517.6,S :461.7,Fe:238.8,W_:184.4,Co:159.1,,,,,,,,,
Nb:4686.0,Ta:614.0,S :549.8,W_:219.4,,,,,,,,,,,,,
Nb:4483.4,Zr:893.7,C_:537.3,Pb:522.9,S :385.0,Ta:237.5,Mo:222.7,P :190.3,,,,,,,,,
Nb:4407.2,Ta:731.5,V_:210.2,Al:181.6,Ti:166.4,,,,,,,,,,,,
Nb:4382.3,W_:3829.6,Ti:206.1,Zr:199.5,Co:165.9,Pt:165.9,In:151.3,,,,,,,,,,
Nb:4337.4,Ca:2434.6,Fe:1446.4,Mo:179.8,Pt:157.2,,,,,,,,,,,,
Nb:4324.2,Mo:458.7,Ta:406.5,S :402.1,Zr:340.5,P :296.3,K_:274.0,K_:232.8,V_:223.7,Pt:217.8,,,,,,,
Nb:4302.1,Zr:978.0,Ca:733.6,W_:405.3,Ti:191.5,,,,,,,,,,,,
Nb:4219.0,Pb:2802.1,Ti:1142.3,W_:638.3,V_:389.4,Ta:253.8,,,,,,,,,,,
