Wavelength,Intensity,Pixel
409.967,6935.964823908487,1026.0
509.392,6731.9216264207935,1818.0
405.747,6615.013301049422,994.0
407.859,6612.879572464916,1010.0
416.27,6372.093224364552,1074.0
534.321,5904.537469481845,2031.0
507.725,5436.399869512666,1804.0
415.091,4808.395650107556,1065.0
412.335,4782.829499831228,1044.0
419.017,4735.407747295514,1095.0
531.785,4685.977698108939,2009.0
416.663,4483.425149924869,1077.0
515.908,4407.164082887777,1873.0
413.779,4382.303678735052,1055.0
527.034,4337.398105851622,1968.0
517.911,4324.214314507841,1890.0
535.011,4302.149797846901,2037.0
373.916,4219.00989158703,756.0
422.8,4208.974154785128,1124.0
501.623,4115.593961602485,1753.0
519.205,4088.978480447485,1901.0
467.074,4037.6974071149953,1471.0
460.559,3877.622265421727,1419.0
466.574,3806.5740344496717,1467.0
429.94,3686.998684965625,1179.0
464.824,3657.007305844546,1453.0
452.228,3547.2919211339704,1353.0
380.262,3486.3031922444197,803.0
388.456,3465.8517612640444,864.0
412.86,3448.1014458395894,1048.0
503.782,3429.6938605874493,1771.0
505.696,3415.177085972582,1787.0
513.308,3404.6261996323083,1851.0
484.761,3348.028791235036,1614.0
527.499,3310.2127448101637,1972.0
480.955,3284.688554237082,1583.0
467.448,3274.5842031993498,1474.0
519.44,3255.973738915569,1903.0
525.055,3253.5148421905133,1951.0
458.042,3245.332782688899,1399.0
431.104,3223.2379891842093,1188.0
457.159,3219.6515244922557,1392.0
506.413,3192.6443992233544,1793.0
371.206,3188.436396640638,736.0
516.38,3188.112750542512,1877.0
396.465,3180.855081686669,924.0
425.401,3143.3385767543587,1144.0
509.868,3133.6774419212807,1822.0
515.2,3124.4140859834188,1867.0
488.916,3123.1967726400317,1648.0
445.616,3080.015423555509,1301.0
403.102,3075.856372402787,974.0
474.908,3033.3240268105255,1534.0
473.296,3019.0540739021726,1521.0
444.595,2984.3984390361584,1293.0
419.409,2977.8773629634097,1098.0
432.525,2967.699090673088,1199.0
387.652,2953.702680711238,858.0
491.472,2893.4559995425425,1669.0
441.91,2888.6823901189327,1272.0
511.887,2871.7795016307127,1839.0
420.453,2868.5467330236643,1106.0
498.735,2866.5190835851736,1729.0
389.259,2803.409507915494,870.0
518.852,2800.2641952888052,1898.0
496.684,2753.6486413673692,1712.0
523.188,2719.820022066542,1935.0
470.688,2696.1220598407817,1500.0
378.914,2693.291331893548,793.0
499.939,2607.2498206696455,1739.0
468.446,2606.7331881868613,1482.0
481.57,2579.1239748836015,1588.0
462.944,2551.9398427788856,1438.0
426.051,2494.7740280343005,1149.0
521.785,2412.6883387518483,1923.0
369.714,2398.544669303405,725.0
520.144,2380.6317849447305,1909.0
490.986,2354.145107726743,1665.0
429.034,2336.76252665422,1172.0
421.366,2331.2621063635506,1113.0
523.655,2325.7433895928243,1939.0
393.668,2309.2793380470066,903.0
478.985,2308.2804584819305,1567.0
497.167,2286.382665802401,1716.0
372.562,2278.214115760371,746.0
357.855,2233.321191727762,638.0
408.255,2226.755531078792,1013.0
450.198,2212.8236694777506,1337.0
443.573,2200.834275295678,1285.0
421.627,2197.40706715318,1115.0
496.442,2099.6504919163563,1710.0
454.633,2079.3025063301493,1372.0
483.658,2057.5977213026,1605.0
486.841,2047.4318970041977,1631.0
353.469,2045.632843996595,606.0
483.167,2043.197328897013,1601.0
514.609,2030.8146814469465,1862.0
492.808,2017.7921247692657,1680.0
391.933,2016.4803623429325,890.0
428.645,1964.9590571497847,1169.0
474.288,1958.2103903527768,1529.0
528.428,1946.802037731295,1980.0
450.96,1941.371111595985,1343.0
433.042,1924.9799399327276,1203.0
