0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ni:7899.9,Fe:2499.1,Nb:1216.1,W_:419.4,Co:286.0,Pb:232.5,K_:162.6,,,,,,,,,,,,,,,,,
Ni:7018.0,Fe:4046.1,Nb:1184.9,W_:665.9,Ta:477.9,Ti:279.4,K_:201.8,Au:159.8,S :154.8,,,,,,,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Fe:513.3,Nb:466.1,Ag:403.4,Pb:351.5,Ta:346.1,Au:325.5,Pb:325.3,Zr:316.5,Au:313.2,V_:308.1
Ni:6305.4,Fe:1572.3,Zr:777.6,Nb:610.3,Ta:531.8,Mo:448.5,Pt:254.3,Cr:160.2,,,,,,,,,,,,,,,,
Ni:5933.4,Mo:362.8,Pt:256.4,Cr:155.1,,,,,,,,,,,,,,,,,,,,
Ni:5399.1,Mo:1383.3,Fe:630.9,W_:514.9,Nb:225.2,,,,,,,,,,,,,,,,,,,
Ni:4450.0,Pd:2876.4,Fe:453.7,Ta:406.1,V_:284.4,W_:172.9,,,,,,,,,,,,,,,,,,
Ni:4208.0,Fe:1318.2,V_:1220.5,Zr:364.9,Ta:271.4,K_:170.2,,,,,,,,,,,,,,,,,,
Ni:4021.8,Pd:2738.2,Mo:827.2,Pt:468.7,Zr:367.2,Nb:361.8,,,,,,,,,,,,,,,,,,
Ni:3596.5,Nb:552.8,Zr:531.7,Mo:358.2,In:333.0,W_:332.3,Zn:296.7,Sb:292.5,K_:281.4,Pt:231.8,Fe:177.5,Sn:168.0,,,,,,,,,,,,
Ni:3582.5,Mo:570.0,Ta:497.4,Mo:337.3,Bi:331.4,Pt:324.3,S :213.6,Ti:164.6,S :157.9,,,,,,,,,,,,,,,
Ni:3551.6,Co:1496.3,Zr:621.5,Ta:608.0,Bi:366.4,Cr:237.1,,,,,,,,,,,,,,,,,,
Cd:4948.9,Ni:3460.9,Pd:2966.0,Co:461.8,Ti:395.2,S :157.7,,,,,,,,,,,,,,,,,,
Ni:3314.4,Mo:2089.8,Co:2004.3,Pd:1683.4,Pt:1203.8,Cr:1182.6,Ta:489.7,Nb:440.4,In:172.4,,,,,,,,,,,,,,,
Co:3406.7,Ni:3238.7,Fe:2427.5,Pd:2319.9,Pb:1918.9,W_:894.4,Mo:587.2,Ta:508.1,V_:343.6,Pt:320.2,S :163.8,,,,,,,,,,,,,
Ni:3165.1,Ta:728.6,K_:207.8,S :151.4,,,,,,,,,,,,,,,,,,,,
Ni:3151.5,Mo:1887.1,Pt:1335.8,Cr:750.9,Zr:641.1,Ta:628.8,Zn:293.4,K_:277.7,Cd:212.2,,,,,,,,,,,,,,,
Ni:3044.2,Ag:2066.1,Mo:1080.1,Pt:654.8,Nb:429.5,Co:162.7,,,,,,,,,,,,,,,,,,
Ni:3011.3,Mo:1224.4,Pt:854.3,Ta:220.5,V_:195.2,Ag:160.1,,,,,,,,,,,,,,,,,,
Ni:2756.2,Co:1989.9,Ta:676.6,Zr:382.0,Nb:314.3,Cr:217.8,,,,,,,,,,,,,,,,,,
Ni:2636.6,W_:943.5,Ta:371.9,Co:322.2,Pt:243.2,S :164.8,,,,,,,,,,,,,,,,,,
Ni:2444.9,W_:713.7,Nb:496.9,S :493.1,Ti:459.6,Ta:446.1,K_:324.1,Fe:252.0,Zr:239.1,P :211.2,,,,,,,,,,,,,,
