0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Co:6024.8,S :3010.6,K_:2726.0,P :2095.3,W_:949.2,Fe:824.5,Ta:721.9,Ca:188.6,,,,,,,
K_:2379.6,S :2227.9,P :1854.0,V_:564.2,C_:253.2,Pt:204.8,W_:204.4,,,,,,,,
Nb:2551.9,K_:1078.3,P :825.4,Ta:685.8,Mo:409.7,C_:152.3,,,,,,,,,
Nb:2984.4,Ti:1498.9,Mo:1479.3,Pt:1282.1,S :1140.5,K_:911.3,P :742.6,W_:471.3,Zr:469.5,Mo:318.5,Zr:267.8,,,,
W_:8166.5,Mo:1510.5,Zr:1239.8,S :1148.5,Pt:1036.4,K_:790.1,P :641.4,In:340.7,Pb:185.2,,,,,,
W_:4184.3,Fe:4175.3,Mo:3795.2,Pt:2921.4,Zr:1239.8,S :1038.8,V_:822.8,K_:806.4,P :630.0,Ta:251.8,Nb:239.4,Pb:222.9,,,
Nb:1832.9,Nb:1731.8,Zr:1581.1,Mo:1284.1,Pt:1056.7,S :882.5,K_:594.0,P :508.1,Ta:217.5,,,,,,
Mo:989.2,S :769.3,S :710.7,Pt:670.8,P :484.8,Ta:408.1,K_:375.8,W_:271.6,W_:267.0,Au:231.9,Au:196.4,,,,
W_:1194.5,Zr:996.3,Nb:725.9,S :704.7,P :460.7,K_:421.5,Ta:410.9,Pt:259.0,Mo:180.7,C_:170.0,,,,,
Nb:800.6,Ta:568.4,S :472.4,P :446.6,K_:315.7,Zr:182.0,,,,,,,,,
Ta:1534.5,Fe:1502.6,V_:1353.4,Ti:603.9,S :590.3,K_:427.1,P :417.8,Nb:244.2,,,,,,,
Ti:1891.1,Zr:1654.3,Ta:854.1,V_:610.0,S :526.4,P :385.2,K_:334.7,Pt:272.4,,,,,,,
W_:3056.2,Nb:1041.1,Ta:905.9,P :383.0,S :281.4,K_:254.8,,,,,,,,,
Nb:1832.9,Zr:1581.1,Nb:1329.9,W_:1047.4,K_:569.6,P :371.7,Ti:236.3,,,,,,,,
Fe:584.4,S :554.4,Ta:498.0,Cr:405.3,P :370.8,Pt:182.2,,,,,,,,,
Zr:2180.2,Ti:1019.4,Mo:566.5,S :555.1,Ta:440.3,Pt:386.0,P :369.8,Au:199.6,,,,,,,
Ca:9249.6,Ge:3249.6,C_:2173.8,Zr:2065.2,Ti:1179.5,Cr:1011.2,W_:808.7,Mo:437.2,S :424.9,K_:405.0,P :366.4,Fe:267.3,V_:246.6,Pt:163.9,
Ta:1928.8,Zr:1752.3,Ni:1541.9,Fe:1283.3,W_:974.9,S :621.4,Ti:401.7,P :364.5,Cr:357.9,K_:351.1,Pb:249.6,Pt:193.5,Au:191.6,,
Zr:2141.1,Ta:1681.1,Nb:1238.4,Ti:744.4,C_:611.3,K_:498.8,S :369.7,P :355.0,W_:165.7,,,,,,
Nb:2197.4,W_:1581.3,Fe:584.4,Zr:573.7,S :439.1,P :354.1,K_:339.1,V_:297.1,Mo:271.0,Pt:229.6,,,,,
Cr:10415.6,Fe:4097.4,Ti:950.3,Ta:535.0,S :528.3,P :339.0,K_:152.7,,,,,,,,
W_:3056.2,Mo:1379.8,Ta:905.9,Pt:848.5,Nb:698.4,P :329.5,Zr:239.0,K_:193.0,,,,,,,
Mo:5653.9,Pt:4596.9,Zr:1402.7,S :500.1,Fe:473.3,P :326.8,W_:184.4,,,,,,,,
Cr:3669.4,Nb:2016.5,Fe:1265.7,Ta:958.5,Ta:851.3,Zr:749.2,Co:532.6,S :509.5,K_:492.6,P :321.5,Al:222.1,,,,
S :574.7,Zr:570.0,K_:498.2,Ta:483.9,P :313.9,In:266.4,Cd:233.6,,,,,,,,
W_:1137.2,Mo:897.5,Zr:790.0,Pt:694.3,S :620.5,P :308.5,Pb:291.9,Ti:219.3,K_:151.8,,,,,,
Nb:3877.6,V_:554.6,K_:541.2,Zr:451.0,Au:359.7,P :308.4,S :266.6,Ta:235.3,Ca:205.0,,,,,,
Zr:1006.3,Ta:960.5,S :401.2,K_:388.9,Nb:383.1,P :307.6,,,,,,,,,
Fe:6447.1,K_:5908.5,W_:4126.0,Zr:1798.8,Nb:1614.6,Co:1073.9,S :509.1,Pt:320.9,P :307.0,Pb:236.1,Ta:162.2,,,,
Co:5663.2,Mo:2986.6,V_:1336.0,Zr:1107.6,Bi:949.3,Cr:941.4,Ta:646.2,W_:598.9,Ti:470.4,S :344.2,P :305.0,Pb:178.3,,,
Ti:2235.4,Fe:968.4,Ta:682.5,K_:484.4,S :467.7,Nb:462.4,Co:375.0,P :304.7,,,,,,,
Cr:2933.4,Mo:1311.1,Co:847.8,Zr:748.5,Pt:701.1,S :440.7,Ni:400.9,P :303.2,Ta:205.0,Au:203.3,W_:187.1,,,,
Nb:3075.9,Ni:1541.9,Ni:1447.6,Ta:1360.3,Fe:1283.3,V_:517.6,S :514.3,Ti:401.7,Cr:357.9,P :303.2,Pt:215.6,Pb:211.6,K_:188.5,Mo:156.6,
Co:5663.2,Mo:2986.6,Pt:2408.0,W_:2058.6,Fe:1045.0,S :545.6,P :299.1,Ta:275.7,In:187.5,,,,,,
Nb:4324.2,Mo:458.7,S :402.1,Zr:340.5,P :296.3,K_:274.0,V_:223.7,Pt:217.8,,,,,,,
Mo:5194.2,Fe:2510.0,W_:916.2,P :291.9,,,,,,,,,,,
Nb:3657.0,Ni:529.2,S :490.7,Mo:487.4,K_:337.6,Pt:313.0,P :289.4,Ti:282.3,Zr:241.6,Al:240.3,,,,,
Ta:1117.2,C_:777.8,V_:758.9,Nb:718.8,W_:701.9,Fe:652.0,Zr:546.9,P :285.4,S :169.5,,,,,,
Nb:2494.8,W_:2483.5,Fe:1057.8,Mo:753.8,Zr:614.7,Pt:589.3,V_:356.2,P :281.5,S :247.0,Ta:159.8,,,,,
Zr:3315.2,W_:2140.0,Mo:1992.3,Pt:1404.0,Nb:1041.1,V_:506.9,Cr:443.7,S :371.6,P :279.4,K_:275.9,Au:173.3,,,,
Nb:2868.5,Ta:2714.4,W_:2646.1,Pt:653.5,Mo:591.0,S :496.0,Zr:475.3,K_:442.3,P :276.8,,,,,,
Fe:3564.7,Cr:2236.7,Mo:723.9,Co:611.9,S :600.7,W_:518.2,V_:497.1,Pt:398.5,Nb:395.0,K_:315.0,P :271.2,Zr:230.5,Ni:167.6,,
Nb:1443.6,Zr:1324.6,C_:541.7,W_:411.3,S :388.2,Pt:298.1,P :271.1,Mo:196.6,,,,,,,
Nb:1708.4,Ca:1281.6,Zr:801.0,Fe:554.3,S :512.6,Ti:397.6,P :262.6,,,,,,,,
Cr:10068.4,Nb:3143.3,Mo:1022.3,Zr:634.3,Pt:546.2,S :537.2,Ta:464.6,V_:395.1,P :259.9,Ti:250.3,,,,,
Nb:1965.0,Ti:1883.4,Ta:1303.0,W_:1031.0,S :611.0,K_:369.1,P :254.8,Ni:203.6,Au:158.1,,,,,,
Nb:431.3,Ti:297.5,S :257.3,P :252.9,K_:167.7,,,,,,,,,,
Cr:1154.1,S :439.5,P :250.9,Ta:250.9,Pt:225.2,Mo:179.2,Pb:158.2,,,,,,,,
Pd:2778.1,Nb:2331.3,C_:1082.1,W_:779.8,Ta:466.4,S :395.8,P :249.4,Ca:242.1,K_:237.7,Pt:189.4,Mo:162.6,,,,
Cr:1167.2,Ti:979.7,Mo:651.0,Pt:543.0,Zr:462.7,S :461.3,W_:358.2,K_:286.4,Nb:251.7,P :248.9,,,,,
Fe:1906.1,Mo:1309.0,Pt:795.5,Zr:517.1,S :413.4,P :246.9,W_:220.6,W_:210.3,,,,,,,
Ta:3987.6,In:3103.2,Nb:1941.4,W_:1483.2,Ti:1226.1,Cr:662.0,Mo:608.2,Pt:450.8,S :281.0,P :243.7,K_:204.8,,,,
