Wavelength,Intensity,Pixel
399.523,2095.2879491054573,947.0
500.18,1853.9687040435756,1741.0
463.07,825.4091012948084,1439.0
444.723,742.5653096510187,1294.0
407.331,641.3562720142963,1006.0
407.067,629.9737023422549,1004.0
434.847,508.06672545056017,1217.0
409.572,484.844533224782,1023.0
464.198,460.74479712994525,1448.0
424.752,446.6292889476881,1139.0
441.526,417.7719644633253,1269.0
463.947,385.24577422058246,1446.0
424.231,382.9519884914225,1135.0
434.589,371.6769931183617,1215.0
422.018,370.83301053191553,1118.0
480.34,369.81080896331514,1578.0
422.539,366.38427192163635,1122.0
402.837,364.4982349120937,972.0
504.38,355.0000314845065,1776.0
421.757,354.1181635141129,1116.0
427.219,339.0375001730499,1158.0
424.492,329.5227162144902,1137.0
418.756,326.796347862326,1093.0
391.933,321.4546352369789,890.0
343.693,313.8564094781227,535.0
403.499,308.46311900449837,977.0
460.685,308.43804111379177,1420.0
460.182,307.5578250942135,1416.0
404.425,306.98007691795465,984.0
412.072,304.98067006049496,1042.0
395.533,304.72730059540027,917.0
397.397,303.2105297588714,931.0
403.102,303.17978886585297,974.0
411.809,299.1410311194295,1040.0
517.794,296.2930505955528,1889.0
414.435,291.89253514143775,1060.0
464.824,289.39048263722543,1453.0
418.102,285.3788220933602,1088.0
425.921,281.5252966811895,1148.0
423.971,279.41029159415757,1133.0
420.584,276.81761634941086,1107.0
374.863,271.2149236313703,763.0
499.458,271.1312767262798,1735.0
427.997,262.60955243427134,1164.0
425.531,259.89747673458896,1145.0
428.516,254.84527651153257,1168.0
423.711,252.89038850888574,1131.0
404.69,250.8989105011533,986.0
421.366,249.44560211098906,1113.0
462.066,248.90626591114142,1431.0
425.142,246.93961675761966,1142.0
451.087,243.73569531644716,1344.0
323.68,243.2669446718196,391.0
408.255,242.63684426124019,1013.0
419.278,241.59380966294975,1097.0
479.971,241.3197935827984,1575.0
431.75,239.05585063482158,1193.0
428.256,238.07125555065068,1166.0
323.4,231.84918471556193,389.0
517.205,229.9912826373161,1884.0
517.44,229.29102570856776,1886.0
432.009,228.93059619428823,1195.0
375.133,225.76633840366594,765.0
417.84,225.3966310977221,1086.0
446.636,223.83364348284385,1309.0
395.933,214.57596245630793,920.0
326.334,213.08134242040614,410.0
391.265,212.03892610626644,885.0
414.173,211.7903376835161,1058.0
337.049,211.221050166424,487.0
401.778,210.56813383584813,964.0
324.099,210.553471616945,394.0
410.757,208.86101038586548,1032.0
502.583,208.67648566261005,1761.0
336.494,207.47949102141865,483.0
388.322,207.32208428134618,863.0
427.738,207.1086255074183,1162.0
426.57,206.24744319776892,1153.0
429.034,206.04913320680134,1172.0
478.615,205.85280466140148,1564.0
402.44,205.7688270113622,969.0
420.323,203.34424642273734,1105.0
415.222,202.8315522558737,1066.0
467.573,202.38420907002092,1475.0
405.615,201.72903927567768,993.0
406.407,201.68995523614467,999.0
478.862,199.75131493054596,1566.0
465.824,196.32003209810227,1461.0
470.439,190.92764512604663,1498.0
486.841,190.82636099230695,1631.0
451.594,190.4443114943674,1348.0
416.663,190.2818708569066,1077.0
481.078,187.57080215683618,1584.0
486.352,186.08447823138795,1627.0
333.161,184.72989663130102,459.0
423.451,184.51915455837934,1129.0
415.615,184.4601287972041,1069.0
423.06,184.06549281025218,1126.0
434.074,183.5369489820073,1211.0
457.285,183.02697729760484,1393.0
463.697,181.75850238723842,1444.0
417.055,181.08408392442198,1080.0
466.199,178.09832879218493,1464.0
461.062,177.5507096074325,1423.0
416.139,175.3550825131765,1073.0
411.152,175.166578879569,1035.0
421.106,175.15453965410234,1111.0
437.549,173.4532097768597,1238.0
437.292,172.57181987005606,1236.0
503.901,172.05174536906816,1772.0
461.564,169.98809508478917,1427.0
450.833,168.05525771877183,1342.0
400.584,167.99708806667877,955.0
372.697,167.61391977907442,747.0
417.448,166.77077220415413,1083.0
457.79,166.16665423476115,1397.0
467.074,165.76010363256228,1471.0
406.143,163.88514540306278,997.0
430.716,161.95548379145566,1185.0
413.254,160.8342879359766,1051.0
467.323,160.56969978051757,1473.0
469.692,160.5643832801852,1492.0
447.4,158.15108238478433,1315.0
429.681,158.13586487930934,1177.0
416.401,157.82026259846907,1075.0
356.075,156.80303775929542,625.0
371.342,156.3311081893312,737.0
440.245,156.09188068002186,1259.0
386.177,155.43735952272664,847.0
336.217,155.15073671835535,481.0
347.694,154.88651245873325,564.0
431.233,154.47957134278658,1189.0
466.699,152.10781778302044,1468.0
377.16,151.89172017715146,780.0
398.061,151.61686104793716,936.0
442.294,150.69549348872079,1275.0
