0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Nb:6615.0,Pb:4889.1,Zr:1360.2,Mo:1130.2,Cr:1095.4,V_:627.5,Pt:584.0,Co:298.7,S :229.7,Ag:216.8,P :201.7,Ni:164.1,,,,,,,,,
Nb:4219.0,Pb:2802.1,Ti:1142.3,W_:638.3,V_:389.4,Ta:253.8,,,,,,,,,,,,,,,
Pb:2050.9,Nb:1705.0,Cr:1674.7,Ta:1065.6,Mo:810.3,W_:722.4,Fe:373.6,V_:328.1,Ni:232.2,Co:212.7,Zr:162.2,,,,,,,,,,
Ni:3238.7,Pd:2319.9,Pb:1918.9,Mo:587.2,Mo:536.5,Ta:508.1,V_:343.6,Pt:320.2,Pt:319.5,,,,,,,,,,,,
W_:1731.7,Pb:1572.5,Co:1485.1,Ti:570.4,V_:399.1,Ta:281.6,K_:176.2,,,,,,,,,,,,,,
Pb:924.6,Co:556.1,Ta:339.4,S :253.2,Zr:227.1,Au:214.2,K_:212.9,P :210.6,Ni:152.6,,,,,,,,,,,,
Nb:4483.4,Zr:893.7,C_:537.3,Pb:522.9,S :385.0,Ta:237.5,Mo:222.7,P :190.3,,,,,,,,,,,,,
Mo:1154.5,Ni:973.3,Pt:777.4,V_:520.8,Ti:504.5,Pb:473.9,,,,,,,,,,,,,,,
W_:3809.0,Ti:2956.6,Nb:667.3,C_:597.1,Pb:468.3,Fe:254.6,Ta:169.2,,,,,,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Ag:403.4,Ta:372.2,Pb:351.5,Ta:346.1,Au:325.5,Zr:316.5,V_:308.1
Ni:6615.1,Sb:3772.3,In:3257.2,Co:2508.2,Sn:2187.6,Pt:1208.4,C_:890.6,Cr:667.5,W_:529.6,Fe:513.3,Nb:466.1,Ta:465.9,Ta:346.1,Pb:325.3,Zr:316.5,Au:313.2,Zr:288.0,,,,
W_:1137.2,Mo:897.5,Zr:790.0,Pt:694.3,S :620.5,P :308.5,Pb:291.9,Ti:219.3,K_:151.8,,,,,,,,,,,,
Nb:6612.9,Mo:3764.2,Pt:2864.4,Zr:1540.8,Ta:668.5,Ti:607.1,In:339.4,Pb:275.6,Au:180.6,Ni:174.5,,,,,,,,,,,
Nb:1811.2,Cr:1386.4,Ta:1302.1,W_:1285.6,Au:899.4,Ni:277.7,Pb:266.2,V_:235.8,,,,,,,,,,,,,
Ta:1928.8,Zr:1752.3,Ni:1541.9,Fe:1283.3,W_:974.9,S :621.4,Ti:401.7,P :364.5,Cr:357.9,K_:351.1,Pb:249.6,Pt:193.5,Au:191.6,,,,,,,,
Fe:6447.1,K_:5908.5,W_:4126.0,Zr:1798.8,Nb:1614.6,Co:1073.9,S :509.1,Pt:320.9,P :307.0,Pb:236.1,Ta:162.2,,,,,,,,,,
Mo:3635.6,Pt:2565.8,Nb:2226.8,Co:903.2,W_:760.7,Au:406.9,S :355.2,In:275.6,Fe:253.6,P :242.6,Pb:233.0,V_:218.2,Ta:213.3,Ni:179.7,K_:167.4,,,,,,
