Wavelength,Intensity,Pixel
405.615,4889.14888255611,993.0
373.916,2802.061236343513,756.0
363.865,2050.9016059440364,682.0
357.171,1918.8578394801355,633.0
368.356,1572.5152132607764,715.0
401.778,924.6373790065286,964.0
416.663,522.9092941053061,1077.0
367.132,473.85199213190936,706.0
500.541,468.31782071521366,1744.0
341.62,351.4898616734515,520.0
341.343,325.32523224905026,518.0
403.499,291.94120187234466,977.0
407.991,275.564418096988,1011.0
403.896,266.1508987152347,980.0
402.837,249.6151295126042,972.0
404.425,236.05210081212863,984.0
408.386,233.04715924465108,1014.0
361.955,232.50715380238125,668.0
361.682,228.89769476748234,666.0
407.067,222.92131493421766,1004.0
403.102,211.60426447470945,974.0
407.331,185.21926841902587,1006.0
412.072,178.34942570357202,1042.0
371.884,178.27873560556395,741.0
409.045,174.4943684994014,1019.0
369.578,173.79842838248032,724.0
371.342,161.37367363644807,737.0
412.466,160.37191990480278,1045.0
409.309,160.12305968766532,1021.0
360.453,159.61093548633858,657.0
404.69,158.22458392943736,986.0
361.273,151.38087736668172,663.0
