Wavelength,Intensity,Pixel
363.456,3015.7944821367146,679.0
355.253,2991.8730432100265,619.0
360.863,2965.988981696406,660.0
368.899,2946.85314660426,719.0
351.547,2876.4350852939933,592.0
421.236,2778.1365479287297,1112.0
345.902,2738.167413578243,551.0
389.393,2669.3337390938595,871.0
347.969,2630.9392175605826,566.0
395.8,2542.900285521246,919.0
337.188,2343.7157788954514,488.0
357.034,2319.9067249566,632.0
330.099,2163.9365814015537,437.0
344.108,2059.040747344028,538.0
383.089,1838.437916732542,824.0
348.933,1820.837038807636,573.0
379.858,1812.195342683987,800.0
340.098,1765.887092095495,509.0
340.513,1755.9006556212653,512.0
371.749,1740.791265394141,740.0
342.035,1713.5164873053563,523.0
343.279,1683.35803456349,532.0
324.099,1524.8452041615924,394.0
516.262,1503.7262360445263,1876.0
529.471,1451.4272165503976,1989.0
311.331,1381.9114002333042,303.0
324.379,1301.1399548334011,396.0
325.776,1127.2996698254449,406.0
408.65,866.0462240170622,1016.0
325.077,855.04419401207,401.0
302.721,837.4422921386215,242.0
306.396,780.7100149271095,268.0
328.566,602.1476773514588,426.0
314.145,536.8671627178571,323.0
447.273,529.1598750803497,1314.0
487.452,522.9884429215392,1636.0
481.57,478.58106457404233,1588.0
300.172,441.18522573518834,224.0
511.531,430.4772559871046,1836.0
523.305,396.109398585706,1936.0
510.937,366.43831876611443,1831.0
276.222,316.9568478441431,56.0
292.221,292.6034092001101,168.0
478.738,291.2647620692875,1565.0
416.925,285.737222273989,1079.0
300.881,209.561497789445,229.0
366.724,191.33272094878305,703.0
366.452,185.3254100247475,701.0
321.721,183.0004988444124,377.0
366.044,167.7878281663393,698.0
365.772,161.32801376021007,696.0
506.174,157.72734377661584,1791.0
531.092,155.0943937835458,2003.0
