Wavelength,Intensity,Pixel
386.311,7653.708513777328,848.0
390.195,7366.663272330972,877.0
379.723,7078.396149975398,799.0
427.608,6584.192424084608,1161.0
438.063,4950.372756480122,1242.0
475.898,4685.693346808248,1542.0
418.756,4596.8719267040515,1093.0
429.163,4437.310128084244,1173.0
432.525,4127.10456395266,1199.0
414.173,4102.38529027764,1058.0
428.775,4055.161664430083,1170.0
473.048,3989.0050856952503,1519.0
441.014,3881.6446779688495,1265.0
481.816,3687.0134180820714,1590.0
482.921,3616.0661586062033,1599.0
423.19,3596.77930720524,1127.0
470.688,3265.496333151492,1500.0
406.935,2921.3973411191546,1003.0
407.991,2864.4299630166424,1011.0
447.4,2717.2191159627464,1315.0
443.445,2696.126291869272,1284.0
486.719,2614.040167550951,1630.0
408.255,2565.8045583920557,1013.0
411.809,2407.9809413459534,1040.0
361.273,2221.686216688485,663.0
383.223,2130.3610001352936,825.0
477.504,1912.960745239383,1555.0
406.143,1908.0348006430286,997.0
445.616,1903.9782926797088,1301.0
410.625,1750.2851143368935,1031.0
453.621,1736.9741803130328,1364.0
362.365,1725.7863212346142,671.0
462.568,1703.2613119720463,1435.0
382.685,1609.2830759163762,821.0
367.948,1580.8343578208169,712.0
365.772,1571.9844218578623,696.0
497.77,1418.8607257354806,1721.0
423.971,1403.9907482546532,1133.0
460.936,1364.5425291949114,1422.0
444.084,1355.3674033953612,1289.0
388.59,1340.5401008889603,865.0
344.66,1335.8046961691543,542.0
505.935,1325.7597673588152,1789.0
340.513,1294.735134184495,512.0
444.85,1282.1054568690033,1295.0
426.83,1252.2053285970314,1155.0
369.306,1218.2526836961824,722.0
341.482,1208.3942296841697,519.0
343.417,1203.8320863255644,533.0
363.456,1199.1703231522333,679.0
366.316,1191.3364675806806,700.0
415.615,1191.138914325451,1069.0
394.201,1152.9851428193551,907.0
457.538,1152.803359542354,1395.0
338.297,1149.6569668772358,496.0
439.604,1146.4739623071782,1254.0
384.701,1137.794119016855,836.0
316.955,1132.801268088043,343.0
451.594,1129.9569446895002,1348.0
313.161,1128.1360445106409,316.0
509.63,1127.9862058096087,1820.0
419.278,1113.7893702461824,1097.0
494.99,1110.5378009229253,1698.0
479.231,1097.6078409198453,1569.0
501.382,1077.8581198725988,1751.0
495.595,1068.0428172630482,1703.0
358.129,1067.9397273479458,640.0
477.257,1065.6762738051366,1553.0
319.34,1063.2822480086,360.0
434.976,1056.6927635641223,1218.0
448.419,1050.3983534501986,1323.0
350.309,1046.6739790043125,583.0
407.463,1036.3839744637207,1007.0
442.55,1003.002517262069,1277.0
372.697,979.6121598150635,747.0
527.964,968.5060452252537,1976.0
436.778,935.22348631165,1232.0
466.199,924.9151372909018,1464.0
371.477,917.9326738384821,738.0
449.055,907.0495825967482,1328.0
478.368,905.0890033983569,1562.0
471.682,905.0749874637395,1508.0
353.607,903.2210119200208,607.0
352.096,882.1907863752649,596.0
335.662,879.0436541789063,477.0
328.845,878.3231275059213,428.0
467.074,856.2543324554736,1471.0
342.311,854.3366467550868,525.0
424.492,848.4549052406983,1137.0
468.696,844.1712569235569,1484.0
446.764,832.3066527658702,1310.0
334.412,828.9796037263252,468.0
315.691,810.4614663992706,334.0
425.012,795.5054743055398,1141.0
519.909,794.1290840833426,1907.0
474.908,779.2707890256643,1534.0
507.844,777.6901722740413,1805.0
367.132,777.4206018484265,706.0
479.478,776.441625507925,1571.0
434.074,772.5097306270363,1211.0
499.939,767.1997251044595,1739.0
452.355,764.1369028202125,1354.0
377.025,763.0273465103214,779.0
494.021,750.8721286987329,1690.0
514.609,713.2920027359451,1862.0
397.264,701.1160749278315,930.0
346.591,697.6193513278567,556.0
414.697,696.5900694298825,1062.0
403.632,694.3184701583941,978.0
504.62,677.5778954241978,1778.0
417.71,676.301064853702,1085.0
373.239,671.0559468574766,751.0
409.704,670.7937194459464,1024.0
455.266,669.3186424624719,1377.0
348.382,668.5111405443449,569.0
493.172,667.1556971698255,1683.0
337.881,654.8287435468633,493.0
525.871,654.0305974824078,1958.0
420.584,653.4563075327378,1107.0
442.294,650.4121588815651,1275.0
431.621,640.5615229425794,1192.0
410.099,637.5972790480218,1027.0
332.327,635.7492741174706,453.0
330.099,634.5358929644608,437.0
436.521,630.7538365496621,1230.0
381.878,627.1387341193767,815.0
523.655,625.2891926568363,1939.0
336.217,620.1407006584177,481.0
459.427,618.8701088603211,1410.0
517.205,607.9841144894899,1884.0
416.401,604.5156644047884,1075.0
492.566,601.8743887030214,1678.0
485.74,599.4935409290256,1622.0
510.937,599.1682756122045,1831.0
306.396,592.8263980420996,268.0
425.921,589.3201891580475,1148.0
323.26,585.6166863687588,388.0
405.483,583.9953658850081,992.0
454.001,582.8750548006574,1367.0
502.823,578.489130129894,1763.0
355.664,577.344431443194,622.0
377.97,575.3924489379679,786.0
320.741,571.0501090250414,370.0
480.955,567.3993522451728,1583.0
455.897,565.3650802294724,1382.0
490.256,557.3087156984257,1659.0
425.401,546.2330651923885,1144.0
413.123,545.7869508275135,1050.0
462.066,543.0144424566715,1431.0
354.018,539.1767430456243,610.0
399.921,524.224261665945,950.0
326.334,523.8571963712343,410.0
320.461,513.7984402440813,368.0
452.862,506.9406893919586,1358.0
496.321,502.8213390057126,1709.0
420.323,497.84214523536684,1105.0
509.035,497.7284887314163,1815.0
516.616,495.36024993471983,1879.0
392.333,484.1903212786665,893.0
488.672,478.0385343158405,1646.0
450.452,472.81042398458067,1339.0
345.902,468.71713249943195,551.0
439.091,464.99069532774683,1250.0
374.186,463.68944614077645,758.0
322.7,452.7795865374535,384.0
451.087,450.78857784736374,1344.0
304.135,447.6620740982702,252.0
299.747,445.23945731306674,221.0
456.655,440.1293020119301,1388.0
