0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Fe:513.3,Nb:466.1,Ag:403.4,Pb:351.5,Ta:346.1,Au:325.5,Pb:325.3,Zr:316.5,Au:313.2,V_:308.1
Pd:1812.2,Sn:1774.6,W_:869.1,V_:394.0,,,,,,,,,,,,,,,,,,,,
Mo:839.1,Cd:795.4,Pt:523.9,Sn:490.7,Nb:430.6,P :213.1,Co:177.9,K_:173.3,Ag:172.4,S :163.0,,,,,,,,,,,,,,
Nb:3547.3,Ti:994.6,Mo:955.3,V_:861.8,Pt:764.1,Zr:585.5,Sn:450.8,In:402.5,S :278.4,K_:158.3,,,,,,,,,,,,,,
Sn:380.0,Ta:215.6,Co:161.7,,,,,,,,,,,,,,,,,,,,,
Ta:476.7,W_:339.3,Sn:294.4,Nb:266.9,S :259.4,P :184.7,V_:174.1,,,,,,,,,,,,,,,,,
Pd:2059.0,Fe:1658.3,K_:498.2,Ta:483.9,Cr:373.8,Zn:307.8,In:266.4,Cd:256.0,Sb:249.6,Sn:201.9,C_:159.5,,,,,,,,,,,,,
In:319.1,Sn:201.3,,,,,,,,,,,,,,,,,,,,,,
Ni:3596.5,Co:992.8,Nb:552.8,Mo:358.2,In:333.0,Sb:292.5,Zn:283.7,Pt:231.8,Fe:177.5,Sn:168.0,,,,,,,,,,,,,,
Ta:368.9,Fe:226.4,Pd:209.6,Sn:157.2,,,,,,,,,,,,,,,,,,,,
Co:769.5,Zr:531.7,Zr:382.3,W_:332.3,Zn:296.7,K_:281.4,S :198.4,K_:190.0,Sn:154.6,,,,,,,,,,,,,,,
