0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ta:3987.6,In:3243.5,Nb:1941.4,Cr:662.0,Mo:608.2,Pt:450.8,S :287.7,S :281.0,P :243.7,K_:204.8,P :168.1,,,,,,,,,,,,,
Cr:3727.1,Ta:3524.3,Fe:1070.9,Ti:1047.4,Ti:731.6,Nb:610.3,Pt:247.7,Zr:247.3,C_:247.2,K_:220.9,S :220.6,Mo:210.1,Zr:156.7,,,,,,,,,,,
Ta:3488.6,Cr:3072.4,W_:2761.0,Nb:974.5,V_:662.7,Nb:517.7,Ni:382.1,Zr:359.0,S :345.9,Co:174.2,,,,,,,,,,,,,,
Ta:3418.8,Co:558.7,Au:541.8,S :403.8,Ti:395.9,Cr:218.8,P :187.6,,,,,,,,,,,,,,,,,
Ti:4348.7,Nb:3429.7,Ta:3393.9,C_:962.0,Mo:280.4,Pt:161.1,,,,,,,,,,,,,,,,,,
Ta:3004.4,Cr:1327.4,Ti:751.3,Nb:545.7,C_:359.2,Ni:314.0,,,,,,,,,,,,,,,,,,
Ta:2983.6,C_:418.4,Zr:402.4,Ni:308.3,,,,,,,,,,,,,,,,,,,,
W_:3925.8,Ta:2966.4,Ti:1896.5,Zn:1692.2,Mo:231.0,Cr:225.6,Co:158.7,,,,,,,,,,,,,,,,,
Ta:2920.7,W_:636.6,Cr:604.2,S :372.4,Ti:246.1,K_:223.3,Pt:185.6,Au:164.9,,,,,,,,,,,,,,,,
Ta:2849.2,V_:1104.2,Mo:910.8,Pt:601.9,S :572.2,Nb:545.9,Ti:383.9,Zr:382.5,C_:292.9,W_:280.1,Ni:166.7,,,,,,,,,,,,,
Nb:2868.5,Ta:2714.4,W_:2646.1,W_:1776.7,Pt:653.5,Mo:591.0,Cr:521.9,Pt:497.8,S :496.0,S :483.0,K_:442.3,K_:348.8,P :276.8,P :203.3,,,,,,,,,,
Nb:3219.7,Ta:2693.0,Zr:1191.7,S :276.5,K_:222.8,Ti:215.9,P :183.0,,,,,,,,,,,,,,,,,
Ta:2690.2,Zr:2454.1,Nb:706.4,W_:282.6,,,,,,,,,,,,,,,,,,,,
Ta:2628.5,Zr:2606.7,Zr:2513.2,Nb:1109.5,Ti:167.3,Ni:164.1,,,,,,,,,,,,,,,,,,
Mo:4769.6,Pt:3687.0,Ta:2472.6,Ti:1405.9,K_:565.4,S :234.0,V_:167.1,,,,,,,,,,,,,,,,,
Ta:2446.6,Cr:1895.9,V_:798.3,Co:721.2,W_:536.2,Mo:508.7,Pt:506.9,Nb:356.1,S :318.4,Zr:251.5,K_:172.2,In:165.9,,,,,,,,,,,,
Ta:2413.9,Nb:1838.6,Zr:753.0,Mo:432.0,Pt:331.5,Cr:202.9,S :190.2,,,,,,,,,,,,,,,,,
Ta:2312.1,Zr:1794.8,Nb:474.3,Pt:224.7,S :211.9,,,,,,,,,,,,,,,,,,,
