Wavelength,Intensity,Pixel
450.96,3987.605282213208,1343.0
491.958,3524.2736369832346,1673.0
475.526,3488.5682773032004,1539.0
481.201,3418.7560276241766,1585.0
503.662,3393.8526171157773,1770.0
493.536,3004.4445314424593,1686.0
513.545,2983.6411308160677,1853.0
468.072,2966.3857827150405,1479.0
476.763,2920.671536530397,1549.0
492.444,2849.1761803517584,1677.0
420.453,2714.3950369141294,1106.0
457.285,2692.9587212886336,1393.0
473.916,2690.1604221068274,1526.0
515.554,2628.4681787921,1870.0
481.816,2472.64845987467,1590.0
452.988,2446.641351992219,1359.0
484.516,2413.9254817984183,1612.0
482.43,2312.108425384811,1595.0
477.998,2178.139697348033,1559.0
488.306,2174.4282428374863,1643.0
461.815,2100.0432017745425,1429.0
506.652,2080.132723183806,1795.0
469.069,2067.604077277827,1487.0
402.837,1928.7825131519394,972.0
533.976,1734.3632543067843,2028.0
406.011,1732.7531019583475,996.0
504.261,1681.120628023673,1775.0
501.142,1672.8320363885978,1749.0
414.697,1656.6422381211196,1062.0
485.128,1653.8573823648712,1617.0
466.824,1646.1647430383618,1469.0
472.924,1643.9935891577734,1518.0
521.199,1618.915889549753,1918.0
456.528,1568.1151867165372,1387.0
417.448,1567.5928005446467,1083.0
441.398,1534.4773209990435,1268.0
521.785,1523.3759057465004,1923.0
490.378,1504.4458410144034,1660.0
511.531,1490.4684046334278,1836.0
412.729,1466.6643158799216,1047.0
362.501,1459.1173592478194,672.0
440.117,1432.82676246548,1258.0
413.517,1401.3884160690413,1053.0
514.255,1363.220578000728,1859.0
403.102,1360.3390383414162,974.0
406.539,1324.5832442811688,1000.0
428.516,1302.960595142864,1168.0
403.896,1302.0572434087699,980.0
534.781,1300.0702591983336,2035.0
508.916,1280.2667479464571,1814.0
400.584,1264.1298198589757,955.0
430.199,1247.6560401883753,1181.0
406.275,1220.8813835054207,998.0
410.362,1199.0707220124805,1029.0
514.018,1188.400529499755,1857.0
465.949,1181.677175122476,1462.0
483.044,1168.1593879916945,1600.0
360.727,1165.000774221483,659.0
447.273,1162.8204280958234,1314.0
396.865,1128.4569018614538,927.0
417.971,1117.1795807577328,1087.0
535.356,1106.6105860174494,2040.0
364.001,1065.6093171561351,683.0
470.439,1065.5666642291371,1498.0
426.7,1035.796297267133,1154.0
490.621,1020.746429535262,1662.0
455.013,1013.1393052950016,1375.0
516.262,1012.4922748681292,1876.0
438.449,1009.702464515296,1245.0
439.732,1005.2402525133493,1255.0
532.708,993.2781511762023,2017.0
529.356,973.52856725113,1988.0
350.309,964.3715657120974,583.0
416.008,961.9377083284771,1072.0
460.056,960.5316947835418,1415.0
392.066,958.4847574847472,891.0
445.871,951.6511337935226,1303.0
472.179,923.2187084003253,1512.0
451.975,922.2839391722537,1351.0
449.436,915.5485619513784,1331.0
424.361,905.8505109841235,1136.0
388.322,898.3055262035123,863.0
427.738,895.9943468930196,1162.0
444.978,887.883330093835,1296.0
402.573,887.0836443228382,970.0
443.957,886.4973006854525,1288.0
398.061,878.8492853189855,936.0
441.782,876.0529974778201,1271.0
442.934,863.1463659556539,1280.0
331.77,858.9110717493677,449.0
463.947,854.0509765011793,1446.0
401.115,852.2151643558145,959.0
391.799,851.2692390957254,889.0
426.96,843.8805428423111,1156.0
468.446,822.0737055566151,1482.0
401.38,772.4326974842052,961.0
434.332,762.8931475267227,1213.0
515.2,758.1121044911924,1867.0
340.513,747.8098269558327,512.0
365.636,747.113982762311,695.0
516.026,731.4901128234369,1874.0
507.487,729.7128782510899,1802.0
378.24,728.5774052440429,788.0
399.523,721.9470267627466,947.0
487.818,718.2166043257712,1639.0
470.066,717.1603540817232,1495.0
429.293,704.4012943042835,1174.0
330.935,702.7601928360195,443.0
496.804,697.5908546750652,1713.0
508.678,688.0994041055019,1812.0
463.195,685.794297626564,1440.0
384.701,682.9879591224562,836.0
395.533,682.5252418723121,917.0
347.143,676.5916322830026,560.0
437.549,669.9606651867916,1238.0
407.859,668.5003503129165,1010.0
358.403,654.72343923177,642.0
422.8,650.1159250560158,1124.0
412.203,646.2419766942494,1043.0
455.518,643.8232060770188,1379.0
419.278,641.143481253057,1097.0
398.726,629.6715009592417,941.0
344.522,628.7671803468347,541.0
435.362,627.0406056970023,1221.0
419.017,625.0336194906986,1095.0
491.472,624.9644463715849,1669.0
487.085,622.469536252891,1633.0
347.969,621.5998121062339,566.0
324.099,619.5810097854837,394.0
346.178,615.5799530410518,553.0
431.75,615.2001627859881,1193.0
531.785,614.0440888966032,2009.0
350.997,607.9570331220466,588.0
338.436,602.4250767541471,497.0
420.062,601.6866986532241,1103.0
486.352,592.3917926831055,1627.0
436.778,589.5265484965003,1232.0
399.788,575.3972747684293,949.0
431.363,574.8704582998262,1190.0
474.412,569.9533693611011,1530.0
