Wavelength,Intensity,Pixel
498.976,4422.647719911198,1731.0
503.542,4348.728481305136,1769.0
499.819,4070.6751008745514,1738.0
453.368,3980.632982335153,1362.0
498.012,3959.1934608433266,1723.0
501.262,3747.8289341833065,1750.0
429.94,3435.2161290621284,1179.0
520.965,3212.734118142467,1916.0
503.901,3120.7362621663297,1772.0
519.205,3040.0498201473847,1901.0
500.661,2956.637021729126,1745.0
517.205,2796.7721755065436,1884.0
430.458,2557.2398388285683,1183.0
502.343,2556.051164242661,1759.0
475.774,2451.8084474286056,1541.0
506.413,2430.262685523323,1793.0
488.428,2267.672019499486,1644.0
489.891,2251.2840631957347,1656.0
395.667,2235.41686479584,918.0
399.788,2203.63412162912,949.0
398.061,2131.704831979463,936.0
501.863,2048.4021071926295,1755.0
522.37,2021.522351953803,1928.0
445.233,1982.4627903110631,1298.0
394.734,1973.1107046641628,911.0
491.229,1954.5304332993003,1667.0
468.072,1896.483950568027,1479.0
463.822,1891.0898031706754,1445.0
428.645,1883.4205180503086,1169.0
398.859,1796.6400821979178,942.0
445.616,1786.7455944632043,1301.0
485.495,1782.8237291693704,1620.0
484.025,1777.5436745544757,1608.0
455.139,1774.320808839131,1376.0
451.721,1730.7716117275309,1349.0
486.841,1638.152512636354,1631.0
454.76,1540.0370851817856,1373.0
444.85,1498.8584534039499,1295.0
516.852,1470.6949491021905,1881.0
516.616,1449.613264475725,1879.0
466.699,1449.0335680996716,1468.0
455.392,1430.2734506720908,1378.0
481.939,1405.86239189638,1591.0
431.363,1400.4669341562849,1190.0
495.595,1345.798198111598,1703.0
375.133,1315.9555633289497,765.0
442.55,1313.988662787036,1277.0
365.227,1308.1422109885664,692.0
514.609,1289.583916518599,1862.0
465.574,1279.6888743063214,1459.0
448.037,1270.6228883553713,1320.0
402.308,1248.4762766284325,968.0
461.564,1244.6583317588131,1427.0
396.199,1240.455109779749,922.0
451.214,1226.0704101211122,1345.0
407.727,1219.6304035696921,1009.0
454.381,1217.5538263700732,1370.0
422.539,1179.45295529029,1122.0
374.051,1142.277820875678,757.0
363.456,1135.2766834894376,679.0
390.329,1128.8028120372192,878.0
515.082,1114.073581196129,1866.0
392.333,1096.8706296445366,893.0
474.164,1096.8673210666338,1528.0
388.188,1085.5786021577462,862.0
492.08,1047.4307026969554,1674.0
426.181,1036.98624520165,1150.0
452.608,1030.183042820398,1356.0
480.463,1019.4422287992184,1579.0
400.717,1001.2318284843313,956.0
392.867,1000.3355835565051,897.0
452.228,994.5531753249538,1353.0
364.137,986.0338305548535,684.0
462.192,979.6523845499028,1432.0
372.833,977.5440480349928,748.0
427.349,950.3053751422428,1159.0
440.373,935.5453513132047,1260.0
429.422,922.5413838506288,1175.0
418.494,893.6341574309781,1091.0
511.887,884.6324257782157,1839.0
406.407,859.5012382168732,999.0
378.51,853.1756062951672,790.0
472.179,849.2534231885134,1512.0
469.069,827.7639193661978,1487.0
492.687,815.9130210769754,1679.0
432.525,812.4507808201504,1199.0
479.848,794.3653152803308,1574.0
448.8,788.3032216849781,1326.0
508.559,755.3202217443172,1811.0
493.658,751.2871002869742,1687.0
372.291,750.9298247040049,744.0
504.261,744.4298554562438,1775.0
462.819,743.0782391012935,1437.0
491.837,731.6242658530246,1672.0
469.817,726.809008205126,1493.0
447.018,724.8182444601848,1312.0
449.436,723.2386288752173,1331.0
470.937,700.6877577723856,1502.0
