0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
V_:4483.0,W_:1104.7,Nb:315.0,Ta:199.0,,,,,,,,,,,,,,,,,
V_:4260.1,Zr:1478.4,Nb:773.7,Pt:222.6,C_:207.0,,,,,,,,,,,,,,,,
V_:3672.9,Nb:1564.6,Cr:1006.1,Ta:951.7,W_:595.2,W_:591.1,Ni:474.8,Zr:373.8,S :360.2,Pt:258.6,,,,,,,,,,,
V_:3537.8,Zr:870.7,Pd:523.0,Ni:249.9,Ta:217.9,W_:202.2,C_:189.2,Nb:185.8,S :154.4,Ag:153.4,,,,,,,,,,,
V_:3500.9,Zr:1691.0,Ta:592.4,W_:373.9,S :224.7,Ti:216.8,P :186.1,C_:172.1,,,,,,,,,,,,,
V_:3347.6,Nb:1381.4,W_:651.6,S :303.2,,,,,,,,,,,,,,,,,
V_:3136.7,Fe:1667.9,K_:1064.8,Mo:997.2,Zr:599.2,W_:571.1,Pt:545.8,S :538.0,In:184.2,P :160.8,,,,,,,,,,,
V_:3050.9,Co:1763.2,Zr:342.3,Ta:340.0,Au:328.2,Cr:257.6,Au:245.1,Nb:227.9,Pb:174.5,,,,,,,,,,,,
Mo:4839.7,Pt:3616.1,V_:3035.5,Nb:2043.2,Ta:1168.2,Ni:391.8,Zr:318.4,S :314.2,C_:155.7,,,,,,,,,,,,
Fe:3673.9,V_:2974.9,Cr:1253.0,Ta:322.9,Ni:262.5,,,,,,,,,,,,,,,,
V_:2886.5,Nb:1551.8,S :436.1,In:402.0,K_:355.1,Mo:165.7,,,,,,,,,,,,,,,
Fe:4893.8,V_:2857.7,Cr:1377.6,W_:1077.6,Ta:1009.7,S :381.3,K_:280.4,Zr:224.2,Ni:184.9,,,,,,,,,,,,
V_:2782.0,Nb:1188.9,Ti:602.8,S :403.8,K_:383.7,Ta:233.7,P :175.2,,,,,,,,,,,,,,
V_:2732.3,Cr:1580.6,Nb:1461.8,W_:461.9,Zr:337.5,K_:283.1,Ti:279.4,S :181.3,Au:166.2,,,,,,,,,,,,
V_:2663.3,Co:2281.8,Ca:1087.2,Nb:807.6,Ti:313.9,Zr:182.9,Ta:162.7,,,,,,,,,,,,,,
Co:6680.7,V_:2657.2,W_:945.6,Ta:500.6,Au:464.7,Ti:298.7,S :226.7,K_:174.0,,,,,,,,,,,,,
Zr:2889.4,V_:2628.4,Ta:1653.9,Nb:1280.7,S :275.8,Pt:221.1,Ti:188.5,Cr:152.4,,,,,,,,,,,,,
V_:2503.3,W_:1285.0,Mo:701.8,Pt:618.9,Cr:603.3,Ta:357.0,Nb:259.6,Ni:216.6,Nb:174.0,S :166.4,C_:157.4,,,,,,,,,,
Nb:3448.1,V_:2350.1,Ta:1466.7,Cr:1377.0,Mo:617.9,Pt:400.0,Ti:309.6,S :300.5,In:242.0,Zr:217.0,Au:193.1,,,,,,,,,,
W_:4664.5,V_:2343.2,Mo:1571.3,Nb:1521.8,Pt:1252.2,Ta:1035.8,Ta:843.9,Zr:836.8,,,,,,,,,,,,,
V_:2238.7,Pt:1355.4,Mo:938.9,Ta:886.5,Nb:535.7,Ti:479.3,S :344.8,Fe:270.1,K_:251.6,,,,,,,,,,,,
V_:2228.3,Nb:1110.5,Zr:372.4,S :360.3,K_:340.7,W_:319.4,Ti:177.2,Ta:160.1,,,,,,,,,,,,,
V_:2204.7,Mo:1457.1,Pt:1146.5,Zr:917.9,W_:580.3,Ti:499.9,Nb:335.9,S :246.3,,,,,,,,,,,,,
