Wavelength,Intensity,Pixel
440.63,4482.985020889856,1262.0
488.062,4260.060975006214,1641.0
445.871,3672.8864473751055,1303.0
487.452,3537.837525046251,1636.0
486.352,3500.86903393057,1627.0
437.806,3347.5967421025157,1240.0
413.254,3136.733878805682,1051.0
409.045,3050.8729321069904,1019.0
483.044,3035.494253106537,1600.0
384.029,2974.884130337828,831.0
411.415,2886.467557388155,1037.0
438.32,2857.7068146693528,1244.0
411.152,2782.004374783294,1035.0
385.506,2732.27206574042,842.0
370.392,2663.3210794422557,730.0
387.384,2657.1936976762827,856.0
485.006,2628.4378610083404,1616.0
459.301,2503.2894084302407,1409.0
412.729,2350.0570265217893,1047.0
426.83,2343.194750930069,1155.0
444.084,2238.7334834073563,1289.0
438.834,2228.277852292438,1248.0
439.476,2204.741245970831,1253.0
382.147,2198.1657413829303,817.0
423.19,2151.0915060625116,1127.0
444.34,2148.435219501721,1291.0
457.916,2137.2765727011147,1398.0
443.573,2108.6564623882196,1285.0
435.233,2096.6662644979588,1220.0
445.106,2052.187905946691,1297.0
429.681,2032.568210792993,1177.0
448.8,1964.0859343485026,1326.0
458.546,1871.9817567834737,1403.0
398.991,1771.9520278467048,943.0
457.664,1761.9537959260606,1396.0
439.989,1726.963640790958,1257.0
433.171,1690.6316104445903,1204.0
482.676,1670.2535687440056,1597.0
390.062,1650.3540303282211,876.0
433.945,1607.1735782366663,1210.0
442.038,1606.1842971604337,1273.0
446.891,1580.1980484682545,1311.0
428.256,1572.847961117692,1166.0
442.55,1568.9425696615294,1277.0
427.608,1562.3805329738848,1161.0
442.806,1553.6967091321103,1279.0
409.836,1531.716168177777,1025.0
490.378,1529.3659526578408,1660.0
382.82,1507.561827581742,822.0
410.362,1484.445297359688,1029.0
405.086,1480.9533510231186,989.0
430.587,1416.1151095326754,1184.0
447.4,1411.1940033757155,1315.0
386.446,1406.8408191382223,849.0
432.913,1389.8828356501035,1202.0
454.381,1364.175709755787,1370.0
369.035,1356.0782087874213,720.0
441.526,1353.3540689257347,1269.0
399.788,1353.1141435788777,949.0
412.203,1336.0313693194312,1043.0
429.034,1333.9959608682102,1172.0
390.864,1273.509335387363,882.0
470.563,1268.9977238236304,1499.0
380.666,1220.4514684625929,806.0
479.601,1199.2390482974845,1572.0
369.442,1174.300308083646,723.0
480.709,1173.0532519872977,1581.0
456.023,1169.9311285031295,1383.0
519.44,1167.0533150749957,1903.0
392.333,1156.2214411408545,893.0
523.305,1129.8407432227953,1936.0
492.444,1104.2119089025773,1677.0
392.867,1102.8951003194898,897.0
379.319,1071.551825626795,796.0
430.846,1053.1612911043176,1186.0
461.815,1043.7419379264788,1429.0
457.033,1037.7823373427277,1391.0
466.949,1025.4705261809445,1470.0
524.006,985.8468414663173,1942.0
388.991,933.4378647827616,868.0
477.504,921.278286810234,1555.0
393.267,911.1060237822985,900.0
501.382,900.0553204161852,1751.0
420.845,861.8105815375097,1109.0
452.355,861.8001265694868,1354.0
419.017,846.2533501420364,1095.0
377.7,826.5981140631438,784.0
454.886,823.818480480187,1374.0
407.067,822.7842509166094,1004.0
378.914,806.2310664434349,793.0
380.262,798.938049649294,803.0
452.862,798.2904642851736,1358.0
475.031,788.2131646706846,1535.0
513.782,767.9814347292615,1855.0
478.615,761.6345946249116,1564.0
418.102,758.936880688763,1088.0
449.563,755.9470963049916,1332.0
417.84,732.0468829146612,1086.0
470.937,687.8045113166863,1502.0
450.071,686.6466379337562,1336.0
436.649,679.56558166031,1231.0
490.012,668.796148178616,1657.0
475.65,662.702453004368,1540.0
353.332,653.156860842277,605.0
405.615,627.4551867110729,993.0
