0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
W_:8785.9,Mo:4988.4,Pt:4437.3,Ti:922.5,Zr:921.4,Nb:805.6,Fe:737.1,Ta:704.4,,,,,,,
W_:8270.9,Ta:1264.1,Ti:1001.2,Nb:774.3,Zr:635.7,Mo:375.0,Pt:294.7,S :172.5,Au:169.9,P :168.0,K_:160.5,,,,
W_:8166.5,Mo:1510.5,Zr:1239.8,S :1148.5,Pt:1036.4,K_:790.1,P :641.4,In:340.7,Pb:185.2,,,,,,
W_:6907.8,Nb:1838.6,Al:1499.7,Nb:933.9,Mo:432.0,Pt:331.5,C_:162.4,V_:157.0,,,,,,,
W_:6020.0,Nb:1215.9,Ti:686.3,C_:465.2,Mo:369.0,Pt:291.9,Cr:230.0,Zr:227.4,Ta:168.0,,,,,,
W_:5163.2,Nb:3687.0,Ti:3435.2,Ca:2308.0,Ta:1247.7,Zr:1027.0,Cr:543.7,S :276.0,,,,,,,
W_:4664.5,V_:2343.2,Mo:1571.3,Nb:1521.8,Pt:1252.2,Ta:1035.8,Ta:843.9,Zr:836.8,,,,,,,
W_:4184.3,Fe:4175.3,Mo:3795.2,Pt:2921.4,S :1038.8,V_:822.8,K_:806.4,P :630.0,S :624.9,Ta:251.8,Nb:239.4,Pb:222.9,In:221.3,,
W_:4182.6,Cr:2806.2,Ti:2267.7,Mo:616.6,Pt:478.0,Nb:440.8,Zr:330.5,Ta:279.6,V_:249.5,C_:186.9,S :177.5,,,,
Nb:6936.0,W_:4146.8,Mo:821.2,S :756.2,Pt:637.6,K_:359.6,Au:167.5,,,,,,,,
Fe:6447.1,K_:5908.5,W_:4126.0,Zr:1798.8,Nb:1614.6,Co:1073.9,S :509.1,Pt:320.9,P :307.0,Pb:236.1,Ta:162.2,,,,
W_:4002.8,Ti:2021.5,Nb:1428.7,Zr:1323.2,Cr:836.3,Ta:246.9,,,,,,,,,
W_:3925.8,Ta:2966.4,Ti:1896.5,Zn:1692.2,Mo:231.0,Cr:225.6,,,,,,,,,
Nb:4382.3,W_:3829.6,Ta:1401.4,S :399.2,In:218.3,Ti:206.1,Pt:165.9,In:151.3,,,,,,,
W_:3809.0,Ti:2956.6,Nb:667.3,C_:597.1,Pb:468.3,Fe:254.6,Ta:169.2,,,,,,,,
W_:3497.4,Nb:1086.5,Ti:492.7,S :214.4,,,,,,,,,,,
Cr:10415.6,Mo:7071.8,Pt:6584.2,W_:3431.9,V_:1562.4,Ti:950.3,Zr:262.7,,,,,,,,
W_:3381.7,Nb:1114.5,Ta:772.4,Co:386.0,Fe:266.2,Au:220.0,K_:203.3,Pt:191.3,Ti:163.5,,,,,,
W_:3236.0,Ta:1181.7,Zr:501.4,S :372.1,Nb:262.8,P :196.3,K_:159.9,C_:155.7,,,,,,,
Ti:3747.8,W_:3201.1,Mo:1454.7,Pt:1077.9,Nb:940.4,V_:900.1,C_:766.7,Cr:684.5,,,,,,,
W_:3056.2,Mo:1379.8,Ta:905.9,Pt:848.5,Nb:698.4,P :383.0,P :329.5,S :281.4,K_:254.8,Zr:239.0,K_:193.0,,,,
W_:2976.6,Zr:498.7,Mo:298.1,Pd:285.7,Pt:245.9,Fe:229.9,Ti:212.1,V_:186.3,P :181.1,K_:162.6,,,,,
Ta:3488.6,Cr:3072.4,W_:2761.0,Ti:2451.8,V_:662.7,Nb:517.7,Ni:382.1,Zr:359.0,S :345.9,,,,,,
Fe:3299.7,W_:2759.3,Co:1408.0,Nb:966.9,Cr:817.0,Zr:202.8,,,,,,,,,
Nb:2868.5,Ta:2714.4,W_:2646.1,Pt:653.5,Mo:591.0,S :496.0,Zr:475.3,K_:442.3,P :276.8,,,,,,
Ti:3959.2,W_:2628.7,C_:587.0,Ni:389.0,Nb:362.4,Zr:237.0,Pt:236.1,,,,,,,,
C_:12834.3,W_:2514.6,Co:2055.2,Ti:1085.6,Au:284.7,S :199.3,Pt:197.0,K_:169.4,Au:153.4,,,,,,
Nb:2494.8,W_:2483.5,Fe:1057.8,Mo:753.8,Zr:614.7,Pt:589.3,V_:356.2,P :281.5,S :247.0,Ta:159.8,,,,,
Mo:3399.1,W_:2469.7,Fe:2206.3,Pt:2130.4,Zr:1669.3,Nb:1615.1,Ta:364.1,Ti:361.4,C_:284.8,Cr:220.6,Au:170.2,,,,
Fe:2499.1,W_:2448.2,Nb:1216.1,Co:286.0,V_:240.6,Pb:228.9,K_:164.8,K_:162.6,,,,,,,
Cr:2949.2,W_:2429.3,Ti:2131.7,Ta:878.8,Zr:683.0,Mo:486.7,Ta:441.7,Pt:391.8,Zr:305.9,Fe:286.5,Nb:236.8,V_:192.1,P :151.6,,
W_:2413.1,Ta:2080.1,C_:1150.4,Zr:1089.4,Cr:488.5,Ti:273.4,Cd:234.6,,,,,,,,
W_:2284.0,Co:828.4,Mo:262.9,Ca:195.5,,,,,,,,,,,
Co:7090.6,W_:2274.2,Mo:1721.6,Zr:1220.5,Pt:1137.8,Ta:683.0,Ti:162.5,K_:156.3,,,,,,,
W_:2181.0,Mo:966.4,Zr:842.3,Nb:626.6,Pt:575.4,K_:207.8,,,,,,,,,
W_:2180.7,Nb:1892.8,Zr:364.9,Ta:271.4,Pt:183.4,K_:170.2,Mo:155.7,,,,,,,,
W_:2179.9,Mo:1137.7,Pt:1050.4,Ta:429.7,S :368.9,In:256.2,Zr:249.9,K_:200.0,Nb:179.6,,,,,,
Zr:3315.2,W_:2140.0,Mo:1992.3,Pt:1404.0,Nb:1041.1,V_:506.9,Cr:443.7,S :371.6,P :279.4,K_:275.9,Au:173.3,,,,
W_:2089.8,Zr:832.0,Nb:787.5,C_:682.2,Ti:496.5,Cr:324.5,S :224.6,Cd:180.9,Ta:180.6,,,,,,
Pt:2408.0,W_:2058.6,Nb:1551.8,Fe:1045.0,S :545.6,S :436.1,P :299.1,Ta:275.7,In:187.5,,,,,,
W_:2037.7,Cr:1627.5,Ta:233.8,K_:178.0,Au:153.1,,,,,,,,,,
Fe:4272.7,Ti:2557.2,W_:1891.5,V_:1416.1,K_:1098.9,Ca:1041.2,S :405.6,Zr:364.0,P :162.0,,,,,,
Nb:2868.5,Ta:2714.4,W_:1776.7,Mo:591.0,Cr:521.9,Pt:497.8,S :483.0,K_:348.8,Ti:282.9,P :203.3,,,,,
Fe:2884.0,W_:1758.4,Nb:1742.6,Cr:1735.5,Ti:602.4,Mo:546.6,Ta:467.5,S :346.1,Pt:295.9,V_:213.0,Co:171.7,,,,
Fe:2381.3,W_:1752.1,Ca:1087.2,Co:1051.8,Ti:321.3,Zr:182.9,Ta:180.9,,,,,,,,
W_:1731.7,Pb:1572.5,Co:1485.1,Ti:570.4,V_:399.1,K_:176.2,Ta:171.7,,,,,,,,
Ca:10688.6,Cr:4058.9,Fe:2367.8,W_:1623.8,Ta:1128.5,Zr:945.5,C_:796.3,Co:640.1,Mo:268.1,,,,,,
Nb:2309.3,Co:2272.2,W_:1596.8,Ta:372.8,S :337.2,Mo:258.6,Pt:154.4,,,,,,,,
Nb:2197.4,W_:1581.3,Fe:584.4,Zr:573.7,S :439.1,P :354.1,K_:339.1,V_:297.1,Mo:271.0,Pt:229.6,,,,,
W_:1572.4,S :439.8,C_:345.1,Ta:301.1,,,,,,,,,,,
Cr:4382.7,Nb:3180.9,W_:1556.5,Ti:1240.5,Pt:375.9,V_:328.3,S :183.0,,,,,,,,
In:3103.2,W_:1483.2,Ti:1226.1,Cr:662.0,Mo:608.2,Pt:450.8,V_:332.3,S :281.0,P :243.7,,,,,,
Fe:4810.9,Au:3899.8,W_:1461.1,Ta:1324.6,Zr:1287.9,Ta:1220.9,Ti:859.5,Cr:757.0,Co:690.7,V_:566.4,S :346.4,K_:279.0,P :201.7,,
W_:1456.5,Nb:594.1,Cr:557.4,Ti:548.6,S :478.9,Fe:374.9,P :223.8,K_:188.5,,,,,,,
Cr:2873.0,W_:1422.5,Nb:1419.3,Ta:960.5,Mo:432.7,K_:388.9,Pt:351.5,S :337.2,Ti:241.1,Zr:197.1,,,,,
Cd:7631.4,W_:1339.4,Cr:1326.8,Ti:794.4,S :444.3,Ta:387.0,Nb:286.7,Zr:283.6,P :241.3,Zn:205.8,,,,,
W_:1331.0,Zr:970.0,Mo:690.0,V_:679.6,Pt:630.8,S :304.6,K_:274.6,Fe:202.1,,,,,,,
Nb:1811.2,Cr:1386.4,Ta:1302.1,W_:1285.6,Au:899.4,Ni:277.7,Pb:266.2,V_:235.8,,,,,,,
V_:2503.3,W_:1285.0,Cr:1226.0,Ta:357.0,Nb:259.6,Ni:216.6,S :166.4,C_:157.4,,,,,,,
Cr:1461.5,W_:1217.6,Ta:287.3,Zr:184.3,P :177.6,,,,,,,,,,
W_:1205.0,Mo:339.3,S :331.3,Pt:286.2,Al:182.9,,,,,,,,,,
W_:1194.5,Zr:996.3,Nb:725.9,S :704.7,P :460.7,K_:421.5,Ta:410.9,Pt:259.0,Mo:180.7,C_:170.0,,,,,
Nb:4782.8,Cr:1377.0,W_:1181.0,S :436.7,S :300.5,In:242.0,In:220.9,Au:193.1,Pb:160.4,,,,,,
W_:1166.1,Ta:915.5,Ti:723.2,Nb:412.6,Cr:239.2,Fe:185.1,In:175.0,,,,,,,,
Nb:2494.8,W_:1162.9,Ti:1037.0,K_:1009.6,V_:356.2,S :289.8,Ta:160.9,,,,,,,,
W_:1148.7,Co:1028.4,Zr:1024.1,S :543.1,Ta:322.7,Cr:314.3,Fe:301.5,P :208.9,K_:174.5,Au:159.1,,,,,
W_:1137.2,Mo:897.5,Zr:790.0,Pt:694.3,S :620.5,P :308.5,Pb:291.9,Ti:219.3,K_:151.8,,,,,,
Co:1291.5,W_:1130.4,Zr:589.5,Fe:489.7,Ta:457.6,S :436.2,Cr:155.1,,,,,,,,
Nb:1925.0,V_:1690.6,V_:1389.9,W_:1123.8,S :243.7,Ni:158.3,,,,,,,,,
Pd:2946.9,Fe:1315.9,W_:1118.6,Nb:854.3,Mo:795.0,Ni:553.1,Cr:478.7,Pt:375.0,Ti:352.0,Zr:295.6,Ta:290.5,S :212.6,,,
