Wavelength,Intensity,Pixel
429.293,8785.917030864217,1174.0
400.717,8270.933514195061,956.0
407.331,8166.521133832095,1006.0
484.271,6907.823166883082,1610.0
505.218,6020.048220572613,1783.0
430.069,5163.243132949172,1180.0
426.83,4664.455122949432,1155.0
406.935,4184.3370308464655,1003.0
488.55,4182.584007226822,1645.0
410.099,4146.760325376023,1027.0
404.425,4125.951402415445,984.0
522.37,4002.820616475789,1928.0
467.947,3925.793360372969,1478.0
413.648,3829.6224732506107,1054.0
500.541,3808.950289548744,1744.0
386.714,3497.385376720188,851.0
427.479,3431.8605535067773,1160.0
401.38,3381.7037318772036,961.0
465.824,3236.027751100338,1461.0
501.382,3201.127970317276,1751.0
424.361,3056.2349329075287,1136.0
416.925,2976.599685664032,1079.0
475.65,2760.9957240752174,1540.0
381.609,2759.302808870528,813.0
420.584,2646.1410262035743,1107.0
498.132,2628.6686750431036,1724.0
388.054,2514.6469862097447,861.0
425.921,2483.4793186875313,1148.0
383.357,2469.727014214426,826.0
361.682,2448.1927695228746,666.0
398.194,2429.2583295260283,937.0
506.771,2413.127890926131,1796.0
395.134,2283.9847861054486,914.0
384.567,2274.2343058913393,835.0
377.97,2181.0457743214724,786.0
380.936,2180.663722708935,808.0
448.291,2179.9054628873764,1322.0
423.971,2140.034829414237,1133.0
507.129,2089.766127092329,1799.0
411.677,2058.560645429121,1039.0
376.755,2037.6575522793519,777.0
430.587,1891.5463951799147,1184.0
420.323,1776.6669707862866,1105.0
375.809,1758.4053884505247,770.0
370.664,1752.0644997222007,732.0
368.22,1731.6595701819306,714.0
396.732,1623.8291339470225,926.0
393.534,1596.773005168966,902.0
421.757,1581.287486084948,1116.0
383.761,1572.3968022457248,829.0
396.332,1556.542055517636,923.0
451.214,1483.202898640001,1345.0
406.407,1461.129649608838,999.0
446.509,1456.5399883233722,1308.0
459.93,1422.5162980115524,1414.0
479.848,1339.4213967906926,1574.0
436.521,1331.029884290646,1230.0
403.896,1285.5557962741113,980.0
459.175,1284.9981853559557,1408.0
461.187,1217.5848125877505,1424.0
469.319,1204.9656717466369,1489.0
464.198,1194.4881297025913,1448.0
412.466,1180.9587542307545,1045.0
449.309,1166.057171000949,1330.0
426.181,1162.8702742240848,1150.0
410.888,1148.7090263368373,1033.0
403.499,1137.1639677577914,977.0
349.484,1130.3716762373097,577.0
433.042,1123.8380709755802,1203.0
368.763,1118.571638590954,718.0
440.758,1104.7463263790041,1263.0
438.32,1077.5810697460638,1244.0
363.047,1076.0147837196873,676.0
453.368,1073.5714636280595,1362.0
458.798,1064.8955622294425,1405.0
321.441,1059.1880323498428,375.0
434.589,1047.3579616075604,1215.0
428.516,1030.9894031761178,1168.0
360.453,1029.6981400767186,657.0
443.573,1018.4354470221369,1285.0
423.321,1001.0955727431474,1128.0
490.134,993.0290267233195,1658.0
379.184,977.629337997545,795.0
402.837,974.8938944640104,972.0
399.655,949.1796532868766,948.0
387.25,945.602385433288,855.0
377.295,943.5005594955037,781.0
415.877,926.3798556481279,1071.0
450.325,925.2484722895833,1338.0
414.435,916.1694661438087,1060.0
441.91,914.7644438067937,1272.0
435.362,905.335327654222,1221.0
408.782,895.7132732398841,1017.0
356.897,894.3961764149735,631.0
460.936,887.6437907038344,1422.0
357.445,879.538585808993,635.0
475.155,871.4563507880957,1536.0
380.128,869.0664557787227,802.0
329.96,855.5202684998972,436.0
415.353,854.5589273581882,1067.0
481.57,840.6274267832596,1588.0
354.43,834.4924867337518,613.0
382.282,827.2333651999543,818.0
455.139,819.9868592221628,1376.0
470.937,813.5790282890457,1502.0
359.086,810.0910018959376,647.0
422.539,808.6554658204741,1122.0
347.556,805.8221866994331,563.0
454.254,799.012723380903,1369.0
334.273,796.4495439895113,467.0
421.366,779.7566737501238,1113.0
489.16,773.4122988298441,1650.0
477.257,762.0487137022174,1553.0
408.255,760.7275129025284,1013.0
520.378,745.9595226515016,1911.0
457.033,744.7288647658306,1391.0
480.586,741.5765638227449,1580.0
524.239,740.0674097143074,1944.0
432.654,733.8336310122841,1200.0
485.251,731.0469619521828,1618.0
493.051,728.5229677787502,1682.0
364.001,722.4020896580278,683.0
503.901,719.6597387535539,1772.0
390.195,716.7515899018044,877.0
440.245,714.6787575359585,1259.0
337.049,713.6942533770862,487.0
498.614,706.0521692756156,1728.0
418.233,701.8985389679556,1089.0
437.164,699.4486627731571,1235.0
320.601,696.0705003409596,369.0
350.722,693.51333795969,586.0
454.507,679.1249953257279,1371.0
294.354,677.7973233158981,183.0
337.327,669.1167909176552,489.0
385.909,665.9369714873037,845.0
392.867,663.9812616519721,897.0
371.477,663.5282515340723,738.0
