0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Zn:7365.5,Nb:3284.7,Zr:1513.4,K_:1098.8,Mo:689.8,Pt:567.4,Au:541.8,S :463.0,Ti:395.9,Cr:198.1,P :187.6,W_:177.2,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Ag:403.4,Ta:372.2,Pb:351.5,Ta:346.1,Au:325.5,Zr:316.5,V_:308.1
Zn:3828.4,Bi:2300.5,Ta:923.2,Ti:849.3,Nb:726.2,V_:569.7,Cr:471.1,Mo:343.7,Pt:206.4,,,,,,,,,,,,
Zn:1720.9,Mo:1291.0,Pt:829.0,W_:796.4,Cr:465.0,Ta:283.1,Ni:213.8,S :185.2,Ag:150.5,,,,,,,,,,,,
W_:3925.8,Ta:2966.4,Ti:1896.5,Zn:1692.2,Mo:231.0,Cr:225.6,,,,,,,,,,,,,,,
Pd:2163.9,Zn:1171.4,W_:855.5,Pt:634.5,Ta:217.7,S :199.4,,,,,,,,,,,,,,,
Ag:1997.8,Co:539.3,Zn:481.9,W_:343.3,Zr:223.0,Ni:198.3,Ta:155.3,,,,,,,,,,,,,,
Pd:2059.0,Fe:1658.3,Co:1655.2,W_:637.6,Nb:390.8,Cr:373.8,S :339.3,K_:317.7,Zn:307.8,In:261.9,Cd:256.0,Sb:249.6,Cd:246.2,Sn:201.9,C_:159.5,,,,,,
Ni:3596.5,Nb:552.8,Zr:531.7,Mo:358.2,W_:332.3,Zn:296.7,K_:281.4,Pt:231.8,Fe:177.5,Sn:154.6,,,,,,,,,,,
Ni:3151.5,Co:1655.2,Cr:750.9,W_:637.6,Ta:628.8,Nb:390.8,S :339.3,K_:317.7,Zn:293.4,K_:277.7,In:261.9,Cd:246.2,Cd:212.2,,,,,,,,
Co:992.8,In:333.0,In:326.3,Sb:292.5,Zn:283.7,Nb:270.8,K_:201.7,Sn:168.0,,,,,,,,,,,,,
Ag:2053.7,Mo:1584.7,Pt:1149.7,Ta:602.4,Nb:365.4,Ti:332.2,W_:298.2,Zn:258.4,,,,,,,,,,,,,
Au:2812.9,K_:1826.5,Mo:1677.8,Cr:1231.3,Pt:1097.6,Zr:599.1,Ti:514.2,Co:439.4,Zn:217.6,S :212.3,W_:156.4,,,,,,,,,,
Mo:1233.1,V_:1199.2,Pt:776.4,Zr:599.1,Ti:239.3,Zn:215.5,,,,,,,,,,,,,,,
Cd:7631.4,W_:1339.4,V_:1199.2,Ti:794.4,Nb:286.7,Zr:283.6,Zn:205.8,,,,,,,,,,,,,,
Au:2812.9,Nb:2308.3,Cr:2048.0,Cr:1231.3,Ti:514.2,S :306.3,P :199.8,Zn:184.9,Ta:167.8,,,,,,,,,,,,
Ag:2066.1,Mo:1080.1,Pt:654.8,Nb:429.5,V_:335.5,Ti:280.1,Zn:165.3,,,,,,,,,,,,,,
Mo:4278.2,Pt:3265.5,Nb:2696.1,Zr:2176.0,W_:813.6,Ti:700.7,Cr:688.4,V_:687.8,Ta:321.7,S :229.3,Zn:155.4,,,,,,,,,,
C_:571.7,C_:446.9,Al:364.3,Ta:337.4,Cr:249.0,Cd:180.6,Zn:154.8,,,,,,,,,,,,,,
C_:2320.5,Nb:1309.4,C_:1138.7,V_:548.7,Zr:271.5,Pt:239.5,Mo:223.4,Cd:179.7,Zn:152.6,,,,,,,,,,,,
