Wavelength,Intensity,Pixel
480.955,7365.498125793103,1583.0
341.62,4208.721389981312,520.0
472.179,3828.3899143135186,1512.0
334.412,1720.8797267936538,468.0
467.947,1692.2138930982221,1478.0
330.099,1171.3845446006048,437.0
328.148,481.8518788716335,423.0
344.108,307.77753230016776,538.0
338.99,296.701893429998,501.0
344.384,293.4492408902581,540.0
339.405,283.70289696437646,504.0
338.297,258.4113213554872,496.0
479.231,217.5918508463186,1569.0
479.478,215.53383507397825,1571.0
479.724,205.76172870470123,1573.0
478.985,184.89024977400766,1567.0
337.743,165.27557449975376,492.0
470.812,155.423835942609,1501.0
512.124,154.77137559529376,1841.0
512.598,152.59610543069607,1845.0
