0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Zr:3760.0,Nb:2579.1,W_:840.6,Co:558.7,Pd:478.6,Cr:218.8,,,,,,,,,,,,,,,,,,
Zr:3376.9,Nb:3192.6,Ti:2430.3,Au:678.8,C_:543.3,V_:504.6,Cd:212.7,Pt:175.9,,,,,,,,,,,,,,,,
Zr:3315.2,W_:2140.0,Mo:1992.3,Pt:1404.0,Nb:1041.1,V_:506.9,Cr:443.7,S :371.6,P :279.4,K_:275.9,Au:173.3,,,,,,,,,,,,,
Zr:3179.9,Mo:1302.9,Nb:1204.7,Pt:844.2,V_:320.8,W_:239.8,Cr:196.7,Ni:172.4,,,,,,,,,,,,,,,,
Nb:5436.4,Zr:3124.8,Mo:1146.8,Pt:777.7,Al:492.0,C_:479.9,C_:461.5,K_:430.1,Cr:166.3,,,,,,,,,,,,,,,
Zr:2927.7,Mo:1363.0,Nb:1317.8,Pt:1065.7,W_:762.0,Ta:357.6,S :239.1,,,,,,,,,,,,,,,,,
Zr:2889.4,V_:2628.4,Ta:1653.9,Nb:1280.7,S :275.8,Pt:221.1,Ti:188.5,Cr:152.4,,,,,,,,,,,,,,,,
Ta:2628.5,Zr:2606.7,Nb:1109.5,V_:210.2,Ti:167.3,,,,,,,,,,,,,,,,,,,
Ta:2628.5,Zr:2513.2,W_:345.1,Ni:164.1,,,,,,,,,,,,,,,,,,,,
Ta:2690.2,Zr:2454.1,Cr:1282.6,Nb:706.4,W_:270.3,,,,,,,,,,,,,,,,,,,
Zr:2297.5,Nb:1716.4,Cr:1705.9,V_:1670.3,K_:512.2,S :245.2,,,,,,,,,,,,,,,,,,
Zr:2180.2,Ti:1019.4,W_:741.6,Nb:629.4,Mo:566.5,S :555.1,Ta:440.3,Pt:386.0,P :369.8,Au:199.6,,,,,,,,,,,,,,
Zr:2176.0,W_:813.6,Ti:700.7,V_:687.8,Ta:321.7,S :182.3,Zn:155.4,,,,,,,,,,,,,,,,,
Zr:2141.1,Nb:913.0,Mo:888.9,Pt:677.6,C_:611.3,K_:498.8,C_:481.0,S :369.7,P :355.0,Ta:182.7,W_:165.7,,,,,,,,,,,,,
Ca:9249.6,Nb:4209.0,Ge:3249.6,C_:2173.8,Zr:2065.2,Ti:1179.5,Cr:1011.2,W_:808.7,Ta:650.1,Mo:437.2,S :424.9,K_:405.0,P :366.4,Fe:267.3,V_:246.6,Pt:163.9,,,,,,,,
Zr:1996.1,V_:933.4,W_:534.0,Ta:362.9,Ni:264.7,Au:232.7,,,,,,,,,,,,,,,,,,
Mo:8651.9,Pt:7653.7,Zr:1914.0,Nb:1825.0,V_:1406.8,Fe:1324.4,Cr:916.5,K_:572.2,Ta:413.7,S :261.8,P :155.4,,,,,,,,,,,,,
Fe:6447.1,K_:5908.5,W_:4126.0,Zr:1798.8,Nb:1614.6,Co:1073.9,Mo:524.9,S :509.1,Pt:320.9,P :307.0,Pb:236.1,Ta:162.2,,,,,,,,,,,,
