Wavelength,Intensity,Pixel
481.447,3759.9889898035653,1587.0
506.413,3376.941666021202,1793.0
423.971,3315.211206473644,1133.0
468.696,3179.8714151810173,1484.0
507.725,3124.82618971789,1804.0
477.134,2927.7118356328992,1552.0
485.006,2889.4363825791615,1616.0
515.672,2606.736905287924,1871.0
515.436,2513.1967085002907,1869.0
473.792,2454.0641791152184,1525.0
482.676,2297.4910050323288,1597.0
480.463,2180.249174026554,1579.0
470.937,2175.959972548688,1502.0
504.5,2141.100884000989,1777.0
422.67,2065.1868661174294,1123.0
388.991,1996.0746987005296,868.0
386.311,1913.959060088338,848.0
404.293,1798.782355828428,983.0
482.307,1794.81039552298,1594.0
513.19,1766.5500111442725,1850.0
402.837,1752.344312408729,972.0
483.78,1750.8613563157433,1606.0
527.615,1740.4315422393156,1973.0
478.738,1713.8617881480404,1565.0
486.474,1691.0095542157642,1628.0
402.308,1678.2942996247275,968.0
383.492,1669.342329047011,827.0
463.947,1654.2547248117526,1446.0
511.412,1610.313746081556,1835.0
478.368,1586.0302632808798,1562.0
434.718,1581.105979974609,1216.0
529.587,1572.084178414203,1990.0
407.991,1540.8350728067762,1011.0
480.832,1513.4489976717978,1582.0
488.184,1478.4245735236855,1642.0
530.976,1418.6220260136397,2002.0
518.264,1413.3667948765396,1893.0
418.625,1402.7433035158647,1092.0
434.074,1393.6293142789,1211.0
505.935,1367.1783319964707,1789.0
405.483,1360.2025285597974,992.0
499.337,1324.5959906215166,1734.0
453.495,1323.506151369188,1363.0
522.37,1323.1919602123635,1928.0
406.275,1287.8677248022395,998.0
463.321,1286.7319702402674,1441.0
516.498,1261.9210554966703,1878.0
407.199,1239.7906070294812,1005.0
520.026,1233.418888094213,1908.0
384.701,1220.4875805065572,836.0
420.062,1202.088807773669,1103.0
392.867,1192.0833877374644,897.0
457.411,1191.7093071776735,1394.0
455.392,1162.654787928699,1378.0
446.891,1148.6958706638234,1311.0
376.485,1148.531502192016,775.0
360.043,1148.0806375396432,654.0
471.807,1131.0077582385002,1509.0
