Lambda	Spectrum	Dark	SpecMinusDark
268.175	173	0	173
268.319	177.75	0	177.75
268.463	160.25	0	160.25
268.607	135	0	135
268.751	162.25	0	162.25
268.895	159	0	159
269.039	141.25	0	141.25
269.183	138.25	0	138.25
269.327	152.75	0	152.75
269.47	158.75	0	158.75
269.614	175.75	0	175.75
269.758	226.75	0	226.75
269.902	214	0	214
270.046	269.5	0	269.5
270.19	282.25	0	282.25
270.334	272	0	272
270.477	272.25	0	272.25
270.621	237	0	237
270.765	195.5	0	195.5
270.909	202.25	0	202.25
271.053	197.75	0	197.75
271.196	200.25	0	200.25
271.34	187.25	0	187.25
271.484	205.75	0	205.75
271.628	244	0	244
271.771	253	0	253
271.915	239	0	239
272.059	210.25	0	210.25
272.202	192.75	0	192.75
272.346	181	0	181
272.49	199.25	0	199.25
272.634	197.5	0	197.5
272.777	225	0	225
272.921	255	0	255
273.064	260.25	0	260.25
273.208	359.25	0	359.25
273.352	324	0	324
273.495	303	0	303
273.639	267.25	0	267.25
273.783	250.25	0	250.25
273.926	200	0	200
274.07	213	0	213
274.213	236.25	0	236.25
274.357	227.75	0	227.75
274.5	217.5	0	217.5
274.644	251	0	251
274.787	243.75	0	243.75
274.931	241.25	0	241.25
275.074	238.25	0	238.25
275.218	241.25	0	241.25
275.361	284.25	0	284.25
275.505	270	0	270
275.648	239.5	0	239.5
275.792	214.25	0	214.25
275.935	237.5	0	237.5
276.079	246.25	0	246.25
276.222	254.25	0	254.25
276.366	240.25	0	240.25
276.509	221.5	0	221.5
276.652	251.25	0	251.25
276.796	264.5	0	264.5
276.939	268.25	0	268.25
277.082	328.5	0	328.5
277.226	332.25	0	332.25
277.369	351.5	0	351.5
277.513	326.75	0	326.75
277.656	299	0	299
277.799	307.25	0	307.25
277.942	299.5	0	299.5
278.086	268.75	0	268.75
278.229	272.75	0	272.75
278.372	265.5	0	265.5
278.516	278.5	0	278.5
278.659	282.25	0	282.25
278.802	260.25	0	260.25
278.945	254	0	254
279.089	252	0	252
279.232	271.75	0	271.75
279.375	252.5	0	252.5
279.518	260.75	0	260.75
279.661	270.25	0	270.25
279.805	257	0	257
279.948	268.25	0	268.25
280.091	265.75	0	265.75
280.234	289.25	0	289.25
280.377	274.75	0	274.75
280.52	278.25	0	278.25
280.663	289.25	0	289.25
280.806	281.75	0	281.75
280.95	298.75	0	298.75
281.093	282.75	0	282.75
281.236	322.75	0	322.75
281.379	391	0	391
281.522	450	0	450
281.665	372.75	0	372.75
281.808	328.5	0	328.5
281.951	331.25	0	331.25
282.094	316.5	0	316.5
282.237	307.75	0	307.75
282.38	351.5	0	351.5
282.523	358	0	358
282.666	431.75	0	431.75
282.809	449	0	449
282.952	489.5	0	489.5
283.095	400	0	400
283.238	336.5	0	336.5
283.381	349.75	0	349.75
283.523	329.5	0	329.5
283.666	321	0	321
283.809	340	0	340
283.952	324.5	0	324.5
284.095	346.5	0	346.5
284.238	384	0	384
284.381	382	0	382
284.524	420.25	0	420.25
284.666	487.75	0	487.75
284.809	456.5	0	456.5
284.952	405.5	0	405.5
285.095	389.75	0	389.75
285.238	388.25	0	388.25
285.38	371.75	0	371.75
285.523	343.75	0	343.75
285.666	337	0	337
285.809	327	0	327
285.951	353	0	353
286.094	362.5	0	362.5
286.237	422.25	0	422.25
286.38	445.5	0	445.5
286.522	409.75	0	409.75
286.665	386.5	0	386.5
286.808	401	0	401
286.95	453.75	0	453.75
287.093	466.5	0	466.5
287.236	395.5	0	395.5
287.378	368.5	0	368.5
287.521	348.5	0	348.5
287.663	367.25	0	367.25
287.806	353.75	0	353.75
287.949	356	0	356
288.091	368.75	0	368.75
288.234	360.5	0	360.5
288.376	399.75	0	399.75
288.519	396.75	0	396.75
288.661	418	0	418
288.804	436.75	0	436.75
288.946	468.75	0	468.75
289.089	549.25	0	549.25
289.231	562.5	0	562.5
289.374	549.75	0	549.75
289.516	476.5	0	476.5
289.659	464.75	0	464.75
289.801	437.75	0	437.75
289.944	417	0	417
290.086	444	0	444
290.229	445.5	0	445.5
290.371	455.5	0	455.5
290.513	457.75	0	457.75
290.656	484	0	484
290.798	510.25	0	510.25
290.941	502.25	0	502.25
291.083	543	0	543
291.225	546.5	0	546.5
291.368	468.75	0	468.75
291.51	452.75	0	452.75
291.652	478.5	0	478.5
291.795	514.5	0	514.5
291.937	503.5	0	503.5
292.079	526	0	526
292.221	575.75	0	575.75
292.364	541.25	0	541.25
292.506	544.5	0	544.5
292.648	588.75	0	588.75
292.79	710.75	0	710.75
292.933	794	0	794
293.075	671	0	671
293.217	600.75	0	600.75
293.359	578.75	0	578.75
293.502	566.5	0	566.5
293.644	570.25	0	570.25
293.786	559.5	0	559.5
293.928	515.25	0	515.25
294.07	529.5	0	529.5
294.212	544.5	0	544.5
294.354	591.75	0	591.75
294.497	656	0	656
294.639	601.75	0	601.75
294.781	545.5	0	545.5
294.923	513.25	0	513.25
295.065	520.75	0	520.75
295.207	551.5	0	551.5
295.349	537.75	0	537.75
295.491	549.75	0	549.75
295.633	600	0	600
295.775	581	0	581
295.917	580	0	580
296.059	556.5	0	556.5
296.201	559.25	0	559.25
296.343	556	0	556
296.485	547.25	0	547.25
296.627	502.5	0	502.5
296.769	523	0	523
296.911	523.25	0	523.25
297.053	512.25	0	512.25
297.195	548.75	0	548.75
297.337	522.5	0	522.5
297.478	532.5	0	532.5
297.62	544	0	544
297.762	534.25	0	534.25
297.904	515.75	0	515.75
298.046	519.25	0	519.25
298.188	562.5	0	562.5
298.33	550	0	550
298.471	575	0	575
298.613	583	0	583
298.755	609	0	609
298.897	595.75	0	595.75
299.038	543.25	0	543.25
299.18	519.5	0	519.5
299.322	592.75	0	592.75
299.464	691	0	691
299.605	906.25	0	906.25
299.747	963.75	0	963.75
299.889	785.5	0	785.5
300.031	671	0	671
300.172	659.25	0	659.25
300.314	532.75	0	532.75
300.456	494.25	0	494.25
300.597	501.75	0	501.75
300.739	535.25	0	535.25
300.881	518.75	0	518.75
301.022	540.75	0	540.75
301.164	569.25	0	569.25
301.305	613.25	0	613.25
301.447	582.75	0	582.75
301.589	555.75	0	555.75
301.73	536.5	0	536.5
301.872	492.5	0	492.5
302.013	505.75	0	505.75
302.155	552.75	0	552.75
302.296	580.5	0	580.5
302.438	566.5	0	566.5
302.579	520.25	0	520.25
302.721	490.25	0	490.25
302.862	546	0	546
303.004	539	0	539
303.145	512.25	0	512.25
303.287	573	0	573
303.428	653.25	0	653.25
303.569	693.75	0	693.75
303.711	639.5	0	639.5
