Lambda	Spectrum	Dark	SpecMinusDark
268.175	57.5	0	57.5
268.319	37.75	0	37.75
268.463	52.25	0	52.25
268.607	48.25	0	48.25
268.751	48	0	48
268.895	52.5	0	52.5
269.039	47.25	0	47.25
269.183	46.5	0	46.5
269.327	50	0	50
269.47	51.75	0	51.75
269.614	50	0	50
269.758	51.5	0	51.5
269.902	50	0	50
270.046	52.75	0	52.75
270.19	35.75	0	35.75
270.334	54.75	0	54.75
270.477	49.5	0	49.5
270.621	46.25	0	46.25
270.765	41.75	0	41.75
270.909	48.75	0	48.75
271.053	37.75	0	37.75
271.196	56	0	56
271.34	58	0	58
271.484	53.25	0	53.25
271.628	53.25	0	53.25
271.771	65.25	0	65.25
271.915	50.25	0	50.25
272.059	59.25	0	59.25
272.202	61.5	0	61.5
272.346	46	0	46
272.49	59	0	59
272.634	62	0	62
272.777	48	0	48
272.921	49	0	49
273.064	47.25	0	47.25
273.208	49.25	0	49.25
273.352	47.75	0	47.75
273.495	58.25	0	58.25
273.639	49.75	0	49.75
273.783	52	0	52
273.926	40.5	0	40.5
274.07	55.75	0	55.75
274.213	48	0	48
274.357	49.25	0	49.25
274.5	53.25	0	53.25
274.644	49	0	49
274.787	57.75	0	57.75
274.931	67.75	0	67.75
275.074	54.5	0	54.5
275.218	47.5	0	47.5
275.361	52.25	0	52.25
275.505	48.75	0	48.75
275.648	50.75	0	50.75
275.792	52	0	52
275.935	38.5	0	38.5
276.079	55.5	0	55.5
276.222	60.75	0	60.75
276.366	48.75	0	48.75
276.509	64.25	0	64.25
276.652	76.5	0	76.5
276.796	86	0	86
276.939	121.25	0	121.25
277.082	91.25	0	91.25
277.226	90.5	0	90.5
277.369	73.5	0	73.5
277.513	58.25	0	58.25
277.656	52	0	52
277.799	58.5	0	58.5
277.942	55	0	55
278.086	57	0	57
278.229	54	0	54
278.372	53.75	0	53.75
278.516	54	0	54
278.659	52.75	0	52.75
278.802	51.75	0	51.75
278.945	59.75	0	59.75
279.089	49.75	0	49.75
279.232	57.75	0	57.75
279.375	52.25	0	52.25
279.518	51.75	0	51.75
279.661	53.25	0	53.25
279.805	44.75	0	44.75
279.948	45.25	0	45.25
280.091	55.5	0	55.5
280.234	56.25	0	56.25
280.377	61	0	61
280.52	58.25	0	58.25
280.663	55.5	0	55.5
280.806	49	0	49
280.95	57.5	0	57.5
281.093	50.75	0	50.75
281.236	64.5	0	64.5
281.379	57	0	57
281.522	55.25	0	55.25
281.665	47.5	0	47.5
281.808	68.25	0	68.25
281.951	44.5	0	44.5
282.094	61.25	0	61.25
282.237	58.5	0	58.5
282.38	63.5	0	63.5
282.523	54	0	54
282.666	69.5	0	69.5
282.809	55	0	55
282.952	62	0	62
283.095	58	0	58
283.238	61.25	0	61.25
283.381	50	0	50
283.523	59.75	0	59.75
283.666	52.25	0	52.25
283.809	66.25	0	66.25
283.952	59.5	0	59.5
284.095	69.25	0	69.25
284.238	55.75	0	55.75
284.381	68	0	68
284.524	53	0	53
284.666	65	0	65
284.809	58.5	0	58.5
284.952	79.75	0	79.75
285.095	65.25	0	65.25
285.238	64.25	0	64.25
285.38	67.25	0	67.25
285.523	55.5	0	55.5
285.666	62.75	0	62.75
285.809	67.5	0	67.5
285.951	50	0	50
286.094	68.5	0	68.5
286.237	63	0	63
286.38	69.75	0	69.75
286.522	62.5	0	62.5
286.665	72.25	0	72.25
286.808	66.5	0	66.5
286.95	72.75	0	72.75
287.093	71.75	0	71.75
287.236	96.5	0	96.5
287.378	96	0	96
287.521	140	0	140
287.663	208.75	0	208.75
287.806	205.25	0	205.25
287.949	131	0	131
288.091	123.25	0	123.25
288.234	105.75	0	105.75
288.376	101.25	0	101.25
288.519	91	0	91
288.661	73.25	0	73.25
288.804	84	0	84
288.946	72.25	0	72.25
