Lambda	Spectrum	Dark	SpecMinusDark
268.175	21	0	21
268.319	15.5	0	15.5
268.463	13.5	0	13.5
268.607	20.5	0	20.5
268.751	29.5	0	29.5
268.895	0.25	0	0.25
269.039	14.75	0	14.75
269.183	26.5	0	26.5
269.327	21.75	0	21.75
269.47	13	0	13
269.614	18.5	0	18.5
269.758	32.25	0	32.25
269.902	22.25	0	22.25
270.046	18.75	0	18.75
270.19	21	0	21
270.334	17	0	17
270.477	20	0	20
270.621	27	0	27
270.765	15.25	0	15.25
270.909	25.25	0	25.25
271.053	19.5	0	19.5
271.196	20.75	0	20.75
271.34	16	0	16
271.484	21	0	21
271.628	23.5	0	23.5
271.771	20.5	0	20.5
271.915	6.75	0	6.75
272.059	23.75	0	23.75
272.202	22.5	0	22.5
272.346	22	0	22
272.49	18.75	0	18.75
272.634	21.25	0	21.25
272.777	24.75	0	24.75
272.921	23	0	23
273.064	17.5	0	17.5
273.208	38.25	0	38.25
273.352	22	0	22
273.495	27.75	0	27.75
273.639	12.5	0	12.5
273.783	19	0	19
273.926	11.5	0	11.5
274.07	29.25	0	29.25
274.213	24.25	0	24.25
274.357	17	0	17
274.5	15	0	15
274.644	23.5	0	23.5
274.787	13	0	13
274.931	16.5	0	16.5
275.074	28	0	28
275.218	16.25	0	16.25
275.361	16.75	0	16.75
275.505	20.25	0	20.25
275.648	26.25	0	26.25
275.792	20.75	0	20.75
275.935	24	0	24
276.079	28.25	0	28.25
276.222	26.5	0	26.5
276.366	27	0	27
276.509	22.75	0	22.75
276.652	26.25	0	26.25
276.796	36.5	0	36.5
276.939	32	0	32
277.082	20	0	20
277.226	22.75	0	22.75
277.369	23.5	0	23.5
277.513	21.5	0	21.5
277.656	20	0	20
277.799	29.25	0	29.25
277.942	19.75	0	19.75
278.086	24.5	0	24.5
278.229	20.25	0	20.25
278.372	23.25	0	23.25
278.516	21.5	0	21.5
278.659	24.25	0	24.25
278.802	25.25	0	25.25
278.945	25.5	0	25.5
279.089	28	0	28
279.232	28.5	0	28.5
279.375	24	0	24
279.518	35	0	35
279.661	22.75	0	22.75
279.805	18.75	0	18.75
279.948	23.25	0	23.25
280.091	32.25	0	32.25
280.234	21	0	21
280.377	22.25	0	22.25
280.52	26.25	0	26.25
280.663	25.5	0	25.5
280.806	23.5	0	23.5
280.95	18.75	0	18.75
