Lambda	Spectrum	Dark	SpecMinusDark
268.175	31.5	0	31.5
268.319	21.25	0	21.25
268.463	33.25	0	33.25
268.607	20	0	20
268.751	41.25	0	41.25
268.895	39	0	39
269.039	36.5	0	36.5
269.183	37	0	37
269.327	44.75	0	44.75
269.47	41	0	41
269.614	33.25	0	33.25
269.758	28.5	0	28.5
269.902	38.25	0	38.25
270.046	42.25	0	42.25
270.19	63.25	0	63.25
270.334	60	0	60
270.477	83	0	83
270.621	94	0	94
270.765	94	0	94
270.909	77.5	0	77.5
271.053	57.25	0	57.25
271.196	65.25	0	65.25
271.34	62.75	0	62.75
271.484	56.25	0	56.25
271.628	53	0	53
271.771	53	0	53
271.915	43.5	0	43.5
272.059	41.75	0	41.75
272.202	35	0	35
272.346	39.75	0	39.75
272.49	58.25	0	58.25
272.634	48	0	48
272.777	42.75	0	42.75
272.921	38.75	0	38.75
273.064	33.75	0	33.75
273.208	38.5	0	38.5
273.352	42.25	0	42.25
273.495	30.75	0	30.75
273.639	39.75	0	39.75
273.783	37.75	0	37.75
273.926	31.5	0	31.5
274.07	43	0	43
274.213	36.75	0	36.75
274.357	38.75	0	38.75
274.5	48.75	0	48.75
274.644	26.5	0	26.5
274.787	46.75	0	46.75
274.931	42.25	0	42.25
275.074	41.25	0	41.25
275.218	42.25	0	42.25
275.361	47.5	0	47.5
275.505	45.75	0	45.75
275.648	39	0	39
275.792	44.5	0	44.5
275.935	47.5	0	47.5
276.079	43	0	43
276.222	33.25	0	33.25
276.366	31.75	0	31.75
276.509	41	0	41
276.652	34.5	0	34.5
276.796	47.75	0	47.75
276.939	43	0	43
277.082	50.75	0	50.75
277.226	40.25	0	40.25
277.369	47.5	0	47.5
277.513	34.75	0	34.75
277.656	47.25	0	47.25
277.799	58.75	0	58.75
277.942	70.5	0	70.5
278.086	52	0	52
278.229	66.25	0	66.25
278.372	43	0	43
278.516	46.25	0	46.25
278.659	46	0	46
278.802	57.75	0	57.75
278.945	43.5	0	43.5
279.089	36.75	0	36.75
279.232	61.5	0	61.5
279.375	39.25	0	39.25
279.518	39.75	0	39.75
279.661	52.5	0	52.5
279.805	36.25	0	36.25
279.948	37.5	0	37.5
280.091	40.5	0	40.5
280.234	40.75	0	40.75
280.377	47	0	47
280.52	44	0	44
280.663	51.5	0	51.5
280.806	43.5	0	43.5
280.95	52.75	0	52.75
281.093	66.75	0	66.75
281.236	68.75	0	68.75
281.379	59	0	59
281.522	51	0	51
281.665	53.75	0	53.75
281.808	53.75	0	53.75
281.951	64.25	0	64.25
282.094	57.25	0	57.25
282.237	62.25	0	62.25
282.38	58.75	0	58.75
282.523	74.25	0	74.25
282.666	63.5	0	63.5
282.809	64.5	0	64.5
282.952	64.5	0	64.5
283.095	79.75	0	79.75
283.238	89.5	0	89.5
283.381	114	0	114
283.523	131	0	131
283.666	157	0	157
283.809	180.75	0	180.75
283.952	182	0	182
284.095	208.25	0	208.25
284.238	188.75	0	188.75
284.381	174.75	0	174.75
284.524	156.25	0	156.25
284.666	161.25	0	161.25
284.809	157.5	0	157.5
284.952	153.25	0	153.25
285.095	131.75	0	131.75
285.238	119	0	119
285.38	116	0	116
285.523	115	0	115
285.666	108.5	0	108.5
285.809	118.25	0	118.25
285.951	101.75	0	101.75
286.094	175.25	0	175.25
286.237	179.75	0	179.75
286.38	193.5	0	193.5
286.522	169	0	169
286.665	144.25	0	144.25
286.808	125	0	125
286.95	110.25	0	110.25
287.093	95.5	0	95.5
287.236	90.75	0	90.75
287.378	84.5	0	84.5
287.521	93.25	0	93.25
287.663	85.5	0	85.5
287.806	86	0	86
287.949	71.75	0	71.75
288.091	75.5	0	75.5
288.234	73	0	73
288.376	67	0	67
288.519	65.75	0	65.75
288.661	73.25	0	73.25
288.804	68	0	68
288.946	59.75	0	59.75
289.089	66.25	0	66.25
289.231	68.25	0	68.25
289.374	68	0	68
289.516	58.75	0	58.75
289.659	59.75	0	59.75
289.801	56	0	56
289.944	71	0	71
290.086	58.75	0	58.75
290.229	52.25	0	52.25
290.371	67.25	0	67.25
290.513	67.25	0	67.25
290.656	51.25	0	51.25
290.798	64.75	0	64.75
290.941	69	0	69
291.083	65	0	65
291.225	70.5	0	70.5
291.368	70.5	0	70.5
291.51	59.25	0	59.25
291.652	79.75	0	79.75
291.795	55.75	0	55.75
291.937	56.5	0	56.5
292.079	57.5	0	57.5
292.221	60.5	0	60.5
292.364	59.75	0	59.75
292.506	62.25	0	62.25
292.648	65	0	65
292.79	66	0	66
292.933	58.5	0	58.5
293.075	60.25	0	60.25
293.217	61.5	0	61.5
293.359	69.75	0	69.75
293.502	63.75	0	63.75
293.644	58	0	58
293.786	61.5	0	61.5
293.928	54	0	54
294.07	51.75	0	51.75
294.212	48.75	0	48.75
294.354	63.75	0	63.75
294.497	54	0	54
294.639	60.75	0	60.75
294.781	77.75	0	77.75
294.923	58.75	0	58.75
295.065	66.25	0	66.25
295.207	56.75	0	56.75
295.349	64.75	0	64.75
295.491	51.75	0	51.75
295.633	57.25	0	57.25
295.775	54	0	54
295.917	66.25	0	66.25
296.059	60.25	0	60.25
296.201	58.75	0	58.75
296.343	58	0	58
296.485	64.75	0	64.75
296.627	63	0	63
296.769	55	0	55
296.911	60.75	0	60.75
297.053	69.25	0	69.25
297.195	67.25	0	67.25
297.337	64.75	0	64.75
297.478	58.25	0	58.25
297.62	71.25	0	71.25
297.762	62.5	0	62.5
297.904	63.5	0	63.5
298.046	68.25	0	68.25
298.188	64	0	64
298.33	60.5	0	60.5
298.471	78.5	0	78.5
298.613	63	0	63
298.755	76	0	76
298.897	50.25	0	50.25
299.038	67	0	67
299.18	77.5	0	77.5
299.322	76.25	0	76.25
299.464	70.75	0	70.75
299.605	77	0	77
299.747	80.25	0	80.25
299.889	89.5	0	89.5
300.031	70.5	0	70.5
300.172	110.75	0	110.75
300.314	108.75	0	108.75
